H1M1_1,Port 1,Port 2,Port 3,Port 4,Port 5
2174 records,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,
Measurement Time,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,None
4/25/2013 12:00 PM,0.166,0.265,0.095,0.132,
4/25/2013 2:00 PM,0.161,0.278,0.126,0.155,
4/25/2013 4:00 PM,0.162,0.282,0.128,0.156,
4/25/2013 6:00 PM,0.162,0.284,0.126,0.158,
4/25/2013 8:00 PM,0.163,0.285,0.123,0.158,
4/25/2013 10:00 PM,0.162,0.285,0.117,0.161,
4/26/2013 12:00 AM,0.162,0.284,0.115,0.161,
4/26/2013 2:00 AM,0.164,0.284,0.113,0.162,
4/26/2013 4:00 AM,0.164,0.283,0.113,0.162,
4/26/2013 6:00 AM,0.164,0.282,0.113,0.162,
4/26/2013 8:00 AM,0.162,0.280,0.113,0.160,
4/26/2013 10:00 AM,0.158,0.274,0.115,0.155,
4/26/2013 12:00 PM,0.158,0.273,0.120,0.154,
4/26/2013 2:00 PM,0.159,0.276,0.124,0.153,
4/26/2013 4:00 PM,0.160,0.281,0.127,0.152,
4/26/2013 6:00 PM,0.160,0.283,0.126,0.153,
4/26/2013 8:00 PM,0.159,0.285,0.120,0.154,
4/26/2013 10:00 PM,0.158,0.284,0.112,0.156,
4/27/2013 12:00 AM,0.157,0.283,0.109,0.156,
4/27/2013 2:00 AM,0.157,0.283,0.107,0.156,
4/27/2013 4:00 AM,0.157,0.282,0.107,0.156,
4/27/2013 6:00 AM,0.158,0.281,0.107,0.156,
4/27/2013 8:00 AM,0.156,0.278,0.107,0.154,
4/27/2013 10:00 AM,0.153,0.272,0.113,0.148,
4/27/2013 12:00 PM,0.153,0.271,0.117,0.148,
4/27/2013 2:00 PM,0.155,0.275,0.121,0.147,
4/27/2013 4:00 PM,0.156,0.280,0.123,0.147,
4/27/2013 6:00 PM,0.156,0.281,0.122,0.147,
4/27/2013 8:00 PM,0.154,0.283,0.114,0.148,
4/27/2013 10:00 PM,0.152,0.283,0.106,0.149,
4/28/2013 12:00 AM,0.151,0.282,0.103,0.149,
4/28/2013 2:00 AM,0.150,0.281,0.101,0.148,
4/28/2013 4:00 AM,0.150,0.279,0.101,0.148,
4/28/2013 6:00 AM,0.150,0.279,0.099,0.148,
4/28/2013 8:00 AM,0.149,0.277,0.100,0.147,
4/28/2013 10:00 AM,0.148,0.271,0.106,0.142,
4/28/2013 12:00 PM,0.150,0.271,0.110,0.143,
4/28/2013 2:00 PM,0.150,0.272,0.114,0.142,
4/28/2013 4:00 PM,0.151,0.277,0.113,0.143,
4/28/2013 6:00 PM,0.150,0.277,0.113,0.142,
4/28/2013 8:00 PM,0.149,0.279,0.107,0.142,
4/28/2013 10:00 PM,0.147,0.280,0.097,0.143,
4/29/2013 12:00 AM,0.146,0.278,0.094,0.142,
4/29/2013 2:00 AM,0.145,0.277,0.094,0.142,
4/29/2013 4:00 AM,0.145,0.277,0.093,0.142,
4/29/2013 6:00 AM,0.146,0.276,0.093,0.142,
4/29/2013 8:00 AM,0.145,0.274,0.094,0.140,
4/29/2013 10:00 AM,0.144,0.268,0.099,0.136,
4/29/2013 12:00 PM,0.146,0.268,0.104,0.136,
4/29/2013 2:00 PM,0.147,0.270,0.107,0.136,
4/29/2013 4:00 PM,0.147,0.274,0.108,0.136,
4/29/2013 6:00 PM,0.147,0.275,0.106,0.136,
4/29/2013 8:00 PM,0.145,0.277,0.100,0.136,
4/29/2013 10:00 PM,0.144,0.276,0.095,0.136,
4/30/2013 12:00 AM,0.143,0.275,0.092,0.135,
4/30/2013 2:00 AM,0.142,0.274,0.089,0.134,
4/30/2013 4:00 AM,0.142,0.274,0.088,0.134,
4/30/2013 6:00 AM,0.142,0.273,0.088,0.134,
4/30/2013 8:00 AM,0.141,0.272,0.087,0.132,
4/30/2013 10:00 AM,0.141,0.268,0.090,0.130,
4/30/2013 12:00 PM,0.142,0.267,0.093,0.130,
4/30/2013 2:00 PM,0.143,0.270,0.097,0.130,
4/30/2013 4:00 PM,0.142,0.276,0.098,0.132,
4/30/2013 6:00 PM,0.142,0.277,0.095,0.133,
4/30/2013 8:00 PM,0.140,0.278,0.087,0.132,
4/30/2013 10:00 PM,0.139,0.277,0.082,0.132,
5/1/2013 12:00 AM,0.138,0.276,0.081,0.132,
5/1/2013 2:00 AM,0.137,0.275,0.081,0.132,
5/1/2013 4:00 AM,0.137,0.274,0.081,0.132,
5/1/2013 6:00 AM,0.137,0.273,0.081,0.132,
5/1/2013 8:00 AM,0.136,0.272,0.082,0.131,
5/1/2013 10:00 AM,0.136,0.268,0.082,0.129,
5/1/2013 12:00 PM,0.136,0.267,0.084,0.129,
5/1/2013 2:00 PM,0.138,0.269,0.088,0.129,
5/1/2013 4:00 PM,0.138,0.271,0.090,0.129,
5/1/2013 6:00 PM,0.137,0.272,0.088,0.129,
5/1/2013 8:00 PM,0.134,0.273,0.084,0.129,
5/1/2013 10:00 PM,0.132,0.273,0.081,0.129,
5/2/2013 12:00 AM,0.132,0.273,0.080,0.130,
5/2/2013 2:00 AM,0.132,0.272,0.080,0.131,
5/2/2013 4:00 AM,0.132,0.272,0.081,0.132,
5/2/2013 6:00 AM,0.132,0.271,0.082,0.132,
5/2/2013 8:00 AM,0.131,0.269,0.082,0.130,
5/2/2013 10:00 AM,0.130,0.262,0.083,0.126,
5/2/2013 12:00 PM,0.133,0.261,0.088,0.127,
5/2/2013 2:00 PM,0.135,0.265,0.093,0.127,
5/2/2013 4:00 PM,0.136,0.269,0.094,0.128,
5/2/2013 6:00 PM,0.135,0.270,0.090,0.128,
5/2/2013 8:00 PM,0.133,0.272,0.086,0.127,
5/2/2013 10:00 PM,0.131,0.273,0.078,0.128,
5/3/2013 12:00 AM,0.130,0.272,0.078,0.128,
5/3/2013 2:00 AM,0.130,0.271,0.078,0.128,
5/3/2013 4:00 AM,0.130,0.271,0.078,0.128,
5/3/2013 6:00 AM,0.130,0.270,0.078,0.129,
5/3/2013 8:00 AM,0.129,0.267,0.078,0.127,
5/3/2013 10:00 AM,0.128,0.260,0.082,0.124,
5/3/2013 12:00 PM,0.131,0.259,0.086,0.124,
5/3/2013 2:00 PM,0.134,0.262,0.093,0.124,
5/3/2013 4:00 PM,0.135,0.266,0.096,0.125,
5/3/2013 6:00 PM,0.134,0.267,0.093,0.124,
5/3/2013 8:00 PM,0.132,0.270,0.085,0.124,
5/3/2013 10:00 PM,0.129,0.271,0.078,0.124,
5/4/2013 12:00 AM,0.127,0.270,0.074,0.124,
5/4/2013 2:00 AM,0.126,0.270,0.074,0.124,
5/4/2013 4:00 AM,0.126,0.268,0.074,0.123,
