H2M2_2,Port 1,Port 2,Port 3,Port 4,Port 5
2170 records,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,
Measurement Time,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,None
4/25/2013 2:00 PM,0.315,0.337,0.335,0.320,
4/25/2013 4:00 PM,0.325,0.340,0.343,0.327,
4/25/2013 6:00 PM,0.327,0.339,0.344,0.328,
4/25/2013 8:00 PM,0.326,0.338,0.344,0.329,
4/25/2013 10:00 PM,0.324,0.335,0.342,0.328,
4/26/2013 12:00 AM,0.321,0.333,0.340,0.327,
4/26/2013 2:00 AM,0.319,0.332,0.339,0.327,
4/26/2013 4:00 AM,0.318,0.331,0.337,0.326,
4/26/2013 6:00 AM,0.316,0.330,0.337,0.325,
4/26/2013 8:00 AM,0.315,0.329,0.336,0.324,
4/26/2013 10:00 AM,0.316,0.330,0.337,0.324,
4/26/2013 12:00 PM,0.318,0.334,0.339,0.325,
4/26/2013 2:00 PM,0.320,0.337,0.342,0.327,
4/26/2013 4:00 PM,0.324,0.341,0.346,0.329,
4/26/2013 6:00 PM,0.327,0.342,0.347,0.330,
4/26/2013 8:00 PM,0.327,0.339,0.346,0.330,
4/26/2013 10:00 PM,0.324,0.336,0.343,0.329,
4/27/2013 12:00 AM,0.322,0.333,0.342,0.328,
4/27/2013 2:00 AM,0.319,0.332,0.340,0.328,
4/27/2013 4:00 AM,0.317,0.331,0.338,0.327,
4/27/2013 6:00 AM,0.316,0.330,0.337,0.326,
4/27/2013 8:00 AM,0.315,0.329,0.336,0.325,
4/27/2013 10:00 AM,0.315,0.330,0.337,0.324,
4/27/2013 12:00 PM,0.317,0.334,0.339,0.326,
4/27/2013 2:00 PM,0.320,0.337,0.343,0.328,
4/27/2013 4:00 PM,0.323,0.341,0.346,0.330,
4/27/2013 6:00 PM,0.326,0.342,0.347,0.331,
4/27/2013 8:00 PM,0.325,0.339,0.346,0.331,
4/27/2013 10:00 PM,0.322,0.336,0.344,0.330,
4/28/2013 12:00 AM,0.320,0.333,0.342,0.329,
4/28/2013 2:00 AM,0.318,0.332,0.340,0.329,
4/28/2013 4:00 AM,0.316,0.331,0.339,0.328,
4/28/2013 6:00 AM,0.314,0.330,0.338,0.327,
4/28/2013 8:00 AM,0.313,0.329,0.337,0.327,
4/28/2013 10:00 AM,0.313,0.329,0.337,0.326,
4/28/2013 12:00 PM,0.314,0.332,0.339,0.327,
4/28/2013 2:00 PM,0.317,0.335,0.342,0.329,
4/28/2013 4:00 PM,0.319,0.337,0.344,0.330,
4/28/2013 6:00 PM,0.321,0.338,0.344,0.331,
4/28/2013 8:00 PM,0.321,0.336,0.344,0.331,
4/28/2013 10:00 PM,0.318,0.333,0.342,0.330,
4/29/2013 12:00 AM,0.316,0.330,0.339,0.329,
4/29/2013 2:00 AM,0.314,0.329,0.338,0.328,
4/29/2013 4:00 AM,0.312,0.328,0.337,0.328,
4/29/2013 6:00 AM,0.310,0.326,0.336,0.327,
4/29/2013 8:00 AM,0.309,0.325,0.335,0.326,
4/29/2013 10:00 AM,0.309,0.325,0.335,0.326,
4/29/2013 12:00 PM,0.310,0.328,0.337,0.327,
4/29/2013 2:00 PM,0.312,0.331,0.339,0.328,
4/29/2013 4:00 PM,0.314,0.332,0.342,0.329,
4/29/2013 6:00 PM,0.316,0.334,0.343,0.331,
4/29/2013 8:00 PM,0.316,0.333,0.342,0.331,
4/29/2013 10:00 PM,0.314,0.331,0.340,0.331,
4/30/2013 12:00 AM,0.312,0.329,0.338,0.330,
4/30/2013 2:00 AM,0.310,0.328,0.337,0.329,
4/30/2013 4:00 AM,0.308,0.327,0.336,0.328,
4/30/2013 6:00 AM,0.307,0.326,0.335,0.328,
4/30/2013 8:00 AM,0.305,0.324,0.334,0.327,
4/30/2013 10:00 AM,0.305,0.324,0.334,0.327,
4/30/2013 12:00 PM,0.306,0.326,0.335,0.327,
4/30/2013 2:00 PM,0.307,0.328,0.337,0.328,
4/30/2013 4:00 PM,0.308,0.330,0.338,0.328,
4/30/2013 6:00 PM,0.309,0.330,0.339,0.328,
4/30/2013 8:00 PM,0.308,0.329,0.338,0.328,
4/30/2013 10:00 PM,0.306,0.326,0.336,0.327,
5/1/2013 12:00 AM,0.304,0.323,0.333,0.325,
5/1/2013 2:00 AM,0.302,0.322,0.332,0.324,
5/1/2013 4:00 AM,0.301,0.321,0.331,0.323,
5/1/2013 6:00 AM,0.300,0.320,0.330,0.322,
5/1/2013 8:00 AM,0.299,0.319,0.329,0.322,
5/1/2013 10:00 AM,0.299,0.319,0.329,0.321,
5/1/2013 12:00 PM,0.300,0.321,0.330,0.321,
5/1/2013 2:00 PM,0.301,0.323,0.332,0.322,
5/1/2013 4:00 PM,0.302,0.324,0.333,0.323,
5/1/2013 6:00 PM,0.303,0.324,0.333,0.323,
5/1/2013 8:00 PM,0.303,0.323,0.333,0.323,
5/1/2013 10:00 PM,0.301,0.321,0.331,0.323,
5/2/2013 12:00 AM,0.299,0.319,0.330,0.322,
5/2/2013 2:00 AM,0.298,0.318,0.328,0.321,
5/2/2013 4:00 AM,0.296,0.317,0.327,0.320,
5/2/2013 6:00 AM,0.295,0.316,0.326,0.320,
5/2/2013 8:00 AM,0.294,0.316,0.325,0.319,
5/2/2013 10:00 AM,0.295,0.316,0.324,0.318,
5/2/2013 12:00 PM,0.296,0.318,0.327,0.319,
5/2/2013 2:00 PM,0.299,0.321,0.330,0.321,
5/2/2013 4:00 PM,0.301,0.323,0.332,0.322,
5/2/2013 6:00 PM,0.303,0.324,0.333,0.323,
5/2/2013 8:00 PM,0.303,0.322,0.332,0.323,
5/2/2013 10:00 PM,0.301,0.320,0.330,0.322,
5/3/2013 12:00 AM,0.298,0.318,0.328,0.321,
5/3/2013 2:00 AM,0.296,0.317,0.327,0.320,
5/3/2013 4:00 AM,0.295,0.316,0.326,0.320,
5/3/2013 6:00 AM,0.293,0.315,0.324,0.319,
5/3/2013 8:00 AM,0.292,0.314,0.323,0.318,
5/3/2013 10:00 AM,0.293,0.314,0.323,0.317,
5/3/2013 12:00 PM,0.294,0.316,0.325,0.318,
5/3/2013 2:00 PM,0.297,0.319,0.328,0.320,
5/3/2013 4:00 PM,0.299,0.321,0.331,0.321,
5/3/2013 6:00 PM,0.301,0.322,0.332,0.322,
5/3/2013 8:00 PM,0.302,0.321,0.332,0.323,
5/3/2013 10:00 PM,0.300,0.320,0.330,0.322,
5/4/2013 12:00 AM,0.298,0.318,0.328,0.321,
5/4/2013 2:00 AM,0.296,0.317,0.327,0.321,
5/4/2013 4:00 AM,0.294,0.315,0.325,0.320,
5/4/2013 6:00 AM,0.293,0.314,0.324,0.319,
5/4/2013 8:00 AM,0.292,0.314,0.323,0.319,
5/4/2013 10:00 AM,0.292,0.314,0.323,0.318,
5/4/2013 12:00 PM,0.293,0.315,0.324,0.319,
5/4/2013 2:00 PM,0.295,0.317,0.327,0.320,
5/4/2013 4:00 PM,0.298,0.320,0.330,0.322,
5/4/2013 6:00 PM,0.300,0.321,0.330,0.322,
5/4/2013 8:00 PM,0.299,0.319,0.329,0.322,
5/4/2013 10:00 PM,0.298,0.318,0.328,0.322,
5/5/2013 12:00 AM,0.296,0.316,0.327,0.321,
5/5/2013 2:00 AM,0.295,0.315,0.326,0.321,
5/5/2013 4:00 AM,0.294,0.314,0.325,0.320,
5/5/2013 6:00 AM,0.293,0.314,0.324,0.320,
5/5/2013 8:00 AM,0.292,0.314,0.323,0.319,
5/5/2013 10:00 AM,0.291,0.313,0.323,0.319,
5/5/2013 12:00 PM,0.292,0.314,0.323,0.319,
5/5/2013 2:00 PM,0.294,0.316,0.326,0.320,
5/5/2013 4:00 PM,0.296,0.318,0.328,0.321,
5/5/2013 6:00 PM,0.298,0.319,0.329,0.322,
5/5/2013 8:00 PM,0.298,0.319,0.329,0.323,
5/5/2013 10:00 PM,0.297,0.317,0.327,0.322,
5/6/2013 12:00 AM,0.294,0.315,0.326,0.321,
5/6/2013 2:00 AM,0.293,0.314,0.324,0.320,
5/6/2013 4:00 AM,0.292,0.313,0.323,0.320,
5/6/2013 6:00 AM,0.291,0.313,0.323,0.319,
5/6/2013 8:00 AM,0.290,0.312,0.322,0.319,
5/6/2013 10:00 AM,0.290,0.311,0.321,0.318,
5/6/2013 12:00 PM,0.290,0.311,0.322,0.319,
5/6/2013 2:00 PM,0.292,0.314,0.324,0.320,
5/6/2013 4:00 PM,0.293,0.314,0.325,0.321,
5/6/2013 6:00 PM,0.294,0.315,0.326,0.321,
5/6/2013 8:00 PM,0.294,0.314,0.326,0.321,
5/6/2013 10:00 PM,0.293,0.313,0.324,0.321,
5/7/2013 12:00 AM,0.291,0.313,0.323,0.320,
5/7/2013 2:00 AM,0.290,0.312,0.322,0.319,
5/7/2013 4:00 AM,0.289,0.311,0.322,0.318,
5/7/2013 6:00 AM,0.288,0.311,0.322,0.318,
5/7/2013 8:00 AM,0.287,0.310,0.321,0.318,
5/7/2013 10:00 AM,0.286,0.309,0.320,0.317,
5/7/2013 12:00 PM,0.287,0.311,0.321,0.317,
5/7/2013 2:00 PM,0.288,0.311,0.321,0.318,
5/7/2013 4:00 PM,0.288,0.312,0.322,0.318,
5/7/2013 6:00 PM,0.289,0.314,0.323,0.319,
5/7/2013 8:00 PM,0.290,0.314,0.324,0.319,
5/7/2013 10:00 PM,0.290,0.312,0.322,0.319,
5/8/2013 12:00 AM,0.288,0.310,0.321,0.318,
5/8/2013 2:00 AM,0.287,0.309,0.320,0.317,
5/8/2013 4:00 AM,0.285,0.308,0.319,0.317,
5/8/2013 6:00 AM,0.284,0.308,0.318,0.316,
5/8/2013 8:00 AM,0.283,0.307,0.318,0.315,
5/8/2013 10:00 AM,0.283,0.306,0.316,0.314,
5/8/2013 12:00 PM,0.283,0.308,0.318,0.315,
5/8/2013 2:00 PM,0.286,0.311,0.321,0.316,
5/8/2013 4:00 PM,0.288,0.313,0.323,0.317,
5/8/2013 6:00 PM,0.290,0.313,0.323,0.318,
5/8/2013 8:00 PM,0.288,0.311,0.322,0.318,
5/8/2013 10:00 PM,0.287,0.310,0.321,0.318,
5/9/2013 12:00 AM,0.286,0.310,0.320,0.317,
5/9/2013 2:00 AM,0.284,0.308,0.319,0.316,
5/9/2013 4:00 AM,0.283,0.308,0.318,0.316,
5/9/2013 6:00 AM,0.282,0.307,0.317,0.315,
5/9/2013 8:00 AM,0.281,0.306,0.317,0.314,
5/9/2013 10:00 AM,0.281,0.305,0.316,0.313,
5/9/2013 12:00 PM,0.282,0.307,0.317,0.314,
5/9/2013 2:00 PM,0.284,0.309,0.320,0.315,
5/9/2013 4:00 PM,0.286,0.312,0.322,0.317,
5/9/2013 6:00 PM,0.287,0.313,0.324,0.318,
5/9/2013 8:00 PM,0.288,0.312,0.323,0.318,
5/9/2013 10:00 PM,0.287,0.310,0.322,0.318,
5/10/2013 12:00 AM,0.284,0.309,0.320,0.317,
5/10/2013 2:00 AM,0.283,0.308,0.319,0.316,
5/10/2013 4:00 AM,0.282,0.307,0.318,0.315,
5/10/2013 6:00 AM,0.280,0.306,0.317,0.314,
5/10/2013 8:00 AM,0.279,0.305,0.316,0.314,
5/10/2013 10:00 AM,0.278,0.304,0.314,0.313,
5/10/2013 12:00 PM,0.279,0.306,0.316,0.314,
5/10/2013 2:00 PM,0.281,0.308,0.319,0.315,
5/10/2013 4:00 PM,0.283,0.310,0.321,0.316,
5/10/2013 6:00 PM,0.283,0.310,0.322,0.317,
5/10/2013 8:00 PM,0.284,0.309,0.322,0.317,
5/10/2013 10:00 PM,0.283,0.308,0.320,0.316,
5/11/2013 12:00 AM,0.281,0.306,0.318,0.315,
5/11/2013 2:00 AM,0.279,0.305,0.317,0.314,
5/11/2013 4:00 AM,0.277,0.304,0.316,0.313,
5/11/2013 6:00 AM,0.276,0.303,0.314,0.313,
5/11/2013 8:00 AM,0.275,0.303,0.313,0.311,
5/11/2013 10:00 AM,0.273,0.301,0.311,0.310,
5/11/2013 12:00 PM,0.274,0.302,0.312,0.311,
5/11/2013 2:00 PM,0.277,0.305,0.316,0.312,
5/11/2013 4:00 PM,0.278,0.307,0.319,0.314,
5/11/2013 6:00 PM,0.279,0.308,0.319,0.315,
5/11/2013 8:00 PM,0.280,0.307,0.319,0.315,
5/11/2013 10:00 PM,0.278,0.306,0.318,0.314,
5/12/2013 12:00 AM,0.276,0.304,0.316,0.313,
5/12/2013 2:00 AM,0.275,0.303,0.314,0.312,
5/12/2013 4:00 AM,0.273,0.303,0.313,0.312,
5/12/2013 6:00 AM,0.271,0.302,0.312,0.310,
5/12/2013 8:00 AM,0.270,0.300,0.310,0.309,
5/12/2013 10:00 AM,0.269,0.298,0.308,0.307,
5/12/2013 12:00 PM,0.270,0.299,0.309,0.308,
5/12/2013 2:00 PM,0.271,0.303,0.313,0.310,
5/12/2013 4:00 PM,0.273,0.305,0.316,0.312,
5/12/2013 6:00 PM,0.275,0.306,0.317,0.313,
5/12/2013 8:00 PM,0.275,0.305,0.317,0.313,
5/12/2013 10:00 PM,0.274,0.304,0.316,0.312,
5/13/2013 12:00 AM,0.271,0.302,0.313,0.311,
5/13/2013 2:00 AM,0.270,0.301,0.312,0.310,
5/13/2013 4:00 AM,0.268,0.300,0.311,0.309,
5/13/2013 6:00 AM,0.266,0.299,0.310,0.308,
5/13/2013 8:00 AM,0.265,0.299,0.308,0.307,
5/13/2013 10:00 AM,0.263,0.296,0.305,0.305,
5/13/2013 12:00 PM,0.264,0.298,0.306,0.306,
5/13/2013 2:00 PM,0.266,0.301,0.311,0.308,
5/13/2013 4:00 PM,0.268,0.304,0.313,0.309,
5/13/2013 6:00 PM,0.268,0.306,0.315,0.311,
5/13/2013 8:00 PM,0.268,0.305,0.314,0.311,
5/13/2013 10:00 PM,0.266,0.303,0.313,0.310,
5/14/2013 12:00 AM,0.263,0.301,0.311,0.308,
5/14/2013 2:00 AM,0.261,0.300,0.309,0.307,
5/14/2013 4:00 AM,0.259,0.299,0.307,0.306,
5/14/2013 6:00 AM,0.258,0.298,0.306,0.305,
5/14/2013 8:00 AM,0.256,0.297,0.305,0.304,
5/14/2013 10:00 AM,0.254,0.295,0.302,0.302,
5/14/2013 12:00 PM,0.255,0.296,0.304,0.303,
5/14/2013 2:00 PM,0.256,0.298,0.306,0.304,
5/14/2013 4:00 PM,0.258,0.300,0.309,0.305,
5/14/2013 6:00 PM,0.259,0.301,0.310,0.306,
5/14/2013 8:00 PM,0.260,0.300,0.310,0.306,
5/14/2013 10:00 PM,0.258,0.299,0.309,0.305,
5/15/2013 12:00 AM,0.255,0.297,0.307,0.304,
5/15/2013 2:00 AM,0.253,0.296,0.305,0.304,
5/15/2013 4:00 AM,0.252,0.296,0.304,0.303,
5/15/2013 6:00 AM,0.251,0.295,0.303,0.302,
5/15/2013 8:00 AM,0.248,0.294,0.302,0.301,
5/15/2013 10:00 AM,0.246,0.293,0.300,0.300,
5/15/2013 12:00 PM,0.246,0.292,0.300,0.300,
5/15/2013 2:00 PM,0.248,0.294,0.303,0.301,
