HIM2_1,Port 1,Port 2,Port 3,Port 4,Port 5
2175 records,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,
Measurement Time,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,None
4/25/2013 12:00 PM,0.165,0.317,0.235,0.283,
4/25/2013 2:00 PM,0.175,0.323,0.237,0.281,
4/25/2013 4:00 PM,0.177,0.327,0.240,0.283,
4/25/2013 6:00 PM,0.179,0.328,0.244,0.285,
4/25/2013 8:00 PM,0.178,0.327,0.246,0.285,
4/25/2013 10:00 PM,0.170,0.325,0.247,0.287,
4/26/2013 12:00 AM,0.169,0.322,0.246,0.286,
4/26/2013 2:00 AM,0.164,0.321,0.245,0.285,
4/26/2013 4:00 AM,0.162,0.319,0.243,0.283,
4/26/2013 6:00 AM,0.161,0.318,0.242,0.283,
4/26/2013 8:00 AM,0.161,0.316,0.241,0.281,
4/26/2013 10:00 AM,0.169,0.317,0.239,0.279,
4/26/2013 12:00 PM,0.170,0.320,0.239,0.280,
4/26/2013 2:00 PM,0.172,0.324,0.238,0.282,
4/26/2013 4:00 PM,0.178,0.328,0.240,0.284,
4/26/2013 6:00 PM,0.179,0.330,0.243,0.286,
4/26/2013 8:00 PM,0.176,0.329,0.247,0.286,
4/26/2013 10:00 PM,0.170,0.326,0.248,0.288,
4/27/2013 12:00 AM,0.166,0.323,0.247,0.287,
4/27/2013 2:00 AM,0.164,0.321,0.245,0.286,
4/27/2013 4:00 AM,0.160,0.320,0.244,0.285,
4/27/2013 6:00 AM,0.159,0.318,0.243,0.284,
4/27/2013 8:00 AM,0.160,0.317,0.241,0.282,
4/27/2013 10:00 AM,0.168,0.317,0.239,0.279,
4/27/2013 12:00 PM,0.169,0.320,0.239,0.281,
4/27/2013 2:00 PM,0.170,0.324,0.239,0.283,
4/27/2013 4:00 PM,0.174,0.329,0.241,0.285,
4/27/2013 6:00 PM,0.175,0.331,0.244,0.287,
4/27/2013 8:00 PM,0.171,0.329,0.248,0.288,
4/27/2013 10:00 PM,0.165,0.327,0.248,0.289,
4/28/2013 12:00 AM,0.161,0.324,0.246,0.288,
4/28/2013 2:00 AM,0.158,0.322,0.245,0.287,
4/28/2013 4:00 AM,0.157,0.321,0.244,0.286,
4/28/2013 6:00 AM,0.154,0.319,0.243,0.286,
4/28/2013 8:00 AM,0.155,0.318,0.241,0.283,
4/28/2013 10:00 AM,0.161,0.318,0.239,0.281,
4/28/2013 12:00 PM,0.164,0.320,0.240,0.282,
4/28/2013 2:00 PM,0.167,0.323,0.240,0.283,
4/28/2013 4:00 PM,0.168,0.327,0.243,0.285,
4/28/2013 6:00 PM,0.169,0.327,0.243,0.284,
4/28/2013 8:00 PM,0.166,0.327,0.246,0.286,
4/28/2013 10:00 PM,0.164,0.324,0.249,0.288,
4/29/2013 12:00 AM,0.161,0.322,0.247,0.287,
4/29/2013 2:00 AM,0.159,0.320,0.245,0.285,
4/29/2013 4:00 AM,0.158,0.319,0.245,0.284,
4/29/2013 6:00 AM,0.156,0.317,0.243,0.283,
4/29/2013 8:00 AM,0.158,0.315,0.242,0.281,
4/29/2013 10:00 AM,0.159,0.315,0.240,0.279,
4/29/2013 12:00 PM,0.162,0.317,0.240,0.279,
4/29/2013 2:00 PM,0.164,0.320,0.240,0.280,
4/29/2013 4:00 PM,0.166,0.322,0.242,0.282,
4/29/2013 6:00 PM,0.167,0.324,0.245,0.283,
4/29/2013 8:00 PM,0.163,0.324,0.246,0.285,
4/29/2013 10:00 PM,0.159,0.322,0.246,0.287,
4/30/2013 12:00 AM,0.159,0.321,0.246,0.287,
4/30/2013 2:00 AM,0.159,0.319,0.245,0.286,
4/30/2013 4:00 AM,0.158,0.318,0.244,0.286,
4/30/2013 6:00 AM,0.158,0.316,0.244,0.284,
4/30/2013 8:00 AM,0.157,0.315,0.243,0.283,
4/30/2013 10:00 AM,0.155,0.314,0.240,0.281,
4/30/2013 12:00 PM,0.156,0.316,0.240,0.280,
4/30/2013 2:00 PM,0.158,0.319,0.240,0.281,
4/30/2013 4:00 PM,0.158,0.321,0.241,0.282,
4/30/2013 6:00 PM,0.156,0.322,0.241,0.283,
4/30/2013 8:00 PM,0.153,0.321,0.244,0.284,
4/30/2013 10:00 PM,0.152,0.318,0.244,0.284,
5/1/2013 12:00 AM,0.150,0.316,0.243,0.283,
5/1/2013 2:00 AM,0.148,0.313,0.242,0.283,
