H2M2_2,Port 1,Port 2,Port 3,Port 4,Port 5
1127 records,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,
Measurement Time,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,None
3/19/2014 10:00 PM,#N/A,#N/A,#N/A,#N/A,
3/20/2014 12:00 AM,#N/A,#N/A,#N/A,#N/A,
3/20/2014 2:00 AM,#N/A,#N/A,#N/A,#N/A,
3/20/2014 4:00 AM,#N/A,#N/A,#N/A,#N/A,
3/20/2014 6:00 AM,#N/A,#N/A,#N/A,#N/A,
3/20/2014 8:00 AM,#N/A,#N/A,#N/A,#N/A,
3/20/2014 10:00 AM,-0.276,-0.255,-0.232,-0.242,
3/20/2014 12:00 PM,0.306,0.321,0.339,0.330,
3/20/2014 2:00 PM,0.308,0.324,0.341,0.331,
3/20/2014 4:00 PM,0.310,0.326,0.344,0.333,
3/20/2014 6:00 PM,0.311,0.327,0.345,0.334,
3/20/2014 8:00 PM,0.311,0.327,0.344,0.334,
3/20/2014 10:00 PM,0.310,0.324,0.342,0.333,
3/21/2014 12:00 AM,0.308,0.323,0.340,0.332,
3/21/2014 2:00 AM,0.307,0.322,0.339,0.331,
3/21/2014 4:00 AM,0.305,0.320,0.337,0.330,
3/21/2014 6:00 AM,0.304,0.319,0.337,0.329,
3/21/2014 8:00 AM,0.303,0.319,0.336,0.328,
3/21/2014 10:00 AM,0.303,0.318,0.336,0.327,
3/21/2014 12:00 PM,0.303,0.319,0.337,0.327,
3/21/2014 2:00 PM,0.304,0.321,0.339,0.328,
3/21/2014 4:00 PM,0.307,0.323,0.341,0.329,
3/21/2014 6:00 PM,0.308,0.324,0.342,0.330,
3/21/2014 8:00 PM,0.308,0.323,0.341,0.329,
3/21/2014 10:00 PM,0.306,0.321,0.339,0.329,
3/22/2014 12:00 AM,0.305,0.320,0.338,0.328,
3/22/2014 2:00 AM,0.304,0.320,0.337,0.328,
3/22/2014 4:00 AM,0.303,0.319,0.337,0.327,
3/22/2014 6:00 AM,0.302,0.318,0.336,0.326,
3/22/2014 8:00 AM,0.301,0.317,0.335,0.324,
3/22/2014 10:00 AM,0.300,0.316,0.335,0.324,
3/22/2014 12:00 PM,0.301,0.318,0.337,0.325,
3/22/2014 2:00 PM,0.303,0.320,0.339,0.326,
3/22/2014 4:00 PM,0.305,0.321,0.341,0.327,
3/22/2014 6:00 PM,0.307,0.323,0.342,0.328,
3/22/2014 8:00 PM,0.307,0.322,0.342,0.328,
3/22/2014 10:00 PM,0.304,0.320,0.338,0.327,
3/23/2014 12:00 AM,0.302,0.318,0.337,0.326,
3/23/2014 2:00 AM,0.301,0.317,0.336,0.324,
3/23/2014 4:00 AM,0.299,0.316,0.334,0.323,
3/23/2014 6:00 AM,0.298,0.314,0.333,0.322,
3/23/2014 8:00 AM,0.297,0.314,0.332,0.321,
3/23/2014 10:00 AM,0.297,0.314,0.333,0.321,
3/23/2014 12:00 PM,0.299,0.315,0.336,0.322,
3/23/2014 2:00 PM,0.301,0.318,0.338,0.323,
3/23/2014 4:00 PM,0.303,0.320,0.341,0.326,
3/23/2014 6:00 PM,0.306,0.322,0.342,0.327,
3/23/2014 8:00 PM,0.306,0.321,0.342,0.327,
3/23/2014 10:00 PM,0.303,0.319,0.338,0.326,
3/24/2014 12:00 AM,0.301,0.317,0.337,0.324,
3/24/2014 2:00 AM,0.299,0.316,0.336,0.323,
3/24/2014 4:00 AM,0.298,0.315,0.335,0.322,
3/24/2014 6:00 AM,0.297,0.314,0.333,0.321,
3/24/2014 8:00 AM,0.296,0.314,0.333,0.320,
3/24/2014 10:00 AM,0.296,0.313,0.333,0.320,
3/24/2014 12:00 PM,0.298,0.314,0.336,0.321,
3/24/2014 2:00 PM,0.299,0.317,0.338,0.322,
3/24/2014 4:00 PM,0.302,0.319,0.341,0.324,
3/24/2014 6:00 PM,0.305,0.321,0.342,0.325,
3/24/2014 8:00 PM,0.305,0.321,0.342,0.324,
3/24/2014 10:00 PM,0.303,0.319,0.339,0.323,
3/25/2014 12:00 AM,0.301,0.317,0.337,0.322,
3/25/2014 2:00 AM,0.299,0.316,0.336,0.321,
3/25/2014 4:00 AM,0.298,0.315,0.335,0.320,
3/25/2014 6:00 AM,0.297,0.314,0.333,0.319,
3/25/2014 8:00 AM,0.296,0.313,0.333,0.318,
3/25/2014 10:00 AM,0.295,0.312,0.333,0.318,
3/25/2014 12:00 PM,0.297,0.314,0.336,0.318,
3/25/2014 2:00 PM,0.299,0.316,0.338,0.320,
3/25/2014 4:00 PM,0.301,0.318,0.341,0.321,
3/25/2014 6:00 PM,0.304,0.320,0.342,0.322,
3/25/2014 8:00 PM,0.304,0.320,0.342,0.322,
3/25/2014 10:00 PM,0.302,0.318,0.339,0.322,
3/26/2014 12:00 AM,0.301,0.317,0.338,0.321,
3/26/2014 2:00 AM,0.299,0.316,0.337,0.320,
3/26/2014 4:00 AM,0.299,0.315,0.336,0.319,
3/26/2014 6:00 AM,0.298,0.315,0.336,0.318,
3/26/2014 8:00 AM,0.297,0.314,0.335,0.318,
3/26/2014 10:00 AM,0.300,0.312,0.335,0.317,
3/26/2014 12:00 PM,0.299,0.312,0.335,0.317,
3/26/2014 2:00 PM,0.298,0.316,0.337,0.318,
3/26/2014 4:00 PM,0.299,0.317,0.338,0.318,
3/26/2014 6:00 PM,0.300,0.318,0.339,0.319,
3/26/2014 8:00 PM,0.300,0.318,0.338,0.319,
3/26/2014 10:00 PM,0.299,0.316,0.337,0.318,
3/27/2014 12:00 AM,0.297,0.315,0.335,0.317,
3/27/2014 2:00 AM,0.296,0.314,0.335,0.316,
3/27/2014 4:00 AM,0.295,0.313,0.333,0.316,
3/27/2014 6:00 AM,0.295,0.312,0.333,0.315,
3/27/2014 8:00 AM,0.294,0.311,0.333,0.315,
3/27/2014 10:00 AM,0.294,0.312,0.333,0.315,
3/27/2014 12:00 PM,0.295,0.313,0.335,0.315,
3/27/2014 2:00 PM,0.296,0.313,0.335,0.315,
3/27/2014 4:00 PM,0.296,0.314,0.336,0.315,
3/27/2014 6:00 PM,0.298,0.316,0.338,0.316,
3/27/2014 8:00 PM,0.298,0.316,0.337,0.316,
3/27/2014 10:00 PM,0.296,0.314,0.335,0.316,
3/28/2014 12:00 AM,0.294,0.313,0.333,0.314,
3/28/2014 2:00 AM,0.293,0.312,0.333,0.314,
3/28/2014 4:00 AM,0.292,0.311,0.332,0.313,
3/28/2014 6:00 AM,0.292,0.311,0.332,0.312,
3/28/2014 8:00 AM,0.291,0.310,0.331,0.312,
3/28/2014 10:00 AM,0.291,0.310,0.332,0.311,
3/28/2014 12:00 PM,0.293,0.311,0.334,0.312,
3/28/2014 2:00 PM,0.295,0.313,0.336,0.313,
3/28/2014 4:00 PM,0.298,0.315,0.339,0.315,
3/28/2014 6:00 PM,0.300,0.317,0.340,0.316,
3/28/2014 8:00 PM,0.299,0.317,0.338,0.316,
3/28/2014 10:00 PM,0.298,0.315,0.336,0.315,
3/29/2014 12:00 AM,0.296,0.314,0.335,0.314,
3/29/2014 2:00 AM,0.295,0.313,0.334,0.313,
3/29/2014 4:00 AM,0.294,0.312,0.334,0.312,
3/29/2014 6:00 AM,0.294,0.312,0.334,0.312,
3/29/2014 8:00 AM,0.293,0.312,0.333,0.312,
3/29/2014 10:00 AM,0.293,0.311,0.333,0.312,
3/29/2014 12:00 PM,0.294,0.312,0.335,0.312,
3/29/2014 2:00 PM,0.296,0.314,0.337,0.313,
3/29/2014 4:00 PM,0.298,0.316,0.338,0.315,
3/29/2014 6:00 PM,0.299,0.316,0.338,0.315,
3/29/2014 8:00 PM,0.299,0.315,0.338,0.315,
3/29/2014 10:00 PM,0.297,0.315,0.337,0.314,
3/30/2014 12:00 AM,0.296,0.314,0.336,0.314,
3/30/2014 2:00 AM,0.295,0.314,0.335,0.313,
3/30/2014 4:00 AM,0.295,0.313,0.335,0.312,
3/30/2014 6:00 AM,0.294,0.312,0.333,0.312,
3/30/2014 8:00 AM,0.293,0.311,0.333,0.311,
3/30/2014 10:00 AM,0.295,0.310,0.333,0.312,
3/30/2014 12:00 PM,0.301,0.331,0.346,0.318,
3/30/2014 2:00 PM,0.307,0.342,0.353,0.320,
3/30/2014 4:00 PM,0.317,0.356,0.359,0.324,
3/30/2014 6:00 PM,0.324,0.363,0.361,0.335,
3/30/2014 8:00 PM,0.322,0.362,0.359,0.335,
3/30/2014 10:00 PM,0.320,0.359,0.358,0.334,
3/31/2014 12:00 AM,0.319,0.358,0.356,0.333,
3/31/2014 2:00 AM,0.317,0.357,0.355,0.333,
3/31/2014 4:00 AM,0.315,0.355,0.353,0.333,
3/31/2014 6:00 AM,0.313,0.354,0.351,0.332,
3/31/2014 8:00 AM,0.310,0.351,0.350,0.331,
