1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4D00000029B36941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Mar 20 02:01:01 MDT 2014
Mission Sample Count:  557
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 20 02:01:01 MDT 2014
Total Mission Samples:  557
Total Device Samples:  9099
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/20/14 2:01:01 AM,%RH,23.074
3/20/14 6:01:01 AM,%RH,22.38
3/20/14 10:01:01 AM,%RH,95.338
3/20/14 2:01:01 PM,%RH,88.814
3/20/14 6:01:01 PM,%RH,92.862
3/20/14 10:01:01 PM,%RH,102.982
3/21/14 2:01:01 AM,%RH,107.991
3/21/14 6:01:01 AM,%RH,109.322
3/21/14 10:01:01 AM,%RH,108.436
3/21/14 2:01:01 PM,%RH,99.213
3/21/14 6:01:01 PM,%RH,102.05
3/21/14 10:01:01 PM,%RH,106.645
3/22/14 2:01:01 AM,%RH,107.095
3/22/14 6:01:01 AM,%RH,107.991
3/22/14 10:01:01 AM,%RH,106.193
3/22/14 2:01:01 PM,%RH,97.772
3/22/14 6:01:01 PM,%RH,95.828
3/22/14 10:01:01 PM,%RH,107.095
3/23/14 2:01:01 AM,%RH,110.639
3/23/14 6:01:01 AM,%RH,112.799
3/23/14 10:01:01 AM,%RH,106.193
3/23/14 2:01:01 PM,%RH,95.828
3/23/14 6:01:01 PM,%RH,93.857
3/23/14 10:01:01 PM,%RH,107.095
3/24/14 2:01:01 AM,%RH,108.436
3/24/14 6:01:01 AM,%RH,111.074
3/24/14 10:01:01 AM,%RH,105.739
3/24/14 2:01:01 PM,%RH,92.862
3/24/14 6:01:01 PM,%RH,90.851
3/24/14 10:01:01 PM,%RH,103.908
3/25/14 2:01:01 AM,%RH,107.991
3/25/14 6:01:01 AM,%RH,109.322
3/25/14 10:01:01 AM,%RH,104.368
3/25/14 2:01:01 PM,%RH,91.356
3/25/14 6:01:01 PM,%RH,88.814
3/25/14 10:01:01 PM,%RH,100.639
3/26/14 2:01:01 AM,%RH,103.446
3/26/14 6:01:01 AM,%RH,104.827
3/26/14 10:01:01 AM,%RH,105.284
3/26/14 2:01:01 PM,%RH,99.69
3/26/14 6:01:01 PM,%RH,99.69
3/26/14 10:01:01 PM,%RH,106.645
3/27/14 2:01:01 AM,%RH,108.436
3/27/14 6:01:01 AM,%RH,107.544
3/27/14 10:01:01 AM,%RH,106.193
3/27/14 2:01:01 PM,%RH,104.368
3/27/14 6:01:01 PM,%RH,98.254
3/27/14 10:01:01 PM,%RH,107.095
3/28/14 2:01:01 AM,%RH,108.436
3/28/14 6:01:01 AM,%RH,110.201
3/28/14 10:01:01 AM,%RH,105.284
3/28/14 2:01:01 PM,%RH,93.857
3/28/14 6:01:01 PM,%RH,97.289
3/28/14 10:01:01 PM,%RH,104.827
3/29/14 2:01:01 AM,%RH,105.284
3/29/14 6:01:01 AM,%RH,103.446
3/29/14 10:01:01 AM,%RH,98.254
3/29/14 2:01:01 PM,%RH,88.814
3/29/14 6:01:01 PM,%RH,90.851
3/29/14 10:01:01 PM,%RH,98.254
3/30/14 2:01:01 AM,%RH,101.581
3/30/14 6:01:01 AM,%RH,102.982
3/30/14 10:01:01 AM,%RH,105.739
3/30/14 2:01:01 PM,%RH,107.544
