1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4D00000029B36941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Mar 20 02:01:01 MDT 2014
Mission Sample Count:  557
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 20 02:01:01 MDT 2014
Total Mission Samples:  557
Total Device Samples:  9099
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/20/14 2:01:01 AM,C,21.077
3/20/14 6:01:01 AM,C,20.577
3/20/14 10:01:01 AM,C,5.054
3/20/14 2:01:01 PM,C,16.574
3/20/14 6:01:01 PM,C,15.573
3/20/14 10:01:01 PM,C,7.059
3/21/14 2:01:01 AM,C,3.55
3/21/14 6:01:01 AM,C,0.542
3/21/14 10:01:01 AM,C,3.049
3/21/14 2:01:01 PM,C,12.068
3/21/14 6:01:01 PM,C,10.065
3/21/14 10:01:01 PM,C,5.555
3/22/14 2:01:01 AM,C,3.55
3/22/14 6:01:01 AM,C,2.046
3/22/14 10:01:01 AM,C,6.056
3/22/14 2:01:01 PM,C,14.071
3/22/14 6:01:01 PM,C,14.071
3/22/14 10:01:01 PM,C,3.049
3/23/14 2:01:01 AM,C,-1.464
3/23/14 6:01:01 AM,C,-2.97
3/23/14 10:01:01 AM,C,5.054
3/23/14 2:01:01 PM,C,16.073
3/23/14 6:01:01 PM,C,15.573
3/23/14 10:01:01 PM,C,3.049
3/24/14 2:01:01 AM,C,0.542
3/24/14 6:01:01 AM,C,-1.464
3/24/14 10:01:01 AM,C,8.061
3/24/14 2:01:01 PM,C,17.575
3/24/14 6:01:01 PM,C,17.575
3/24/14 10:01:01 PM,C,6.558
3/25/14 2:01:01 AM,C,2.046
3/25/14 6:01:01 AM,C,0.04
3/25/14 10:01:01 AM,C,8.562
3/25/14 2:01:01 PM,C,18.576
3/25/14 6:01:01 PM,C,18.576
3/25/14 10:01:01 PM,C,9.564
3/26/14 2:01:01 AM,C,7.56
3/26/14 6:01:01 AM,C,6.056
3/26/14 10:01:01 AM,C,6.558
3/26/14 2:01:01 PM,C,12.068
3/26/14 6:01:01 PM,C,12.569
3/26/14 10:01:01 PM,C,5.054
3/27/14 2:01:01 AM,C,2.046
3/27/14 6:01:01 AM,C,4.553
3/27/14 10:01:01 AM,C,7.059
3/27/14 2:01:01 PM,C,9.063
3/27/14 6:01:01 PM,C,14.071
3/27/14 10:01:01 PM,C,4.052
3/28/14 2:01:01 AM,C,1.043
3/28/14 6:01:01 AM,C,1.043
3/28/14 10:01:01 AM,C,8.562
3/28/14 2:01:01 PM,C,18.075
3/28/14 6:01:01 PM,C,13.57
3/28/14 10:01:01 PM,C,6.056
3/29/14 2:01:01 AM,C,6.056
3/29/14 6:01:01 AM,C,7.56
3/29/14 10:01:01 AM,C,12.569
3/29/14 2:01:01 PM,C,18.576
3/29/14 6:01:01 PM,C,15.573
3/29/14 10:01:01 PM,C,10.566
3/30/14 2:01:01 AM,C,9.063
3/30/14 6:01:01 AM,C,7.56
3/30/14 10:01:01 AM,C,5.555
3/30/14 2:01:01 PM,C,4.553
3/30/14 6:01:01 PM,C,6.056
3/30/14 10:01:01 PM,C,2.046
3/31/14 2:01:01 AM,C,1.043
3/31/14 6:01:01 AM,C,0.542
3/31/14 10:01:01 AM,C,6.558
3/31/14 2:01:01 PM,C,13.07
3/31/14 6:01:01 PM,C,9.063
3/31/14 10:01:01 PM,C,5.054
4/1/14 2:01:01 AM,C,3.049
4/1/14 6:01:01 AM,C,3.049
4/1/14 10:01:01 AM,C,5.054
4/1/14 2:01:01 PM,C,6.056
4/1/14 6:01:01 PM,C,9.564
4/1/14 10:01:01 PM,C,2.548
4/2/14 2:01:01 AM,C,1.043
4/2/14 6:01:01 AM,C,0.542
4/2/14 10:01:01 AM,C,4.553
4/2/14 2:01:01 PM,C,14.071
4/2/14 6:01:01 PM,C,10.566
4/2/14 10:01:01 PM,C,4.553
4/3/14 2:01:01 AM,C,3.049
4/3/14 6:01:01 AM,C,1.043
4/3/14 10:01:01 AM,C,7.059
4/3/14 2:01:01 PM,C,9.063
4/3/14 6:01:01 PM,C,11.567
4/3/14 10:01:01 PM,C,5.054
4/4/14 2:01:01 AM,C,2.548
4/4/14 6:01:01 AM,C,1.043
4/4/14 10:01:01 AM,C,7.059
4/4/14 2:01:01 PM,C,15.072
4/4/14 6:01:01 PM,C,10.566
4/4/14 10:01:01 PM,C,5.555
4/5/14 2:01:01 AM,C,4.052
4/5/14 6:01:01 AM,C,4.052
4/5/14 10:01:01 AM,C,5.054
4/5/14 2:01:01 PM,C,13.57
4/5/14 6:01:01 PM,C,9.564
4/5/14 10:01:01 PM,C,4.553
4/6/14 2:01:01 AM,C,3.049
4/6/14 6:01:01 AM,C,2.046
4/6/14 10:01:01 AM,C,5.555
4/6/14 2:01:01 PM,C,11.067
4/6/14 6:01:01 PM,C,11.567
4/6/14 10:01:01 PM,C,6.056
4/7/14 2:01:01 AM,C,4.052
4/7/14 6:01:01 AM,C,2.046
4/7/14 10:01:01 AM,C,8.061
4/7/14 2:01:01 PM,C,17.075
4/7/14 6:01:01 PM,C,16.574
4/7/14 10:01:01 PM,C,8.562
4/8/14 2:01:01 AM,C,5.555
4/8/14 6:01:01 AM,C,3.049
4/8/14 10:01:01 AM,C,9.564
4/8/14 2:01:01 PM,C,19.576
4/8/14 6:01:01 PM,C,18.576
4/8/14 10:01:01 PM,C,11.567
4/9/14 2:01:01 AM,C,8.061
4/9/14 6:01:01 AM,C,6.056
4/9/14 10:01:01 AM,C,11.067
4/9/14 2:01:01 PM,C,19.576
4/9/14 6:01:01 PM,C,18.576
4/9/14 10:01:01 PM,C,11.067
4/10/14 2:01:01 AM,C,7.56
4/10/14 6:01:01 AM,C,5.555
4/10/14 10:01:01 AM,C,11.567
4/10/14 2:01:01 PM,C,22.078
4/10/14 6:01:01 PM,C,19.576
4/10/14 10:01:01 PM,C,12.569
4/11/14 2:01:01 AM,C,8.061
4/11/14 6:01:01 AM,C,5.555
4/11/14 10:01:01 AM,C,12.068
4/11/14 2:01:01 PM,C,23.578
4/11/14 6:01:01 PM,C,21.578
4/11/14 10:01:01 PM,C,13.57
4/12/14 2:01:01 AM,C,11.067
4/12/14 6:01:01 AM,C,7.56
4/12/14 10:01:01 AM,C,12.569
4/12/14 2:01:01 PM,C,16.073
4/12/14 6:01:01 PM,C,16.574
4/12/14 10:01:01 PM,C,10.566
4/13/14 2:01:01 AM,C,6.056
4/13/14 6:01:01 AM,C,3.55
4/13/14 10:01:01 AM,C,5.555
4/13/14 2:01:01 PM,C,12.068
4/13/14 6:01:01 PM,C,11.567
4/13/14 10:01:01 PM,C,6.056
4/14/14 2:01:01 AM,C,3.55
4/14/14 6:01:01 AM,C,1.043
4/14/14 10:01:01 AM,C,6.056
4/14/14 2:01:01 PM,C,17.575
4/14/14 6:01:01 PM,C,15.573
4/14/14 10:01:01 PM,C,7.059
4/15/14 2:01:01 AM,C,3.55
4/15/14 6:01:01 AM,C,2.046
4/15/14 10:01:01 AM,C,8.562
4/15/14 2:01:01 PM,C,19.576
4/15/14 6:01:01 PM,C,16.574
4/15/14 10:01:01 PM,C,10.566
4/16/14 2:01:01 AM,C,8.562
4/16/14 6:01:01 AM,C,6.056
4/16/14 10:01:01 AM,C,9.564
4/16/14 2:01:01 PM,C,19.576
4/16/14 6:01:01 PM,C,16.574
4/16/14 10:01:01 PM,C,9.063
4/17/14 2:01:01 AM,C,4.553
4/17/14 6:01:01 AM,C,2.046
4/17/14 10:01:01 AM,C,9.564
4/17/14 2:01:01 PM,C,21.077
4/17/14 6:01:01 PM,C,20.077
4/17/14 10:01:01 PM,C,13.57
4/18/14 2:01:01 AM,C,10.566
4/18/14 6:01:01 AM,C,10.065
4/18/14 10:01:01 AM,C,13.07
4/18/14 2:01:01 PM,C,16.073
4/18/14 6:01:01 PM,C,18.576
4/18/14 10:01:01 PM,C,12.569
4/19/14 2:01:01 AM,C,10.065
4/19/14 6:01:01 AM,C,7.059
4/19/14 10:01:01 AM,C,12.569
4/19/14 2:01:01 PM,C,24.578
4/19/14 6:01:01 PM,C,21.077
4/19/14 10:01:01 PM,C,13.57
4/20/14 2:01:01 AM,C,12.569
4/20/14 6:01:01 AM,C,10.065
4/20/14 10:01:01 AM,C,14.572
4/20/14 2:01:01 PM,C,24.578
4/20/14 6:01:01 PM,C,21.578
4/20/14 10:01:01 PM,C,13.07
4/21/14 2:01:01 AM,C,9.564
4/21/14 6:01:01 AM,C,5.555
4/21/14 10:01:01 AM,C,13.07
4/21/14 2:01:01 PM,C,25.078
4/21/14 6:01:01 PM,C,22.078
4/21/14 10:01:01 PM,C,15.072
4/22/14 2:01:01 AM,C,13.57
4/22/14 6:01:01 AM,C,13.57
4/22/14 10:01:01 AM,C,16.574
4/22/14 2:01:01 PM,C,25.578
4/22/14 6:01:01 PM,C,15.072
4/22/14 10:01:01 PM,C,9.063
4/23/14 2:01:01 AM,C,7.059
4/23/14 6:01:01 AM,C,4.553
4/23/14 10:01:01 AM,C,10.065
4/23/14 2:01:01 PM,C,21.077
4/23/14 6:01:01 PM,C,17.075
4/23/14 10:01:01 PM,C,8.562
4/24/14 2:01:01 AM,C,6.056
4/24/14 6:01:01 AM,C,4.553
4/24/14 10:01:01 AM,C,11.067
4/24/14 2:01:01 PM,C,20.077
4/24/14 6:01:01 PM,C,19.076
