1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 900000002990C841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Mar 20 02:04:01 MDT 2014
Mission Sample Count:  557
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 20 02:04:01 MDT 2014
Total Mission Samples:  557
Total Device Samples:  9121
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/20/14 2:04:01 AM,%RH,38.001
3/20/14 6:04:01 AM,%RH,36.055
3/20/14 10:04:01 AM,%RH,95.124
3/20/14 2:04:01 PM,%RH,86.137
3/20/14 6:04:01 PM,%RH,85.107
3/20/14 10:04:01 PM,%RH,99.423
3/21/14 2:04:01 AM,%RH,104.503
3/21/14 6:04:01 AM,%RH,107.634
3/21/14 10:04:01 AM,%RH,105.405
3/21/14 2:04:01 PM,%RH,91.194
3/21/14 6:04:01 PM,%RH,88.179
3/21/14 10:04:01 PM,%RH,98.479
3/22/14 2:04:01 AM,%RH,102.678
3/22/14 6:04:01 AM,%RH,104.955
3/22/14 10:04:01 AM,%RH,102.678
3/22/14 2:04:01 PM,%RH,88.179
3/22/14 6:04:01 PM,%RH,85.107
3/22/14 10:04:01 PM,%RH,101.293
3/23/14 2:04:01 AM,%RH,106.302
3/23/14 6:04:01 AM,%RH,108.514
3/23/14 10:04:01 AM,%RH,100.828
3/23/14 2:04:01 PM,%RH,85.107
3/23/14 6:04:01 PM,%RH,80.921
3/23/14 10:04:01 PM,%RH,98.479
3/24/14 2:04:01 AM,%RH,102.218
3/24/14 6:04:01 AM,%RH,105.854
3/24/14 10:04:01 AM,%RH,97.529
3/24/14 2:04:01 PM,%RH,80.39
3/24/14 6:04:01 PM,%RH,77.714
3/24/14 10:04:01 PM,%RH,93.172
3/25/14 2:04:01 AM,%RH,100.361
3/25/14 6:04:01 AM,%RH,103.593
3/25/14 10:04:01 AM,%RH,95.608
3/25/14 2:04:01 PM,%RH,78.252
3/25/14 6:04:01 PM,%RH,74.45
3/25/14 10:04:01 PM,%RH,87.671
3/26/14 2:04:01 AM,%RH,93.662
3/26/14 6:04:01 AM,%RH,94.638
3/26/14 10:04:01 AM,%RH,96.091
3/26/14 2:04:01 PM,%RH,91.691
3/26/14 6:04:01 PM,%RH,96.091
3/26/14 10:04:01 PM,%RH,105.854
3/27/14 2:04:01 AM,%RH,107.634
3/27/14 6:04:01 AM,%RH,104.955
3/27/14 10:04:01 AM,%RH,100.828
3/27/14 2:04:01 PM,%RH,99.423
3/27/14 6:04:01 PM,%RH,95.608
3/27/14 10:04:01 PM,%RH,104.049
3/28/14 2:04:01 AM,%RH,107.191
3/28/14 6:04:01 AM,%RH,107.191
3/28/14 10:04:01 AM,%RH,98.479
3/28/14 2:04:01 PM,%RH,84.589
3/28/14 6:04:01 PM,%RH,81.977
3/28/14 10:04:01 PM,%RH,95.124
3/29/14 2:04:01 AM,%RH,97.051
3/29/14 6:04:01 AM,%RH,97.051
3/29/14 10:04:01 AM,%RH,89.19
3/29/14 2:04:01 PM,%RH,72.796
3/29/14 6:04:01 PM,%RH,77.174
3/29/14 10:04:01 PM,%RH,87.161
3/30/14 2:04:01 AM,%RH,92.186
3/30/14 6:04:01 AM,%RH,96.572
3/30/14 10:04:01 AM,%RH,98.952
3/30/14 2:04:01 PM,%RH,118.179
3/30/14 6:04:01 PM,%RH,118.179
3/30/14 10:04:01 PM,%RH,118.179
3/31/14 2:04:01 AM,%RH,108.075
3/31/14 6:04:01 AM,%RH,112.397
3/31/14 10:04:01 AM,%RH,110.256
3/31/14 2:04:01 PM,%RH,118.179
3/31/14 6:04:01 PM,%RH,117.776
3/31/14 10:04:01 PM,%RH,108.514
4/1/14 2:04:01 AM,%RH,111.545
4/1/14 6:04:01 AM,%RH,74.45
4/1/14 10:04:01 AM,%RH,73.9
4/1/14 2:04:01 PM,%RH,77.714
4/1/14 6:04:01 PM,%RH,118.179
4/1/14 10:04:01 PM,%RH,101.293
4/2/14 2:04:01 AM,%RH,63.154
4/2/14 6:04:01 AM,%RH,49.991
4/2/14 10:04:01 AM,%RH,47.515
4/2/14 2:04:01 PM,%RH,118.179
4/2/14 6:04:01 PM,%RH,118.179
