1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 900000002990C841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Mar 20 02:04:01 MDT 2014
Mission Sample Count:  557
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 20 02:04:01 MDT 2014
Total Mission Samples:  557
Total Device Samples:  9121
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/20/14 2:04:01 AM,C,20.669
3/20/14 6:04:01 AM,C,20.168
3/20/14 10:04:01 AM,C,5.613
3/20/14 2:04:01 PM,C,15.658
3/20/14 6:04:01 PM,C,15.658
3/20/14 10:04:01 PM,C,6.116
3/21/14 2:04:01 AM,C,2.089
3/21/14 6:04:01 AM,C,-0.934
3/21/14 10:04:01 AM,C,3.096
3/21/14 2:04:01 PM,C,12.648
3/21/14 6:04:01 PM,C,12.146
3/21/14 10:04:01 PM,C,5.11
3/22/14 2:04:01 AM,C,2.593
3/22/14 6:04:01 AM,C,0.578
3/22/14 10:04:01 AM,C,5.11
3/22/14 2:04:01 PM,C,12.648
3/22/14 6:04:01 PM,C,13.652
3/22/14 10:04:01 PM,C,1.586
3/23/14 2:04:01 AM,C,-2.447
3/23/14 6:04:01 AM,C,-4.969
3/23/14 10:04:01 AM,C,4.606
3/23/14 2:04:01 PM,C,14.153
3/23/14 6:04:01 PM,C,15.157
3/23/14 10:04:01 PM,C,2.089
3/24/14 2:04:01 AM,C,-0.43
3/24/14 6:04:01 AM,C,-2.447
3/24/14 10:04:01 AM,C,6.619
3/24/14 2:04:01 PM,C,16.661
3/24/14 6:04:01 PM,C,17.162
3/24/14 10:04:01 PM,C,5.11
3/25/14 2:04:01 AM,C,0.578
3/25/14 6:04:01 AM,C,-1.438
3/25/14 10:04:01 AM,C,8.127
3/25/14 2:04:01 PM,C,18.165
3/25/14 6:04:01 PM,C,18.165
3/25/14 10:04:01 PM,C,8.63
3/26/14 2:04:01 AM,C,7.122
3/26/14 6:04:01 AM,C,5.613
3/26/14 10:04:01 AM,C,7.122
3/26/14 2:04:01 PM,C,15.157
3/26/14 6:04:01 PM,C,14.153
3/26/14 10:04:01 PM,C,3.6
3/27/14 2:04:01 AM,C,1.082
3/27/14 6:04:01 AM,C,4.103
3/27/14 10:04:01 AM,C,9.132
3/27/14 2:04:01 PM,C,10.137
3/27/14 6:04:01 PM,C,13.15
3/27/14 10:04:01 PM,C,2.593
3/28/14 2:04:01 AM,C,0.074
3/28/14 6:04:01 AM,C,0.074
3/28/14 10:04:01 AM,C,11.142
3/28/14 2:04:01 PM,C,18.165
3/28/14 6:04:01 PM,C,15.157
3/28/14 10:04:01 PM,C,5.11
3/29/14 2:04:01 AM,C,5.613
3/29/14 6:04:01 AM,C,6.619
3/29/14 10:04:01 AM,C,13.652
3/29/14 2:04:01 PM,C,23.171
3/29/14 6:04:01 PM,C,17.162
3/29/14 10:04:01 PM,C,10.639
3/30/14 2:04:01 AM,C,8.127
3/30/14 6:04:01 AM,C,7.122
3/30/14 10:04:01 AM,C,5.613
3/30/14 2:04:01 PM,C,1.586
