1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E90000002990E241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Mar 20 02:10:01 MDT 2014
Mission Sample Count:  557
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 20 02:10:01 MDT 2014
Total Mission Samples:  557
Total Device Samples:  9109
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/20/14 2:10:01 AM,%RH,32.189
3/20/14 6:10:01 AM,%RH,30.151
3/20/14 10:10:01 AM,%RH,92.235
3/20/14 2:10:01 PM,%RH,74.876
3/20/14 6:10:01 PM,%RH,79.159
3/20/14 10:10:01 PM,%RH,93.188
3/21/14 2:10:01 AM,%RH,100.975
3/21/14 6:10:01 AM,%RH,104.449
3/21/14 10:10:01 AM,%RH,100.088
3/21/14 2:10:01 PM,%RH,77.567
3/21/14 6:10:01 PM,%RH,82.806
3/21/14 10:10:01 PM,%RH,93.188
3/22/14 2:10:01 AM,%RH,99.641
3/22/14 6:10:01 AM,%RH,102.292
3/22/14 10:10:01 AM,%RH,96.461
3/22/14 2:10:01 PM,%RH,74.876
3/22/14 6:10:01 PM,%RH,80.21
3/22/14 10:10:01 PM,%RH,95.07
3/23/14 2:10:01 AM,%RH,101.855
3/23/14 6:10:01 AM,%RH,106.14
3/23/14 10:10:01 AM,%RH,96.461
3/23/14 2:10:01 PM,%RH,71.583
3/23/14 6:10:01 PM,%RH,75.418
3/23/14 10:10:01 PM,%RH,92.712
3/24/14 2:10:01 AM,%RH,97.835
3/24/14 6:10:01 AM,%RH,101.855
3/24/14 10:10:01 AM,%RH,93.188
3/24/14 2:10:01 PM,%RH,66.516
3/24/14 6:10:01 PM,%RH,70.47
3/24/14 10:10:01 PM,%RH,87.358
3/25/14 2:10:01 AM,%RH,94.602
3/25/14 6:10:01 AM,%RH,99.641
3/25/14 10:10:01 AM,%RH,91.275
3/25/14 2:10:01 PM,%RH,64.214
3/25/14 6:10:01 PM,%RH,68.222
3/25/14 10:10:01 PM,%RH,82.291
3/26/14 2:10:01 AM,%RH,87.358
3/26/14 6:10:01 AM,%RH,91.275
3/26/14 10:10:01 AM,%RH,90.792
3/26/14 2:10:01 PM,%RH,87.358
3/26/14 6:10:01 PM,%RH,94.602
3/26/14 10:10:01 PM,%RH,103.592
3/27/14 2:10:01 AM,%RH,105.299
3/27/14 6:10:01 AM,%RH,103.161
3/27/14 10:10:01 AM,%RH,95.07
3/27/14 2:10:01 PM,%RH,93.188
3/27/14 6:10:01 PM,%RH,90.307
3/27/14 10:10:01 PM,%RH,103.592
3/28/14 2:10:01 AM,%RH,105.299
3/28/14 6:10:01 AM,%RH,105.72
3/28/14 10:10:01 AM,%RH,93.188
3/28/14 2:10:01 PM,%RH,70.47
3/28/14 6:10:01 PM,%RH,76.496
3/28/14 10:10:01 PM,%RH,90.307
3/29/14 2:10:01 AM,%RH,91.275
3/29/14 6:10:01 AM,%RH,92.712
3/29/14 10:10:01 AM,%RH,82.806
3/29/14 2:10:01 PM,%RH,63.051
3/29/14 6:10:01 PM,%RH,67.655
3/29/14 10:10:01 PM,%RH,78.63
