1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E90000002990E241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Mar 20 02:10:01 MDT 2014
Mission Sample Count:  557
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 20 02:10:01 MDT 2014
Total Mission Samples:  557
Total Device Samples:  9109
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/20/14 2:10:01 AM,C,20.641
3/20/14 6:10:01 AM,C,20.641
3/20/14 10:10:01 AM,C,6.111
3/20/14 2:10:01 PM,C,24.143
3/20/14 6:10:01 PM,C,15.635
3/20/14 10:10:01 PM,C,5.609
3/21/14 2:10:01 AM,C,1.594
3/21/14 6:10:01 AM,C,-0.917
3/21/14 10:10:01 AM,C,3.602
3/21/14 2:10:01 PM,C,21.141
3/21/14 6:10:01 PM,C,12.128
3/21/14 10:10:01 PM,C,5.609
3/22/14 2:10:01 AM,C,2.598
3/22/14 6:10:01 AM,C,0.087
3/22/14 10:10:01 AM,C,5.107
3/22/14 2:10:01 PM,C,22.142
3/22/14 6:10:01 PM,C,13.631
3/22/14 10:10:01 PM,C,1.594
3/23/14 2:10:01 AM,C,-2.927
3/23/14 6:10:01 AM,C,-4.938
3/23/14 10:10:01 AM,C,5.107
3/23/14 2:10:01 PM,C,23.642
3/23/14 6:10:01 PM,C,15.635
3/23/14 10:10:01 PM,C,2.096
3/24/14 2:10:01 AM,C,-0.917
3/24/14 6:10:01 AM,C,-2.425
3/24/14 10:10:01 AM,C,6.613
3/24/14 2:10:01 PM,C,26.142
3/24/14 6:10:01 PM,C,17.638
3/24/14 10:10:01 PM,C,5.609
3/25/14 2:10:01 AM,C,0.589
3/25/14 6:10:01 AM,C,-1.42
3/25/14 10:10:01 AM,C,7.616
3/25/14 2:10:01 PM,C,27.642
3/25/14 6:10:01 PM,C,19.14
3/25/14 10:10:01 PM,C,9.12
3/26/14 2:10:01 AM,C,7.616
3/26/14 6:10:01 AM,C,6.111
3/26/14 10:10:01 AM,C,7.616
3/26/14 2:10:01 PM,C,17.137
3/26/14 6:10:01 PM,C,13.631
3/26/14 10:10:01 PM,C,4.104
3/27/14 2:10:01 AM,C,1.594
3/27/14 6:10:01 AM,C,3.602
3/27/14 10:10:01 AM,C,10.624
3/27/14 2:10:01 PM,C,12.629
3/27/14 6:10:01 PM,C,13.631
3/27/14 10:10:01 PM,C,2.598
3/28/14 2:10:01 AM,C,0.087
3/28/14 6:10:01 AM,C,-0.415
3/28/14 10:10:01 AM,C,11.126
3/28/14 2:10:01 PM,C,27.642
3/28/14 6:10:01 PM,C,15.134
3/28/14 10:10:01 PM,C,5.107
3/29/14 2:10:01 AM,C,6.613
3/29/14 6:10:01 AM,C,6.613
3/29/14 10:10:01 AM,C,14.633
3/29/14 2:10:01 PM,C,24.143
3/29/14 6:10:01 PM,C,17.137
3/29/14 10:10:01 PM,C,10.624
3/30/14 2:10:01 AM,C,8.117
3/30/14 6:10:01 AM,C,6.613
3/30/14 10:10:01 AM,C,5.609
3/30/14 2:10:01 PM,C,0.589
3/30/14 6:10:01 PM,C,5.609
3/30/14 10:10:01 PM,C,1.092
3/31/14 2:10:01 AM,C,0.087
3/31/14 6:10:01 AM,C,0.087
3/31/14 10:10:01 AM,C,4.104
3/31/14 2:10:01 PM,C,18.639
3/31/14 6:10:01 PM,C,10.123
3/31/14 10:10:01 PM,C,4.606
4/1/14 2:10:01 AM,C,2.598
4/1/14 6:10:01 AM,C,2.096
4/1/14 10:10:01 AM,C,5.609
4/1/14 2:10:01 PM,C,9.622
4/1/14 6:10:01 PM,C,9.622
4/1/14 10:10:01 PM,C,1.594
4/2/14 2:10:01 AM,C,0.087
4/2/14 6:10:01 AM,C,0.087
4/2/14 10:10:01 AM,C,4.104
4/2/14 2:10:01 PM,C,16.637
4/2/14 6:10:01 PM,C,11.627
4/2/14 10:10:01 PM,C,4.606
4/3/14 2:10:01 AM,C,2.096
4/3/14 6:10:01 AM,C,0.087
4/3/14 10:10:01 AM,C,9.12
4/3/14 2:10:01 PM,C,15.134
4/3/14 6:10:01 PM,C,12.629
4/3/14 10:10:01 PM,C,4.104
4/4/14 2:10:01 AM,C,1.594
4/4/14 6:10:01 AM,C,0.087
4/4/14 10:10:01 AM,C,9.12
4/4/14 2:10:01 PM,C,20.141
4/4/14 6:10:01 PM,C,12.128
4/4/14 10:10:01 PM,C,4.606
4/5/14 2:10:01 AM,C,3.1
4/5/14 6:10:01 AM,C,3.602
4/5/14 10:10:01 AM,C,5.609
4/5/14 2:10:01 PM,C,14.132
4/5/14 6:10:01 PM,C,12.128
4/5/14 10:10:01 PM,C,3.602
4/6/14 2:10:01 AM,C,2.096
4/6/14 6:10:01 AM,C,1.092
4/6/14 10:10:01 AM,C,6.613
4/6/14 2:10:01 PM,C,14.132
4/6/14 6:10:01 PM,C,13.631
4/6/14 10:10:01 PM,C,5.609
4/7/14 2:10:01 AM,C,3.1
4/7/14 6:10:01 AM,C,0.589
4/7/14 10:10:01 AM,C,9.622
4/7/14 2:10:01 PM,C,24.643
4/7/14 6:10:01 PM,C,19.64
4/7/14 10:10:01 PM,C,8.619
4/8/14 2:10:01 AM,C,5.107
4/8/14 6:10:01 AM,C,2.598
4/8/14 10:10:01 AM,C,11.627
4/8/14 2:10:01 PM,C,28.142
4/8/14 6:10:01 PM,C,23.142
4/8/14 10:10:01 PM,C,11.627
4/9/14 2:10:01 AM,C,7.616
4/9/14 6:10:01 AM,C,6.111
4/9/14 10:10:01 AM,C,13.631
4/9/14 2:10:01 PM,C,26.142
4/9/14 6:10:01 PM,C,22.642
4/9/14 10:10:01 PM,C,11.627
4/10/14 2:10:01 AM,C,7.114
4/10/14 6:10:01 AM,C,4.606
4/10/14 10:10:01 AM,C,13.631
4/10/14 2:10:01 PM,C,31.139
4/10/14 6:10:01 PM,C,24.143
4/10/14 10:10:01 PM,C,12.128
4/11/14 2:10:01 AM,C,7.616
4/11/14 6:10:01 AM,C,5.107
4/11/14 10:10:01 AM,C,14.633
4/11/14 2:10:01 PM,C,33.136
4/11/14 6:10:01 PM,C,26.142
4/11/14 10:10:01 PM,C,13.13
4/12/14 2:10:01 AM,C,10.624
4/12/14 6:10:01 AM,C,7.114
4/12/14 10:10:01 AM,C,15.635
4/12/14 2:10:01 PM,C,16.637
4/12/14 6:10:01 PM,C,18.639
4/12/14 10:10:01 PM,C,9.622
4/13/14 2:10:01 AM,C,4.606
4/13/14 6:10:01 AM,C,2.096
4/13/14 10:10:01 AM,C,6.111
4/13/14 2:10:01 PM,C,19.64
4/13/14 6:10:01 PM,C,13.631
4/13/14 10:10:01 PM,C,5.107
4/14/14 2:10:01 AM,C,1.594
4/14/14 6:10:01 AM,C,-0.917
4/14/14 10:10:01 AM,C,6.613
4/14/14 2:10:01 PM,C,24.643
4/14/14 6:10:01 PM,C,19.14
4/14/14 10:10:01 PM,C,6.111
4/15/14 2:10:01 AM,C,2.096
4/15/14 6:10:01 AM,C,1.594
4/15/14 10:10:01 AM,C,9.12
