1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F00000002997FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Mar 20 02:08:01 MDT 2014
Mission Sample Count:  557
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 20 02:08:01 MDT 2014
Total Mission Samples:  557
Total Device Samples:  9145
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/20/14 2:08:01 AM,%RH,28.873
3/20/14 6:08:01 AM,%RH,28.194
3/20/14 10:08:01 AM,%RH,91.84
3/20/14 2:08:01 PM,%RH,76.669
3/20/14 6:08:01 PM,%RH,86.251
3/20/14 10:08:01 PM,%RH,99.134
3/21/14 2:08:01 AM,%RH,104.243
3/21/14 6:08:01 AM,%RH,106.945
3/21/14 10:08:01 AM,%RH,104.697
3/21/14 2:08:01 PM,%RH,83.117
3/21/14 6:08:01 PM,%RH,90.336
3/21/14 10:08:01 PM,%RH,99.134
3/22/14 2:08:01 AM,%RH,102.87
3/22/14 6:08:01 AM,%RH,105.15
3/22/14 10:08:01 AM,%RH,101.015
3/22/14 2:08:01 PM,%RH,79.385
3/22/14 6:08:01 PM,%RH,85.213
3/22/14 10:08:01 PM,%RH,101.481
3/23/14 2:08:01 AM,%RH,106.498
3/23/14 6:08:01 AM,%RH,107.389
3/23/14 10:08:01 AM,%RH,102.87
3/23/14 2:08:01 PM,%RH,77.215
3/23/14 6:08:01 PM,%RH,81.528
3/23/14 10:08:01 PM,%RH,99.607
3/24/14 2:08:01 AM,%RH,103.329
3/24/14 6:08:01 AM,%RH,106.945
3/24/14 10:08:01 AM,%RH,96.744
3/24/14 2:08:01 PM,%RH,73.354
3/24/14 6:08:01 PM,%RH,78.304
3/24/14 10:08:01 PM,%RH,96.261
3/25/14 2:08:01 AM,%RH,101.481
3/25/14 6:08:01 AM,%RH,104.697
3/25/14 10:08:01 AM,%RH,96.261
3/25/14 2:08:01 PM,%RH,70.546
3/25/14 6:08:01 PM,%RH,75.571
3/25/14 10:08:01 PM,%RH,91.34
3/26/14 2:08:01 AM,%RH,94.802
3/26/14 6:08:01 AM,%RH,97.225
3/26/14 10:08:01 AM,%RH,96.261
3/26/14 2:08:01 PM,%RH,89.324
3/26/14 6:08:01 PM,%RH,94.313
3/26/14 10:08:01 PM,%RH,103.787
3/27/14 2:08:01 AM,%RH,106.498
3/27/14 6:08:01 AM,%RH,104.697
3/27/14 10:08:01 AM,%RH,97.705
