1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F00000002997FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Mar 20 02:08:01 MDT 2014
Mission Sample Count:  557
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 20 02:08:01 MDT 2014
Total Mission Samples:  557
Total Device Samples:  9145
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/20/14 2:08:01 AM,C,20.669
3/20/14 6:08:01 AM,C,20.168
3/20/14 10:08:01 AM,C,6.116
3/20/14 2:08:01 PM,C,22.671
3/20/14 6:08:01 PM,C,16.661
3/20/14 10:08:01 PM,C,6.619
3/21/14 2:08:01 AM,C,3.096
3/21/14 6:08:01 AM,C,0.074
3/21/14 10:08:01 AM,C,3.6
3/21/14 2:08:01 PM,C,20.168
3/21/14 6:08:01 PM,C,12.146
3/21/14 10:08:01 PM,C,6.116
3/22/14 2:08:01 AM,C,3.6
3/22/14 6:08:01 AM,C,1.586
3/22/14 10:08:01 AM,C,6.116
3/22/14 2:08:01 PM,C,21.67
3/22/14 6:08:01 PM,C,16.16
3/22/14 10:08:01 PM,C,3.6
3/23/14 2:08:01 AM,C,-0.43
3/23/14 6:08:01 AM,C,-2.951
3/23/14 10:08:01 AM,C,5.613
3/23/14 2:08:01 PM,C,22.171
3/23/14 6:08:01 PM,C,16.661
3/23/14 10:08:01 PM,C,3.6
3/24/14 2:08:01 AM,C,1.082
3/24/14 6:08:01 AM,C,-0.934
3/24/14 10:08:01 AM,C,7.624
3/24/14 2:08:01 PM,C,24.172
3/24/14 6:08:01 PM,C,18.666
3/24/14 10:08:01 PM,C,6.619
3/25/14 2:08:01 AM,C,2.593
3/25/14 6:08:01 AM,C,0.074
3/25/14 10:08:01 AM,C,8.63
3/25/14 2:08:01 PM,C,26.172
3/25/14 6:08:01 PM,C,20.168
3/25/14 10:08:01 PM,C,9.635
3/26/14 2:08:01 AM,C,7.624
3/26/14 6:08:01 AM,C,6.619
3/26/14 10:08:01 AM,C,7.624
3/26/14 2:08:01 PM,C,15.157
3/26/14 6:08:01 PM,C,13.652
3/26/14 10:08:01 PM,C,5.11
3/27/14 2:08:01 AM,C,2.593
3/27/14 6:08:01 AM,C,4.103
3/27/14 10:08:01 AM,C,9.635
3/27/14 2:08:01 PM,C,12.648
3/27/14 6:08:01 PM,C,14.655
3/27/14 10:08:01 PM,C,4.103
3/28/14 2:08:01 AM,C,1.586
3/28/14 6:08:01 AM,C,1.082
3/28/14 10:08:01 AM,C,11.142
3/28/14 2:08:01 PM,C,26.672
3/28/14 6:08:01 PM,C,16.16
3/28/14 10:08:01 PM,C,6.619
3/29/14 2:08:01 AM,C,6.619
3/29/14 6:08:01 AM,C,7.122
3/29/14 10:08:01 AM,C,13.15
3/29/14 2:08:01 PM,C,21.17
3/29/14 6:08:01 PM,C,16.16
3/29/14 10:08:01 PM,C,10.639
3/30/14 2:08:01 AM,C,8.63
3/30/14 6:08:01 AM,C,7.122
3/30/14 10:08:01 AM,C,6.116
3/30/14 2:08:01 PM,C,1.586
3/30/14 6:08:01 PM,C,5.613
3/30/14 10:08:01 PM,C,1.586
3/31/14 2:08:01 AM,C,0.578
3/31/14 6:08:01 AM,C,0.074
3/31/14 10:08:01 AM,C,4.606
3/31/14 2:08:01 PM,C,18.165
3/31/14 6:08:01 PM,C,11.142
3/31/14 10:08:01 PM,C,5.11
4/1/14 2:08:01 AM,C,3.096
4/1/14 6:08:01 AM,C,2.593
4/1/14 10:08:01 AM,C,5.11
4/1/14 2:08:01 PM,C,7.624
4/1/14 6:08:01 PM,C,9.132
4/1/14 10:08:01 PM,C,2.089
4/2/14 2:08:01 AM,C,0.578
4/2/14 6:08:01 AM,C,0.074
4/2/14 10:08:01 AM,C,4.606
4/2/14 2:08:01 PM,C,17.162
4/2/14 6:08:01 PM,C,12.146
4/2/14 10:08:01 PM,C,5.11
4/3/14 2:08:01 AM,C,3.096
4/3/14 6:08:01 AM,C,0.578
4/3/14 10:08:01 AM,C,8.127
4/3/14 2:08:01 PM,C,13.652
4/3/14 6:08:01 PM,C,13.15
4/3/14 10:08:01 PM,C,5.11
4/4/14 2:08:01 AM,C,2.593
4/4/14 6:08:01 AM,C,1.082
4/4/14 10:08:01 AM,C,8.127
4/4/14 2:08:01 PM,C,20.669
4/4/14 6:08:01 PM,C,13.652
4/4/14 10:08:01 PM,C,6.116
4/5/14 2:08:01 AM,C,4.103
4/5/14 6:08:01 AM,C,4.103
4/5/14 10:08:01 AM,C,5.11
4/5/14 2:08:01 PM,C,15.157
4/5/14 6:08:01 PM,C,12.648
4/5/14 10:08:01 PM,C,4.606
4/6/14 2:08:01 AM,C,3.096
4/6/14 6:08:01 AM,C,1.586
4/6/14 10:08:01 AM,C,6.116
4/6/14 2:08:01 PM,C,13.652
4/6/14 6:08:01 PM,C,13.15
4/6/14 10:08:01 PM,C,6.116
4/7/14 2:08:01 AM,C,3.6
4/7/14 6:08:01 AM,C,1.586
4/7/14 10:08:01 AM,C,9.635
4/7/14 2:08:01 PM,C,24.172
4/7/14 6:08:01 PM,C,20.168
4/7/14 10:08:01 PM,C,9.635
4/8/14 2:08:01 AM,C,6.116
4/8/14 6:08:01 AM,C,3.6
4/8/14 10:08:01 AM,C,11.644
4/8/14 2:08:01 PM,C,27.171
4/8/14 6:08:01 PM,C,22.671
4/8/14 10:08:01 PM,C,12.648
4/9/14 2:08:01 AM,C,8.63
4/9/14 6:08:01 AM,C,6.619
4/9/14 10:08:01 AM,C,13.15
4/9/14 2:08:01 PM,C,24.672
4/9/14 6:08:01 PM,C,21.67
4/9/14 10:08:01 PM,C,12.146
4/10/14 2:08:01 AM,C,8.63
4/10/14 6:08:01 AM,C,6.116
4/10/14 10:08:01 AM,C,14.655
4/10/14 2:08:01 PM,C,30.168
4/10/14 6:08:01 PM,C,23.672
4/10/14 10:08:01 PM,C,13.15
4/11/14 2:08:01 AM,C,9.132
4/11/14 6:08:01 AM,C,6.116
4/11/14 10:08:01 AM,C,15.658
4/11/14 2:08:01 PM,C,32.164
4/11/14 6:08:01 PM,C,24.672
4/11/14 10:08:01 PM,C,14.153
4/12/14 2:08:01 AM,C,11.644
4/12/14 6:08:01 AM,C,8.127
4/12/14 10:08:01 AM,C,16.661
4/12/14 2:08:01 PM,C,17.162
4/12/14 6:08:01 PM,C,18.666
4/12/14 10:08:01 PM,C,10.639
4/13/14 2:08:01 AM,C,6.116
4/13/14 6:08:01 AM,C,3.096
4/13/14 10:08:01 AM,C,6.116
4/13/14 2:08:01 PM,C,18.666
4/13/14 6:08:01 PM,C,12.648
4/13/14 10:08:01 PM,C,5.613
