1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1100000029982141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Mar 20 01:23:01 MDT 2014
Mission Sample Count:  568
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Mar 20 01:23:01 MDT 2014
Total Mission Samples:  568
Total Device Samples:  9118
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/20/14 1:23:01 AM,%RH,36.693
3/20/14 5:23:01 AM,%RH,35.374
3/20/14 9:23:01 AM,%RH,87.314
3/20/14 1:23:01 PM,%RH,86.808
3/20/14 5:23:01 PM,%RH,91.793
3/20/14 9:23:01 PM,%RH,100.783
3/21/14 1:23:01 AM,%RH,105.261
3/21/14 5:23:01 AM,%RH,107.434
3/21/14 9:23:01 AM,%RH,106.57
3/21/14 1:23:01 PM,%RH,92.282
3/21/14 5:23:01 PM,%RH,96.604
3/21/14 9:23:01 PM,%RH,103.044
3/22/14 1:23:01 AM,%RH,104.379
3/22/14 5:23:01 AM,%RH,106.135
3/22/14 9:23:01 AM,%RH,107.863
3/22/14 1:23:01 PM,%RH,91.793
3/22/14 5:23:01 PM,%RH,94.701
3/22/14 9:23:01 PM,%RH,104.379
3/23/14 1:23:01 AM,%RH,107.003
3/23/14 5:23:01 AM,%RH,109.141
3/23/14 9:23:01 AM,%RH,108.291
3/23/14 1:23:01 PM,%RH,89.322
3/23/14 5:23:01 PM,%RH,92.282
3/23/14 9:23:01 PM,%RH,103.936
3/24/14 1:23:01 AM,%RH,105.261
3/24/14 5:23:01 AM,%RH,108.291
3/24/14 9:23:01 AM,%RH,104.821
3/24/14 1:23:01 PM,%RH,87.314
3/24/14 5:23:01 PM,%RH,90.81
3/24/14 9:23:01 PM,%RH,101.239
3/25/14 1:23:01 AM,%RH,104.821
3/25/14 5:23:01 AM,%RH,105.699
3/25/14 9:23:01 AM,%RH,103.936
3/25/14 1:23:01 PM,%RH,87.314
3/25/14 5:23:01 PM,%RH,89.82
3/25/14 9:23:01 PM,%RH,98.013
3/26/14 1:23:01 AM,%RH,101.239
3/26/14 5:23:01 AM,%RH,103.044
3/26/14 9:23:01 AM,%RH,103.491
3/26/14 1:23:01 PM,%RH,99.867
3/26/14 5:23:01 PM,%RH,96.604
3/26/14 9:23:01 PM,%RH,105.261
3/27/14 1:23:01 AM,%RH,107.003
3/27/14 5:23:01 AM,%RH,105.699
3/27/14 9:23:01 AM,%RH,104.379
3/27/14 1:23:01 PM,%RH,103.044
3/27/14 5:23:01 PM,%RH,99.867
3/27/14 9:23:01 PM,%RH,106.57
3/28/14 1:23:01 AM,%RH,108.291
3/28/14 5:23:01 AM,%RH,108.717
3/28/14 9:23:01 AM,%RH,104.821
3/28/14 1:23:01 PM,%RH,90.316
3/28/14 5:23:01 PM,%RH,94.22
3/28/14 9:23:01 PM,%RH,102.595
3/29/14 1:23:01 AM,%RH,99.867
3/29/14 5:23:01 AM,%RH,99.867
3/29/14 9:23:01 AM,%RH,97.075
3/29/14 1:23:01 PM,%RH,86.299
3/29/14 5:23:01 PM,%RH,90.81
3/29/14 9:23:01 PM,%RH,97.545
3/30/14 1:23:01 AM,%RH,99.406
3/30/14 5:23:01 AM,%RH,102.595
3/30/14 9:23:01 AM,%RH,104.821
3/30/14 1:23:01 PM,%RH,108.717
3/30/14 5:23:01 PM,%RH,108.291
3/30/14 9:23:01 PM,%RH,111.235
3/31/14 1:23:01 AM,%RH,110.402
3/31/14 5:23:01 AM,%RH,109.141
3/31/14 9:23:01 AM,%RH,109.141
3/31/14 1:23:01 PM,%RH,105.699
3/31/14 5:23:01 PM,%RH,107.863
3/31/14 9:23:01 PM,%RH,110.819
4/1/14 1:23:01 AM,%RH,108.717
4/1/14 5:23:01 AM,%RH,109.563
4/1/14 9:23:01 AM,%RH,110.402
4/1/14 1:23:01 PM,%RH,110.402
4/1/14 5:23:01 PM,%RH,107.863
4/1/14 9:23:01 PM,%RH,107.003
4/2/14 1:23:01 AM,%RH,104.821
4/2/14 5:23:01 AM,%RH,107.434
4/2/14 9:23:01 AM,%RH,107.863
4/2/14 1:23:01 PM,%RH,104.821
4/2/14 5:23:01 PM,%RH,107.003
4/2/14 9:23:01 PM,%RH,105.699
4/3/14 1:23:01 AM,%RH,102.145
4/3/14 5:23:01 AM,%RH,104.379
4/3/14 9:23:01 AM,%RH,105.699
4/3/14 1:23:01 PM,%RH,106.135
4/3/14 5:23:01 PM,%RH,107.003
4/3/14 9:23:01 PM,%RH,107.434
4/4/14 1:23:01 AM,%RH,103.936
4/4/14 5:23:01 AM,%RH,106.135
4/4/14 9:23:01 AM,%RH,107.003
4/4/14 1:23:01 PM,%RH,103.936
4/4/14 5:23:01 PM,%RH,106.57
4/4/14 9:23:01 PM,%RH,110.402
4/5/14 1:23:01 AM,%RH,108.717
4/5/14 5:23:01 AM,%RH,109.141
4/5/14 9:23:01 AM,%RH,107.003
4/5/14 1:23:01 PM,%RH,103.044
4/5/14 5:23:01 PM,%RH,107.863
4/5/14 9:23:01 PM,%RH,109.984
4/6/14 1:23:01 AM,%RH,109.984
4/6/14 5:23:01 AM,%RH,109.984
4/6/14 9:23:01 AM,%RH,109.563
4/6/14 1:23:01 PM,%RH,106.57
4/6/14 5:23:01 PM,%RH,106.135
4/6/14 9:23:01 PM,%RH,109.141
4/7/14 1:23:01 AM,%RH,109.141
