1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 900000002990C841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Oct 24 00:21:01 MDT 2013
Mission Sample Count:  882
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 24 00:21:01 MDT 2013
Total Mission Samples:  882
Total Device Samples:  8562
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/24/13 12:21:01 AM,%RH,45.641
10/24/13 4:21:01 AM,%RH,46.267
10/24/13 8:21:01 AM,%RH,85.623
10/24/13 12:21:01 PM,%RH,88.179
10/24/13 4:21:01 PM,%RH,87.161
10/24/13 8:21:01 PM,%RH,112.82
10/25/13 12:21:01 AM,%RH,118.179
10/25/13 4:21:01 AM,%RH,118.179
10/25/13 8:21:01 AM,%RH,118.179
10/25/13 12:21:01 PM,%RH,92.68
10/25/13 4:21:01 PM,%RH,88.179
10/25/13 8:21:01 PM,%RH,114.498
10/26/13 12:21:01 AM,%RH,118.179
10/26/13 4:21:01 AM,%RH,118.179
10/26/13 8:21:01 AM,%RH,118.179
10/26/13 12:21:01 PM,%RH,94.638
10/26/13 4:21:01 PM,%RH,88.685
10/26/13 8:21:01 PM,%RH,112.82
10/27/13 12:21:01 AM,%RH,117.372
10/27/13 4:21:01 AM,%RH,118.179
10/27/13 8:21:01 AM,%RH,118.179
10/27/13 12:21:01 PM,%RH,93.172
10/27/13 4:21:01 PM,%RH,94.151
10/27/13 8:21:01 PM,%RH,102.678
10/28/13 12:21:01 AM,%RH,103.136
10/28/13 4:21:01 AM,%RH,105.854
10/28/13 8:21:01 AM,%RH,108.514
10/28/13 12:21:01 PM,%RH,95.608
10/28/13 4:21:01 PM,%RH,98.952
10/28/13 8:21:01 PM,%RH,118.179
10/29/13 12:21:01 AM,%RH,118.179
10/29/13 4:21:01 AM,%RH,118.179
10/29/13 8:21:01 AM,%RH,118.179
10/29/13 12:21:01 PM,%RH,99.423
10/29/13 4:21:01 PM,%RH,109.823
10/29/13 8:21:01 PM,%RH,118.179
10/30/13 12:21:01 AM,%RH,118.179
10/30/13 4:21:01 AM,%RH,118.179
10/30/13 8:21:01 AM,%RH,118.179
10/30/13 12:21:01 PM,%RH,100.361
10/30/13 4:21:01 PM,%RH,97.051
10/30/13 8:21:01 PM,%RH,111.972
10/31/13 12:21:01 AM,%RH,112.82
10/31/13 4:21:01 AM,%RH,116.15
10/31/13 8:21:01 AM,%RH,118.179
10/31/13 12:21:01 PM,%RH,96.572
10/31/13 4:21:01 PM,%RH,94.151
10/31/13 8:21:01 PM,%RH,108.075
11/1/13 12:21:01 AM,%RH,105.405
11/1/13 4:21:01 AM,%RH,111.545
11/1/13 8:21:01 AM,%RH,118.179
11/1/13 12:21:01 PM,%RH,93.172
11/1/13 4:21:01 PM,%RH,88.179
11/1/13 8:21:01 PM,%RH,107.634
11/2/13 12:21:01 AM,%RH,114.498
11/2/13 4:21:01 AM,%RH,118.179
11/2/13 8:21:01 AM,%RH,118.179
11/2/13 12:21:01 PM,%RH,94.638
11/2/13 4:21:01 PM,%RH,97.051
11/2/13 8:21:01 PM,%RH,110.687
11/3/13 12:21:01 AM,%RH,109.388
11/3/13 3:21:01 AM,%RH,111.545
11/3/13 7:21:01 AM,%RH,116.15
11/3/13 11:21:01 AM,%RH,103.136
11/3/13 3:21:01 PM,%RH,105.854
11/3/13 7:21:01 PM,%RH,118.179
11/3/13 11:21:01 PM,%RH,118.179
11/4/13 3:21:01 AM,%RH,118.179
11/4/13 7:21:01 AM,%RH,118.179
11/4/13 11:21:01 AM,%RH,104.503
11/4/13 3:21:01 PM,%RH,100.828
