1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2900000029A94741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Oct 24 00:13:01 MDT 2013
Mission Sample Count:  882
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 24 00:13:01 MDT 2013
Total Mission Samples:  882
Total Device Samples:  8587
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/24/13 12:13:01 AM,%RH,37.73
10/24/13 4:13:01 AM,%RH,38.378
10/24/13 8:13:01 AM,%RH,81.399
10/24/13 12:13:01 PM,%RH,89.702
10/24/13 4:13:01 PM,%RH,84.56
10/24/13 8:13:01 PM,%RH,102.33
10/25/13 12:13:01 AM,%RH,105.547
10/25/13 4:13:01 AM,%RH,107.798
10/25/13 8:13:01 AM,%RH,109.129
10/25/13 12:13:01 PM,%RH,93.701
10/25/13 4:13:01 PM,%RH,82.459
10/25/13 8:13:01 PM,%RH,101.397
10/26/13 12:13:01 AM,%RH,105.092
10/26/13 4:13:01 AM,%RH,106.452
10/26/13 8:13:01 AM,%RH,107.351
10/26/13 12:13:01 PM,%RH,92.214
10/26/13 4:13:01 PM,%RH,80.867
10/26/13 8:13:01 PM,%RH,99.511
10/27/13 12:13:01 AM,%RH,104.178
10/27/13 4:13:01 AM,%RH,106.001
10/27/13 8:13:01 AM,%RH,106.902
10/27/13 12:13:01 PM,%RH,90.207
10/27/13 4:13:01 PM,%RH,86.119
10/27/13 8:13:01 PM,%RH,95.663
10/28/13 12:13:01 AM,%RH,95.663
10/28/13 4:13:01 AM,%RH,98.08
10/28/13 8:13:01 AM,%RH,98.558
10/28/13 12:13:01 PM,%RH,88.176
10/28/13 4:13:01 PM,%RH,91.214
10/28/13 8:13:01 PM,%RH,104.636
10/29/13 12:13:01 AM,%RH,102.794
10/29/13 4:13:01 AM,%RH,105.547
10/29/13 8:13:01 AM,%RH,106.452
10/29/13 12:13:01 PM,%RH,92.711
10/29/13 4:13:01 PM,%RH,92.214
10/29/13 8:13:01 PM,%RH,100.457
10/30/13 12:13:01 AM,%RH,105.092
10/30/13 4:13:01 AM,%RH,106.452
10/30/13 8:13:01 AM,%RH,107.351
10/30/13 12:13:01 PM,%RH,93.207
10/30/13 4:13:01 PM,%RH,86.636
10/30/13 8:13:01 PM,%RH,97.118
10/31/13 12:13:01 AM,%RH,98.558
10/31/13 4:13:01 AM,%RH,100.457
10/31/13 8:13:01 AM,%RH,104.178
10/31/13 12:13:01 PM,%RH,90.711
10/31/13 4:13:01 PM,%RH,81.399
10/31/13 8:13:01 PM,%RH,95.663
11/1/13 12:13:01 AM,%RH,94.194
11/1/13 4:13:01 AM,%RH,99.511
11/1/13 8:13:01 AM,%RH,103.718
11/1/13 12:13:01 PM,%RH,88.176
