1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E90000002990E241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Oct 23 18:16:01 MDT 2013
Mission Sample Count:  883
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Oct 23 18:16:01 MDT 2013
Total Mission Samples:  883
Total Device Samples:  8550
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/23/13 6:16:01 PM,C,29.64
10/23/13 10:16:01 PM,C,24.143
10/24/13 2:16:01 AM,C,23.642
10/24/13 6:16:01 AM,C,23.142
10/24/13 10:16:01 AM,C,7.616
10/24/13 2:16:01 PM,C,21.642
10/24/13 6:16:01 PM,C,12.128
10/24/13 10:16:01 PM,C,4.606
10/25/13 2:16:01 AM,C,2.096
10/25/13 6:16:01 AM,C,1.092
10/25/13 10:16:01 AM,C,7.114
10/25/13 2:16:01 PM,C,22.142
10/25/13 6:16:01 PM,C,12.629
10/25/13 10:16:01 PM,C,5.107
10/26/13 2:16:01 AM,C,2.598
10/26/13 6:16:01 AM,C,1.092
10/26/13 10:16:01 AM,C,7.616
10/26/13 2:16:01 PM,C,22.142
10/26/13 6:16:01 PM,C,12.128
10/26/13 10:16:01 PM,C,5.107
10/27/13 2:16:01 AM,C,2.096
10/27/13 6:16:01 AM,C,0.589
10/27/13 10:16:01 AM,C,6.613
10/27/13 2:16:01 PM,C,22.642
10/27/13 6:16:01 PM,C,13.631
10/27/13 10:16:01 PM,C,11.627
10/28/13 2:16:01 AM,C,9.12
10/28/13 6:16:01 AM,C,7.616
10/28/13 10:16:01 AM,C,11.126
10/28/13 2:16:01 PM,C,13.13
10/28/13 6:16:01 PM,C,7.616
10/28/13 10:16:01 PM,C,6.111
10/29/13 2:16:01 AM,C,2.096
10/29/13 6:16:01 AM,C,1.594
10/29/13 10:16:01 AM,C,4.606
10/29/13 2:16:01 PM,C,19.64
10/29/13 6:16:01 PM,C,7.616
10/29/13 10:16:01 PM,C,1.594
10/30/13 2:16:01 AM,C,-0.415
10/30/13 6:16:01 AM,C,-1.922
10/30/13 10:16:01 AM,C,3.602
10/30/13 2:16:01 PM,C,16.637
10/30/13 6:16:01 PM,C,8.619
10/30/13 10:16:01 PM,C,6.111
10/31/13 2:16:01 AM,C,5.107
10/31/13 6:16:01 AM,C,3.1
10/31/13 10:16:01 AM,C,5.609
10/31/13 2:16:01 PM,C,19.14
10/31/13 6:16:01 PM,C,10.624
10/31/13 10:16:01 PM,C,6.613
11/1/13 2:16:01 AM,C,5.107
11/1/13 6:16:01 AM,C,2.598
11/1/13 10:16:01 AM,C,7.114
11/1/13 2:16:01 PM,C,22.142
11/1/13 6:16:01 PM,C,10.123
11/1/13 10:16:01 PM,C,4.104
11/2/13 2:16:01 AM,C,2.598
11/2/13 6:16:01 AM,C,-0.917
11/2/13 10:16:01 AM,C,5.609
11/2/13 2:16:01 PM,C,20.641
11/2/13 6:16:01 PM,C,9.622
11/2/13 10:16:01 PM,C,5.107
11/3/13 1:16:01 AM,C,3.1
11/3/13 5:16:01 AM,C,3.1
11/3/13 9:16:01 AM,C,3.602
11/3/13 1:16:01 PM,C,13.13
11/3/13 5:16:01 PM,C,3.602
11/3/13 9:16:01 PM,C,-1.922
11/4/13 1:16:01 AM,C,-1.42
11/4/13 5:16:01 AM,C,-1.922
11/4/13 9:16:01 AM,C,0.087
11/4/13 1:16:01 PM,C,14.633
11/4/13 5:16:01 PM,C,5.609
11/4/13 9:16:01 PM,C,-1.42
11/5/13 1:16:01 AM,C,-0.917
11/5/13 5:16:01 AM,C,-4.435
11/5/13 9:16:01 AM,C,-0.415
11/5/13 1:16:01 PM,C,14.633
11/5/13 5:16:01 PM,C,3.1
11/5/13 9:16:01 PM,C,0.589
11/6/13 1:16:01 AM,C,1.092
11/6/13 5:16:01 AM,C,0.087
11/6/13 9:16:01 AM,C,6.111
11/6/13 1:16:01 PM,C,17.137
11/6/13 5:16:01 PM,C,7.114
