1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3C0000002998E741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Oct 24 00:02:01 MDT 2013
Mission Sample Count:  881
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 24 00:02:01 MDT 2013
Total Mission Samples:  881
Total Device Samples:  8598
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/24/13 12:02:01 AM,%RH,41.722
10/24/13 4:02:01 AM,%RH,41.081
10/24/13 8:02:01 AM,%RH,44.272
10/24/13 12:02:01 PM,%RH,87.055
10/24/13 4:02:01 PM,%RH,80.142
10/24/13 8:02:01 PM,%RH,102.978
10/25/13 12:02:01 AM,%RH,105.325
10/25/13 4:02:01 AM,%RH,104.391
10/25/13 8:02:01 AM,%RH,106.253
10/25/13 12:02:01 PM,%RH,91.691
10/25/13 4:02:01 PM,%RH,79.599
10/25/13 8:02:01 PM,%RH,101.551
10/26/13 12:02:01 AM,%RH,104.859
10/26/13 4:02:01 AM,%RH,104.391
10/26/13 8:02:01 AM,%RH,105.79
10/26/13 12:02:01 PM,%RH,91.691
10/26/13 4:02:01 PM,%RH,79.056
10/26/13 8:02:01 PM,%RH,100.592
10/27/13 12:02:01 AM,%RH,103.921
10/27/13 4:02:01 AM,%RH,105.325
10/27/13 8:02:01 AM,%RH,105.79
10/27/13 12:02:01 PM,%RH,90.671
10/27/13 4:02:01 PM,%RH,83.365
10/27/13 8:02:01 PM,%RH,94.713
10/28/13 12:02:01 AM,%RH,95.708
10/28/13 4:02:01 AM,%RH,98.169
10/28/13 8:02:01 AM,%RH,98.169
10/28/13 12:02:01 PM,%RH,89.131
10/28/13 4:02:01 PM,%RH,91.691
10/28/13 8:02:01 PM,%RH,104.859
10/29/13 12:02:01 AM,%RH,104.391
10/29/13 4:02:01 AM,%RH,104.859
