1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3C0000002998E741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Oct 24 00:02:01 MDT 2013
Mission Sample Count:  881
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 24 00:02:01 MDT 2013
Total Mission Samples:  881
Total Device Samples:  8598
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/24/13 12:02:01 AM,C,23.553
10/24/13 4:02:01 AM,C,23.053
10/24/13 8:02:01 AM,C,8.529
10/24/13 12:02:01 PM,C,16.046
10/24/13 4:02:01 PM,C,23.053
10/24/13 8:02:01 PM,C,9.03
10/25/13 12:02:01 AM,C,6.021
10/25/13 4:02:01 AM,C,4.014
10/25/13 8:02:01 AM,C,2.508
10/25/13 12:02:01 PM,C,16.046
10/25/13 4:02:01 PM,C,23.553
10/25/13 8:02:01 PM,C,9.532
10/26/13 12:02:01 AM,C,6.021
10/26/13 4:02:01 AM,C,4.516
10/26/13 8:02:01 AM,C,3.512
10/26/13 12:02:01 PM,C,15.545
10/26/13 4:02:01 PM,C,23.553
10/26/13 8:02:01 PM,C,9.532
10/27/13 12:02:01 AM,C,6.523
10/27/13 4:02:01 AM,C,4.014
10/27/13 8:02:01 AM,C,2.006
10/27/13 12:02:01 PM,C,15.545
10/27/13 4:02:01 PM,C,19.55
10/27/13 8:02:01 PM,C,12.038
10/28/13 12:02:01 AM,C,11.036
10/28/13 4:02:01 AM,C,9.532
10/28/13 8:02:01 AM,C,9.03
10/28/13 12:02:01 PM,C,14.543
10/28/13 4:02:01 PM,C,15.044
10/28/13 8:02:01 PM,C,5.519
10/29/13 12:02:01 AM,C,5.519
10/29/13 4:02:01 AM,C,3.512
10/29/13 8:02:01 AM,C,1.504
