1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1100000029A9BA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Oct 24 00:06:01 MDT 2013
Mission Sample Count:  881
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 24 00:06:01 MDT 2013
Total Mission Samples:  881
Total Device Samples:  16745
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/24/13 12:06:01 AM,C,23.601
10/24/13 4:06:01 AM,C,23.101
10/24/13 8:06:01 AM,C,9.075
10/24/13 12:06:01 PM,C,11.582
10/24/13 4:06:01 PM,C,17.094
10/24/13 8:06:01 PM,C,8.573
10/25/13 12:06:01 AM,C,5.562
10/25/13 4:06:01 AM,C,3.554
10/25/13 8:06:01 AM,C,2.55
10/25/13 12:06:01 PM,C,11.582
10/25/13 4:06:01 PM,C,17.094
10/25/13 8:06:01 PM,C,9.075
10/26/13 12:06:01 AM,C,5.562
10/26/13 4:06:01 AM,C,4.056
10/26/13 8:06:01 AM,C,3.052
10/26/13 12:06:01 PM,C,11.582
10/26/13 4:06:01 PM,C,17.595
10/26/13 8:06:01 PM,C,9.075
10/27/13 12:06:01 AM,C,6.064
10/27/13 4:06:01 AM,C,3.554
10/27/13 8:06:01 AM,C,2.047
10/27/13 12:06:01 PM,C,11.081
10/27/13 4:06:01 PM,C,17.094
10/27/13 8:06:01 PM,C,11.582
10/28/13 12:06:01 AM,C,10.579
10/28/13 4:06:01 AM,C,8.573
10/28/13 8:06:01 AM,C,8.573
10/28/13 12:06:01 PM,C,14.089
10/28/13 4:06:01 PM,C,12.084
10/28/13 8:06:01 PM,C,5.562
10/29/13 12:06:01 AM,C,5.562
10/29/13 4:06:01 AM,C,3.052
10/29/13 8:06:01 AM,C,1.043
10/29/13 12:06:01 PM,C,8.573
10/29/13 4:06:01 PM,C,13.587
10/29/13 8:06:01 PM,C,6.064
10/30/13 12:06:01 AM,C,2.55
10/30/13 4:06:01 AM,C,0.038
10/30/13 8:06:01 AM,C,-0.968
10/30/13 12:06:01 PM,C,9.075
10/30/13 4:06:01 PM,C,12.084
10/30/13 8:06:01 PM,C,7.068
10/31/13 12:06:01 AM,C,5.562
10/31/13 4:06:01 AM,C,4.558
10/31/13 8:06:01 AM,C,1.043
10/31/13 12:06:01 PM,C,8.071
10/31/13 4:06:01 PM,C,13.086
10/31/13 8:06:01 PM,C,6.566
11/1/13 12:06:01 AM,C,7.068
11/1/13 4:06:01 AM,C,4.558
11/1/13 8:06:01 AM,C,2.047
11/1/13 12:06:01 PM,C,10.078
11/1/13 4:06:01 PM,C,15.592
11/1/13 8:06:01 PM,C,7.068
11/2/13 12:06:01 AM,C,5.06
11/2/13 4:06:01 AM,C,2.047
11/2/13 8:06:01 AM,C,0.038
11/2/13 12:06:01 PM,C,9.075
11/2/13 4:06:01 PM,C,14.089
11/2/13 8:06:01 PM,C,6.566
11/3/13 12:06:01 AM,C,5.06
11/3/13 3:06:01 AM,C,4.558
11/3/13 7:06:01 AM,C,2.55
11/3/13 11:06:01 AM,C,4.056
11/3/13 3:06:01 PM,C,7.068
11/3/13 7:06:01 PM,C,0.54
11/3/13 11:06:01 PM,C,-1.47
11/4/13 3:06:01 AM,C,-1.47
11/4/13 7:06:01 AM,C,-0.968
11/4/13 11:06:01 AM,C,4.558
11/4/13 3:06:01 PM,C,9.075
11/4/13 7:06:01 PM,C,3.052
11/4/13 11:06:01 PM,C,0.038
11/5/13 3:06:01 AM,C,-2.476
11/5/13 7:06:01 AM,C,-3.481
11/5/13 11:06:01 AM,C,3.052
11/5/13 3:06:01 PM,C,9.075
11/5/13 7:06:01 PM,C,1.043
11/5/13 11:06:01 PM,C,1.545
11/6/13 3:06:01 AM,C,2.047
11/6/13 7:06:01 AM,C,2.047
11/6/13 11:06:01 AM,C,9.075
11/6/13 3:06:01 PM,C,12.585
11/6/13 7:06:01 PM,C,5.562
11/6/13 11:06:01 PM,C,1.545
11/7/13 3:06:01 AM,C,2.047
11/7/13 7:06:01 AM,C,2.047
11/7/13 11:06:01 AM,C,9.075
11/7/13 3:06:01 PM,C,11.582
11/7/13 7:06:01 PM,C,5.562
11/7/13 11:06:01 PM,C,3.052
11/8/13 3:06:01 AM,C,3.052
11/8/13 7:06:01 AM,C,2.55
11/8/13 11:06:01 AM,C,9.576
11/8/13 3:06:01 PM,C,13.086
11/8/13 7:06:01 PM,C,6.064
11/8/13 11:06:01 PM,C,4.056
11/9/13 3:06:01 AM,C,3.052
11/9/13 7:06:01 AM,C,1.043
11/9/13 11:06:01 AM,C,7.57
11/9/13 3:06:01 PM,C,13.587
11/9/13 7:06:01 PM,C,5.06
11/9/13 11:06:01 PM,C,2.55
11/10/13 3:06:01 AM,C,0.54
11/10/13 7:06:01 AM,C,-0.968
11/10/13 11:06:01 AM,C,6.566
11/10/13 3:06:01 PM,C,13.086
11/10/13 7:06:01 PM,C,4.056
11/10/13 11:06:01 PM,C,2.55
11/11/13 3:06:01 AM,C,0.038
11/11/13 7:06:01 AM,C,-1.47
11/11/13 11:06:01 AM,C,5.562
11/11/13 3:06:01 PM,C,13.086
11/11/13 7:06:01 PM,C,5.06
11/11/13 11:06:01 PM,C,2.047
11/12/13 3:06:01 AM,C,1.043
11/12/13 7:06:01 AM,C,-0.465
11/12/13 11:06:01 AM,C,6.566
11/12/13 3:06:01 PM,C,12.585
11/12/13 7:06:01 PM,C,5.06
11/12/13 11:06:01 PM,C,3.554
11/13/13 3:06:01 AM,C,3.554
11/13/13 7:06:01 AM,C,3.052
11/13/13 11:06:01 AM,C,9.075
11/13/13 3:06:01 PM,C,13.587
11/13/13 7:06:01 PM,C,5.06
11/13/13 11:06:01 PM,C,1.545
11/14/13 3:06:01 AM,C,0.54
11/14/13 7:06:01 AM,C,-1.47
11/14/13 11:06:01 AM,C,6.566
11/14/13 3:06:01 PM,C,11.582
11/14/13 7:06:01 PM,C,3.554
11/14/13 11:06:01 PM,C,2.55
11/15/13 3:06:01 AM,C,3.554
11/15/13 7:06:01 AM,C,1.043
11/15/13 11:06:01 AM,C,7.068
11/15/13 3:06:01 PM,C,9.075
11/15/13 7:06:01 PM,C,1.043
11/15/13 11:06:01 PM,C,0.038
11/16/13 3:06:01 AM,C,0.54
11/16/13 7:06:01 AM,C,1.545
11/16/13 11:06:01 AM,C,3.052
11/16/13 3:06:01 PM,C,5.562
11/16/13 7:06:01 PM,C,3.052
11/16/13 11:06:01 PM,C,2.047
11/17/13 3:06:01 AM,C,1.043
11/17/13 7:06:01 AM,C,0.54
11/17/13 11:06:01 AM,C,8.071
11/17/13 3:06:01 PM,C,10.579
11/17/13 7:06:01 PM,C,2.55
11/17/13 11:06:01 PM,C,0.038
11/18/13 3:06:01 AM,C,-0.465
11/18/13 7:06:01 AM,C,-1.973
11/18/13 11:06:01 AM,C,3.052
11/18/13 3:06:01 PM,C,9.576
11/18/13 7:06:01 PM,C,3.052
11/18/13 11:06:01 PM,C,2.047
11/19/13 3:06:01 AM,C,2.047
11/19/13 7:06:01 AM,C,3.052
11/19/13 11:06:01 AM,C,6.064
11/19/13 3:06:01 PM,C,8.573
11/19/13 7:06:01 PM,C,4.558
11/19/13 11:06:01 PM,C,4.558
11/20/13 3:06:01 AM,C,1.545
11/20/13 7:06:01 AM,C,0.54
11/20/13 11:06:01 AM,C,8.071
11/20/13 3:06:01 PM,C,9.075
11/20/13 7:06:01 PM,C,5.562
11/20/13 11:06:01 PM,C,3.052
11/21/13 3:06:01 AM,C,1.043
11/21/13 7:06:01 AM,C,0.038
11/21/13 11:06:01 AM,C,0.038
11/21/13 3:06:01 PM,C,0.54
11/21/13 7:06:01 PM,C,0.038
11/21/13 11:06:01 PM,C,-0.968
11/22/13 3:06:01 AM,C,-3.984
11/22/13 7:06:01 AM,C,-4.99
11/22/13 11:06:01 AM,C,-0.465
11/22/13 3:06:01 PM,C,5.06
11/22/13 7:06:01 PM,C,-0.968
11/22/13 11:06:01 PM,C,-2.978
11/23/13 3:06:01 AM,C,-3.481
11/23/13 7:06:01 AM,C,-4.487
11/23/13 11:06:01 AM,C,2.047
11/23/13 3:06:01 PM,C,8.071
11/23/13 7:06:01 PM,C,2.55
11/23/13 11:06:01 PM,C,1.545
11/24/13 3:06:01 AM,C,0.54
11/24/13 7:06:01 AM,C,-1.973
11/24/13 11:06:01 AM,C,3.554
11/24/13 3:06:01 PM,C,8.573
11/24/13 7:06:01 PM,C,0.038
11/24/13 11:06:01 PM,C,-2.476
11/25/13 3:06:01 AM,C,-3.984
11/25/13 7:06:01 AM,C,-4.99
11/25/13 11:06:01 AM,C,2.047
11/25/13 3:06:01 PM,C,7.57
