1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2000000029B2E441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Oct 24 00:04:01 MDT 2013
Mission Sample Count:  881
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 24 00:04:01 MDT 2013
Total Mission Samples:  881
Total Device Samples:  8578
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/24/13 12:04:01 AM,%RH,39.228
10/24/13 4:04:01 AM,%RH,39.228
10/24/13 8:04:01 AM,%RH,44.275
10/24/13 12:04:01 PM,%RH,85.717
10/24/13 4:04:01 PM,%RH,85.717
10/24/13 8:04:01 PM,%RH,104.231
10/25/13 12:04:01 AM,%RH,107.521
10/25/13 4:04:01 AM,%RH,110.288
10/25/13 8:04:01 AM,%RH,111.199
10/25/13 12:04:01 PM,%RH,88.33
10/25/13 4:04:01 PM,%RH,86.766
10/25/13 8:04:01 PM,%RH,102.801
10/26/13 12:04:01 AM,%RH,106.12
10/26/13 4:04:01 AM,%RH,106.588
10/26/13 8:04:01 AM,%RH,107.521
10/26/13 12:04:01 PM,%RH,87.81
10/26/13 4:04:01 PM,%RH,85.191
10/26/13 8:04:01 PM,%RH,102.321
10/27/13 12:04:01 AM,%RH,103.756
10/27/13 4:04:01 AM,%RH,106.12
10/27/13 8:04:01 AM,%RH,107.521
10/27/13 12:04:01 PM,%RH,85.717
10/27/13 4:04:01 PM,%RH,89.365
10/27/13 8:04:01 PM,%RH,94.96
10/28/13 12:04:01 AM,%RH,93.955
10/28/13 4:04:01 AM,%RH,94.96
10/28/13 8:04:01 AM,%RH,94.458
10/28/13 12:04:01 PM,%RH,84.663
10/28/13 4:04:01 PM,%RH,88.33
10/28/13 8:04:01 PM,%RH,103.756
10/29/13 12:04:01 AM,%RH,102.801
10/29/13 4:04:01 AM,%RH,104.231
10/29/13 8:04:01 AM,%RH,106.588
10/29/13 12:04:01 PM,%RH,86.766
10/29/13 4:04:01 PM,%RH,85.191
10/29/13 8:04:01 PM,%RH,98.925
10/30/13 12:04:01 AM,%RH,102.321
10/30/13 4:04:01 AM,%RH,105.65
10/30/13 8:04:01 AM,%RH,106.12
10/30/13 12:04:01 PM,%RH,84.663
10/30/13 4:04:01 PM,%RH,86.766
10/30/13 8:04:01 PM,%RH,95.96
10/31/13 12:04:01 AM,%RH,97.942
10/31/13 4:04:01 AM,%RH,99.902
10/31/13 8:04:01 AM,%RH,102.801
10/31/13 12:04:01 PM,%RH,85.191
10/31/13 4:04:01 PM,%RH,83.071
10/31/13 8:04:01 PM,%RH,94.458
11/1/13 12:04:01 AM,%RH,91.929
11/1/13 4:04:01 AM,%RH,97.448
11/1/13 8:04:01 AM,%RH,101.357
11/1/13 12:04:01 PM,%RH,82.002
11/1/13 4:04:01 PM,%RH,78.219
11/1/13 8:04:01 PM,%RH,93.451
11/2/13 12:04:01 AM,%RH,94.96
11/2/13 4:04:01 AM,%RH,99.902
11/2/13 8:04:01 AM,%RH,101.357
11/2/13 12:04:01 PM,%RH,80.389
11/2/13 4:04:01 PM,%RH,81.466
11/2/13 8:04:01 PM,%RH,92.438
11/3/13 12:04:01 AM,%RH,93.955
11/3/13 3:04:01 AM,%RH,94.96
11/3/13 7:04:01 AM,%RH,98.925
11/3/13 11:04:01 AM,%RH,89.365
11/3/13 3:04:01 PM,%RH,90.395
11/3/13 7:04:01 PM,%RH,100.874
11/3/13 11:04:01 PM,%RH,103.279
11/4/13 3:04:01 AM,%RH,101.84
11/4/13 7:04:01 AM,%RH,100.874
11/4/13 11:04:01 AM,%RH,85.191
11/4/13 3:04:01 PM,%RH,83.071
11/4/13 7:04:01 PM,%RH,92.945
11/4/13 11:04:01 PM,%RH,95.96
11/5/13 3:04:01 AM,%RH,99.414
11/5/13 7:04:01 AM,%RH,100.874
11/5/13 11:04:01 AM,%RH,83.071
11/5/13 3:04:01 PM,%RH,81.466
11/5/13 7:04:01 PM,%RH,92.945
11/5/13 11:04:01 PM,%RH,92.945
11/6/13 3:04:01 AM,%RH,92.945
11/6/13 7:04:01 AM,%RH,92.945
11/6/13 11:04:01 AM,%RH,83.603
11/6/13 3:04:01 PM,%RH,79.849
11/6/13 7:04:01 PM,%RH,87.289
11/6/13 11:04:01 PM,%RH,93.451
11/7/13 3:04:01 AM,%RH,91.929
11/7/13 7:04:01 AM,%RH,93.451
11/7/13 11:04:01 AM,%RH,78.764
11/7/13 3:04:01 PM,%RH,83.603
11/7/13 7:04:01 PM,%RH,88.848
11/7/13 11:04:01 PM,%RH,92.438
11/8/13 3:04:01 AM,%RH,92.945
11/8/13 7:04:01 AM,%RH,94.458
11/8/13 11:04:01 AM,%RH,80.928
11/8/13 3:04:01 PM,%RH,81.466
11/8/13 7:04:01 PM,%RH,88.33
11/8/13 11:04:01 PM,%RH,90.907
