1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6A00000029B68D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Oct 24 00:08:01 MDT 2013
Mission Sample Count:  881
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 24 00:08:01 MDT 2013
Total Mission Samples:  881
Total Device Samples:  8568
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/24/13 12:08:01 AM,%RH,41.113
10/24/13 4:08:01 AM,%RH,41.753
10/24/13 8:08:01 AM,%RH,46.189
10/24/13 12:08:01 PM,%RH,86.279
10/24/13 4:08:01 PM,%RH,86.279
10/24/13 8:08:01 PM,%RH,104.796
10/25/13 12:08:01 AM,%RH,107.062
10/25/13 4:08:01 AM,%RH,108.847
10/25/13 8:08:01 AM,%RH,112.769
10/25/13 12:08:01 PM,%RH,96.794
10/25/13 4:08:01 PM,%RH,86.796
10/25/13 8:08:01 PM,%RH,103.878
10/26/13 12:08:01 AM,%RH,106.16
10/26/13 4:08:01 AM,%RH,107.957
10/26/13 8:08:01 AM,%RH,110.168
10/26/13 12:08:01 PM,%RH,95.335
10/26/13 4:08:01 PM,%RH,86.279
10/26/13 8:08:01 PM,%RH,103.417
10/27/13 12:08:01 AM,%RH,106.612
10/27/13 4:08:01 AM,%RH,108.847
10/27/13 8:08:01 AM,%RH,112.34
10/27/13 12:08:01 PM,%RH,95.335
10/27/13 4:08:01 PM,%RH,88.336
10/27/13 8:08:01 PM,%RH,98.24
10/28/13 12:08:01 AM,%RH,98.718
10/28/13 4:08:01 AM,%RH,100.617
10/28/13 8:08:01 AM,%RH,100.617
10/28/13 12:08:01 PM,%RH,91.373
10/28/13 4:08:01 PM,%RH,96.309
10/28/13 8:08:01 PM,%RH,106.612
10/29/13 12:08:01 AM,%RH,107.957
10/29/13 4:08:01 AM,%RH,109.729
10/29/13 8:08:01 AM,%RH,111.042
10/29/13 12:08:01 PM,%RH,98.24
10/29/13 4:08:01 PM,%RH,87.824
10/29/13 8:08:01 PM,%RH,103.878
10/30/13 12:08:01 AM,%RH,107.062
10/30/13 4:08:01 AM,%RH,108.403
10/30/13 8:08:01 AM,%RH,109.289
10/30/13 12:08:01 PM,%RH,92.871
10/30/13 4:08:01 PM,%RH,89.355
10/30/13 8:08:01 PM,%RH,101.556
10/31/13 12:08:01 AM,%RH,102.49
10/31/13 4:08:01 AM,%RH,104.338
10/31/13 8:08:01 AM,%RH,107.062
10/31/13 12:08:01 PM,%RH,87.824
10/31/13 4:08:01 PM,%RH,84.72
10/31/13 8:08:01 PM,%RH,100.144
11/1/13 12:08:01 AM,%RH,99.195
11/1/13 4:08:01 AM,%RH,102.954
11/1/13 8:08:01 AM,%RH,106.612
11/1/13 12:08:01 PM,%RH,84.72
11/1/13 4:08:01 PM,%RH,81.559
11/1/13 8:08:01 PM,%RH,100.144
11/2/13 12:08:01 AM,%RH,102.49
11/2/13 4:08:01 AM,%RH,106.16
11/2/13 8:08:01 AM,%RH,107.511
11/2/13 12:08:01 PM,%RH,84.72
11/2/13 4:08:01 PM,%RH,84.72
11/2/13 8:08:01 PM,%RH,99.671
11/3/13 12:08:01 AM,%RH,101.087
11/3/13 3:08:01 AM,%RH,102.49
11/3/13 7:08:01 AM,%RH,106.16
11/3/13 11:08:01 AM,%RH,95.335
11/3/13 3:08:01 PM,%RH,98.718
11/3/13 7:08:01 PM,%RH,107.511
11/3/13 11:08:01 PM,%RH,109.729
11/4/13 3:08:01 AM,%RH,110.606
