1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6A00000029B68D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Thu Oct 24 00:08:01 MDT 2013
Mission Sample Count:  881
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Oct 24 00:08:01 MDT 2013
Total Mission Samples:  881
Total Device Samples:  8568
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/24/13 12:08:01 AM,C,24.113
10/24/13 4:08:01 AM,C,23.613
10/24/13 8:08:01 AM,C,9.093
10/24/13 12:08:01 PM,C,18.109
10/24/13 4:08:01 PM,C,21.112
10/24/13 8:08:01 PM,C,8.591
10/25/13 12:08:01 AM,C,5.583
10/25/13 4:08:01 AM,C,3.576
10/25/13 8:08:01 AM,C,2.573
10/25/13 12:08:01 PM,C,18.109
10/25/13 4:08:01 PM,C,21.112
10/25/13 8:08:01 PM,C,9.093
10/26/13 12:08:01 AM,C,5.583
10/26/13 4:08:01 AM,C,4.078
10/26/13 8:08:01 AM,C,3.074
10/26/13 12:08:01 PM,C,18.61
10/26/13 4:08:01 PM,C,21.112
10/26/13 8:08:01 PM,C,9.093
10/27/13 12:08:01 AM,C,5.583
10/27/13 4:08:01 AM,C,4.078
10/27/13 8:08:01 AM,C,2.071
10/27/13 12:08:01 PM,C,19.11
10/27/13 4:08:01 PM,C,18.109
10/27/13 8:08:01 PM,C,12.099
10/28/13 12:08:01 AM,C,11.097
10/28/13 4:08:01 AM,C,9.093
10/28/13 8:08:01 AM,C,9.093
10/28/13 12:08:01 PM,C,15.105
10/28/13 4:08:01 PM,C,13.602
10/28/13 8:08:01 PM,C,5.081
10/29/13 12:08:01 AM,C,5.583
10/29/13 4:08:01 AM,C,3.576
10/29/13 8:08:01 AM,C,1.067
10/29/13 12:08:01 PM,C,16.607
10/29/13 4:08:01 PM,C,17.609
10/29/13 8:08:01 PM,C,6.084
10/30/13 12:08:01 AM,C,2.573
10/30/13 4:08:01 AM,C,0.063
10/30/13 8:08:01 AM,C,-0.941
10/30/13 12:08:01 PM,C,16.107
10/30/13 4:08:01 PM,C,15.105
10/30/13 8:08:01 PM,C,7.087
10/31/13 12:08:01 AM,C,6.084
10/31/13 4:08:01 AM,C,4.579
10/31/13 8:08:01 AM,C,1.569
10/31/13 12:08:01 PM,C,16.107
10/31/13 4:08:01 PM,C,16.607
10/31/13 8:08:01 PM,C,6.586
11/1/13 12:08:01 AM,C,7.589
11/1/13 4:08:01 AM,C,5.081
11/1/13 8:08:01 AM,C,2.071
11/1/13 12:08:01 PM,C,18.109
11/1/13 4:08:01 PM,C,19.611
11/1/13 8:08:01 PM,C,7.589
11/2/13 12:08:01 AM,C,5.081
11/2/13 4:08:01 AM,C,2.573
11/2/13 8:08:01 AM,C,0.565
11/2/13 12:08:01 PM,C,17.609
11/2/13 4:08:01 PM,C,16.107
11/2/13 8:08:01 PM,C,6.586
11/3/13 12:08:01 AM,C,5.583
11/3/13 3:08:01 AM,C,5.081
11/3/13 7:08:01 AM,C,2.573
11/3/13 11:08:01 AM,C,11.097
11/3/13 3:08:01 PM,C,10.095
11/3/13 7:08:01 PM,C,0.565
11/3/13 11:08:01 PM,C,-1.443
11/4/13 3:08:01 AM,C,-1.443
11/4/13 7:08:01 AM,C,-0.941
11/4/13 11:08:01 AM,C,12.6
11/4/13 3:08:01 PM,C,13.101
11/4/13 7:08:01 PM,C,3.074
11/4/13 11:08:01 PM,C,0.565
