1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EF000000299D6241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Oct 23 23:59:01 MDT 2013
Mission Sample Count:  882
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Oct 23 23:59:01 MDT 2013
Total Mission Samples:  882
Total Device Samples:  8548
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/23/13 11:59:01 PM,%RH,61.4
10/24/13 3:59:01 AM,%RH,60.173
10/24/13 7:59:01 AM,%RH,59.557
10/24/13 11:59:01 AM,%RH,94.551
10/24/13 3:59:01 PM,%RH,91.97
10/24/13 7:59:01 PM,%RH,106.821
10/24/13 11:59:01 PM,%RH,110.068
10/25/13 3:59:01 AM,%RH,111.885
10/25/13 7:59:01 AM,%RH,116.311
10/25/13 11:59:01 AM,%RH,99.09
10/25/13 3:59:01 PM,%RH,92.489
10/25/13 7:59:01 PM,%RH,106.351
10/25/13 11:59:01 PM,%RH,110.524
10/26/13 3:59:01 AM,%RH,112.784
10/26/13 7:59:01 AM,%RH,113.231
10/26/13 11:59:01 AM,%RH,99.586
10/26/13 3:59:01 PM,%RH,93.007
10/26/13 7:59:01 PM,%RH,106.351
10/26/13 11:59:01 PM,%RH,109.609
10/27/13 3:59:01 AM,%RH,113.231
10/27/13 7:59:01 AM,%RH,114.561
10/27/13 11:59:01 AM,%RH,99.586
10/27/13 3:59:01 PM,%RH,95.571
10/27/13 7:59:01 PM,%RH,102.526
10/27/13 11:59:01 PM,%RH,103.973
10/28/13 3:59:01 AM,%RH,105.405
10/28/13 7:59:01 AM,%RH,105.405
10/28/13 11:59:01 AM,%RH,98.093
10/28/13 3:59:01 PM,%RH,99.09
10/28/13 7:59:01 PM,%RH,109.148
10/28/13 11:59:01 PM,%RH,110.98
10/29/13 3:59:01 AM,%RH,115.001
10/29/13 7:59:01 AM,%RH,114.561
10/29/13 11:59:01 AM,%RH,104.452
10/29/13 3:59:01 PM,%RH,96.585
10/29/13 7:59:01 PM,%RH,107.757
10/29/13 11:59:01 PM,%RH,110.98
10/30/13 3:59:01 AM,%RH,115.001
10/30/13 7:59:01 AM,%RH,118.886
10/30/13 11:59:01 AM,%RH,103.492
10/30/13 3:59:01 PM,%RH,98.592
10/30/13 7:59:01 PM,%RH,105.879
10/30/13 11:59:01 PM,%RH,106.821
10/31/13 3:59:01 AM,%RH,108.686
10/31/13 7:59:01 AM,%RH,110.068
10/31/13 11:59:01 AM,%RH,99.586
10/31/13 3:59:01 PM,%RH,95.062
