1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EF000000299D6241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Oct 23 23:59:01 MDT 2013
Mission Sample Count:  882
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Oct 23 23:59:01 MDT 2013
Total Mission Samples:  882
Total Device Samples:  8548
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/23/13 11:59:01 PM,C,23.142
10/24/13 3:59:01 AM,C,23.142
10/24/13 7:59:01 AM,C,12.128
10/24/13 11:59:01 AM,C,14.132
10/24/13 3:59:01 PM,C,19.14
10/24/13 7:59:01 PM,C,7.114
10/24/13 11:59:01 PM,C,5.107
10/25/13 3:59:01 AM,C,3.1
10/25/13 7:59:01 AM,C,2.096
10/25/13 11:59:01 AM,C,14.633
10/25/13 3:59:01 PM,C,19.64
10/25/13 7:59:01 PM,C,7.616
10/25/13 11:59:01 PM,C,4.606
10/26/13 3:59:01 AM,C,3.602
10/26/13 7:59:01 AM,C,2.598
10/26/13 11:59:01 AM,C,14.132
10/26/13 3:59:01 PM,C,19.64
10/26/13 7:59:01 PM,C,7.616
10/26/13 11:59:01 PM,C,5.107
10/27/13 3:59:01 AM,C,3.1
10/27/13 7:59:01 AM,C,1.594
10/27/13 11:59:01 AM,C,14.633
10/27/13 3:59:01 PM,C,16.637
10/27/13 7:59:01 PM,C,11.126
10/27/13 11:59:01 PM,C,10.123
10/28/13 3:59:01 AM,C,8.117
10/28/13 7:59:01 AM,C,8.117
10/28/13 11:59:01 AM,C,13.631
10/28/13 3:59:01 PM,C,14.132
10/28/13 7:59:01 PM,C,5.107
10/28/13 11:59:01 PM,C,5.107
10/29/13 3:59:01 AM,C,3.1
10/29/13 7:59:01 AM,C,1.092
10/29/13 11:59:01 AM,C,11.627
10/29/13 3:59:01 PM,C,15.635
10/29/13 7:59:01 PM,C,5.107
10/29/13 11:59:01 PM,C,2.096
10/30/13 3:59:01 AM,C,0.087
10/30/13 7:59:01 AM,C,-0.917
10/30/13 11:59:01 AM,C,11.627
10/30/13 3:59:01 PM,C,12.629
10/30/13 7:59:01 PM,C,6.613
10/30/13 11:59:01 PM,C,5.107
10/31/13 3:59:01 AM,C,4.104
10/31/13 7:59:01 AM,C,1.092
10/31/13 11:59:01 AM,C,11.126
10/31/13 3:59:01 PM,C,14.633
10/31/13 7:59:01 PM,C,6.111
10/31/13 11:59:01 PM,C,6.613
11/1/13 3:59:01 AM,C,4.104
11/1/13 7:59:01 AM,C,2.096
11/1/13 11:59:01 AM,C,12.629
11/1/13 3:59:01 PM,C,18.139
11/1/13 7:59:01 PM,C,6.613
11/1/13 11:59:01 PM,C,4.104
11/2/13 3:59:01 AM,C,2.096
11/2/13 7:59:01 AM,C,0.087
11/2/13 11:59:01 AM,C,11.627
11/2/13 3:59:01 PM,C,14.132
11/2/13 7:59:01 PM,C,5.609
11/2/13 11:59:01 PM,C,4.606
11/3/13 2:59:01 AM,C,4.104
11/3/13 6:59:01 AM,C,2.096
11/3/13 10:59:01 AM,C,6.111
11/3/13 2:59:01 PM,C,8.619
11/3/13 6:59:01 PM,C,0.087
11/3/13 10:59:01 PM,C,-1.42
11/4/13 2:59:01 AM,C,-1.42
11/4/13 6:59:01 AM,C,-0.917
11/4/13 10:59:01 AM,C,7.114
11/4/13 2:59:01 PM,C,11.627
11/4/13 6:59:01 PM,C,3.1
11/4/13 10:59:01 PM,C,-0.415
11/5/13 2:59:01 AM,C,-2.425
11/5/13 6:59:01 AM,C,-3.43
11/5/13 10:59:01 AM,C,6.111
11/5/13 2:59:01 PM,C,11.627
11/5/13 6:59:01 PM,C,0.589
11/5/13 10:59:01 PM,C,0.589
11/6/13 2:59:01 AM,C,1.594
11/6/13 6:59:01 AM,C,1.594
11/6/13 10:59:01 AM,C,9.622
11/6/13 2:59:01 PM,C,14.633
11/6/13 6:59:01 PM,C,4.606
11/6/13 10:59:01 PM,C,1.092
11/7/13 2:59:01 AM,C,1.594
11/7/13 6:59:01 AM,C,1.594
11/7/13 10:59:01 AM,C,10.123
11/7/13 2:59:01 PM,C,10.624
11/7/13 6:59:01 PM,C,5.107
11/7/13 10:59:01 PM,C,2.598
11/8/13 2:59:01 AM,C,2.598
11/8/13 6:59:01 AM,C,1.594
11/8/13 10:59:01 AM,C,10.123
11/8/13 2:59:01 PM,C,13.631
11/8/13 6:59:01 PM,C,5.609
11/8/13 10:59:01 PM,C,3.602
11/9/13 2:59:01 AM,C,2.096
11/9/13 6:59:01 AM,C,0.087
11/9/13 10:59:01 AM,C,9.622
11/9/13 2:59:01 PM,C,15.134
11/9/13 6:59:01 PM,C,4.104
11/9/13 10:59:01 PM,C,1.594
11/10/13 2:59:01 AM,C,0.087
11/10/13 6:59:01 AM,C,-1.42
11/10/13 10:59:01 AM,C,8.619
11/10/13 2:59:01 PM,C,15.134
11/10/13 6:59:01 PM,C,3.1
11/10/13 10:59:01 PM,C,1.594
11/11/13 2:59:01 AM,C,-0.415
11/11/13 6:59:01 AM,C,-1.922
11/11/13 10:59:01 AM,C,8.117
11/11/13 2:59:01 PM,C,15.134
11/11/13 6:59:01 PM,C,3.602
11/11/13 10:59:01 PM,C,1.092
11/12/13 2:59:01 AM,C,0.087
11/12/13 6:59:01 AM,C,-0.917
11/12/13 10:59:01 AM,C,8.619
11/12/13 2:59:01 PM,C,13.13
11/12/13 6:59:01 PM,C,4.104
11/12/13 10:59:01 PM,C,2.598
11/13/13 2:59:01 AM,C,3.1
11/13/13 6:59:01 AM,C,2.096
11/13/13 10:59:01 AM,C,9.12
11/13/13 2:59:01 PM,C,13.13
11/13/13 6:59:01 PM,C,4.606
11/13/13 10:59:01 PM,C,1.092
11/14/13 2:59:01 AM,C,0.087
11/14/13 6:59:01 AM,C,-1.922
11/14/13 10:59:01 AM,C,8.117
11/14/13 2:59:01 PM,C,12.629
11/14/13 6:59:01 PM,C,3.1
11/14/13 10:59:01 PM,C,2.096
11/15/13 2:59:01 AM,C,2.598
11/15/13 6:59:01 AM,C,0.589
11/15/13 10:59:01 AM,C,7.114
11/15/13 2:59:01 PM,C,10.624
11/15/13 6:59:01 PM,C,0.589
11/15/13 10:59:01 PM,C,-0.415
11/16/13 2:59:01 AM,C,0.589
11/16/13 6:59:01 AM,C,1.092
11/16/13 10:59:01 AM,C,2.598
11/16/13 2:59:01 PM,C,6.613
11/16/13 6:59:01 PM,C,2.598
11/16/13 10:59:01 PM,C,1.594
11/17/13 2:59:01 AM,C,1.092
11/17/13 6:59:01 AM,C,0.087
11/17/13 10:59:01 AM,C,9.12
11/17/13 2:59:01 PM,C,12.128
11/17/13 6:59:01 PM,C,2.096
11/17/13 10:59:01 PM,C,0.087
11/18/13 2:59:01 AM,C,-0.917
11/18/13 6:59:01 AM,C,-1.922
11/18/13 10:59:01 AM,C,5.609
11/18/13 2:59:01 PM,C,10.624
11/18/13 6:59:01 PM,C,2.598
11/18/13 10:59:01 PM,C,1.594
11/19/13 2:59:01 AM,C,1.594
11/19/13 6:59:01 AM,C,2.598
11/19/13 10:59:01 AM,C,5.609
11/19/13 2:59:01 PM,C,8.619
11/19/13 6:59:01 PM,C,4.104
11/19/13 10:59:01 PM,C,4.104
11/20/13 2:59:01 AM,C,1.092
11/20/13 6:59:01 AM,C,0.087
11/20/13 10:59:01 AM,C,8.117
11/20/13 2:59:01 PM,C,8.619
11/20/13 6:59:01 PM,C,5.107
11/20/13 10:59:01 PM,C,3.1
11/21/13 2:59:01 AM,C,0.589
11/21/13 6:59:01 AM,C,-0.415
11/21/13 10:59:01 AM,C,0.087
11/21/13 2:59:01 PM,C,0.589
11/21/13 6:59:01 PM,C,0.087
11/21/13 10:59:01 PM,C,-0.917
11/22/13 2:59:01 AM,C,-2.927
11/22/13 6:59:01 AM,C,-4.435
11/22/13 10:59:01 AM,C,0.589
11/22/13 2:59:01 PM,C,5.609
11/22/13 6:59:01 PM,C,-1.42
11/22/13 10:59:01 PM,C,-2.425
11/23/13 2:59:01 AM,C,-3.43
11/23/13 6:59:01 AM,C,-3.932
11/23/13 10:59:01 AM,C,2.096
11/23/13 2:59:01 PM,C,9.12
11/23/13 6:59:01 PM,C,1.092
11/23/13 10:59:01 PM,C,0.589
11/24/13 2:59:01 AM,C,0.087
11/24/13 6:59:01 AM,C,-1.922
11/24/13 10:59:01 AM,C,5.609
11/24/13 2:59:01 PM,C,10.123
11/24/13 6:59:01 PM,C,-0.917
11/24/13 10:59:01 PM,C,-2.927
11/25/13 2:59:01 AM,C,-3.43
11/25/13 6:59:01 AM,C,-4.435
11/25/13 10:59:01 AM,C,3.602
11/25/13 2:59:01 PM,C,9.12
11/25/13 6:59:01 PM,C,-1.922
11/25/13 10:59:01 PM,C,-3.932
11/26/13 2:59:01 AM,C,-3.932
11/26/13 6:59:01 AM,C,-4.938
11/26/13 10:59:01 AM,C,3.1
11/26/13 2:59:01 PM,C,8.117
11/26/13 6:59:01 PM,C,-2.425
11/26/13 10:59:01 PM,C,-3.43
11/27/13 2:59:01 AM,C,-3.932
11/27/13 6:59:01 AM,C,-4.938
11/27/13 10:59:01 AM,C,4.104
11/27/13 2:59:01 PM,C,7.616
11/27/13 6:59:01 PM,C,-1.42
11/27/13 10:59:01 PM,C,-3.43
11/28/13 2:59:01 AM,C,-2.927
11/28/13 6:59:01 AM,C,-4.435
11/28/13 10:59:01 AM,C,3.1
11/28/13 2:59:01 PM,C,6.111
11/28/13 6:59:01 PM,C,-2.425
11/28/13 10:59:01 PM,C,-2.927
11/29/13 2:59:01 AM,C,-3.43
11/29/13 6:59:01 AM,C,-4.435
11/29/13 10:59:01 AM,C,3.602
11/29/13 2:59:01 PM,C,8.117
11/29/13 6:59:01 PM,C,-1.42
11/29/13 10:59:01 PM,C,-3.43
11/30/13 2:59:01 AM,C,-4.435
11/30/13 6:59:01 AM,C,-4.938
11/30/13 10:59:01 AM,C,3.602
11/30/13 2:59:01 PM,C,8.619
11/30/13 6:59:01 PM,C,0.589
11/30/13 10:59:01 PM,C,-0.917
12/1/13 2:59:01 AM,C,-1.42
12/1/13 6:59:01 AM,C,-2.927
12/1/13 10:59:01 AM,C,5.107
12/1/13 2:59:01 PM,C,7.616
12/1/13 6:59:01 PM,C,2.096
12/1/13 10:59:01 PM,C,0.087
12/2/13 2:59:01 AM,C,2.598
12/2/13 6:59:01 AM,C,4.606
12/2/13 10:59:01 AM,C,10.624
12/2/13 2:59:01 PM,C,9.12
12/2/13 6:59:01 PM,C,6.111
12/2/13 10:59:01 PM,C,3.602
12/3/13 2:59:01 AM,C,0.087
12/3/13 6:59:01 AM,C,-1.42
12/3/13 10:59:01 AM,C,-0.415
12/3/13 2:59:01 PM,C,-0.415
12/3/13 6:59:01 PM,C,-4.938
12/3/13 10:59:01 PM,C,-6.949
12/4/13 2:59:01 AM,C,-8.458
12/4/13 6:59:01 AM,C,-9.464
12/4/13 10:59:01 AM,C,-3.932
12/4/13 2:59:01 PM,C,-1.42
12/4/13 6:59:01 PM,C,-5.44
12/4/13 10:59:01 PM,C,-5.943
12/5/13 2:59:01 AM,C,-6.949
12/5/13 6:59:01 AM,C,-7.452
12/5/13 10:59:01 AM,C,-0.917
12/5/13 2:59:01 PM,C,0.087
12/5/13 6:59:01 PM,C,-7.452
12/5/13 10:59:01 PM,C,-7.955
12/6/13 2:59:01 AM,C,-8.458
12/6/13 6:59:01 AM,C,-9.464
12/6/13 10:59:01 AM,C,-4.435
12/6/13 2:59:01 PM,C,-2.425
12/6/13 6:59:01 PM,C,-10.47
12/6/13 10:59:01 PM,C,-12.484
12/7/13 2:59:01 AM,C,-12.484
12/7/13 6:59:01 AM,C,-9.464
12/7/13 10:59:01 AM,C,-6.446
