1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E90000002990E241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Apr 24 00:01:01 MDT 2013
Mission Sample Count:  1097
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Apr 24 00:01:01 MDT 2013
Total Mission Samples:  1097
Total Device Samples:  7665
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/24/13 12:01:01 AM,%RH,18.989
4/24/13 4:01:01 AM,%RH,17.56
4/24/13 8:01:01 AM,%RH,17.56
4/24/13 12:01:01 PM,%RH,17.56
4/24/13 4:01:01 PM,%RH,36.878
4/24/13 8:01:01 PM,%RH,56.522
4/25/13 12:01:01 AM,%RH,66.516
4/25/13 4:01:01 AM,%RH,72.137
4/25/13 8:01:01 AM,%RH,64.792
4/25/13 12:01:01 PM,%RH,47.878
4/25/13 4:01:01 PM,%RH,39.516
4/25/13 8:01:01 PM,%RH,53.478
4/26/13 12:01:01 AM,%RH,64.792
4/26/13 4:01:01 AM,%RH,69.911
4/26/13 8:01:01 AM,%RH,64.792
4/26/13 12:01:01 PM,%RH,44.7
4/26/13 4:01:01 PM,%RH,34.21
4/26/13 8:01:01 PM,%RH,49.762
4/27/13 12:01:01 AM,%RH,61.294
4/27/13 4:01:01 AM,%RH,68.222
4/27/13 8:01:01 AM,%RH,61.881
4/27/13 12:01:01 PM,%RH,40.824
4/27/13 4:01:01 PM,%RH,31.511
4/27/13 8:01:01 PM,%RH,47.246
4/28/13 12:01:01 AM,%RH,57.125
4/28/13 4:01:01 AM,%RH,65.943
4/28/13 8:01:01 AM,%RH,62.467
4/28/13 12:01:01 PM,%RH,41.474
4/28/13 4:01:01 PM,%RH,34.21
4/28/13 8:01:01 PM,%RH,50.386
4/29/13 12:01:01 AM,%RH,59.519
4/29/13 4:01:01 AM,%RH,69.35
4/29/13 8:01:01 AM,%RH,64.792
4/29/13 12:01:01 PM,%RH,41.474
4/29/13 4:01:01 PM,%RH,34.88
4/29/13 8:01:01 PM,%RH,45.339
4/30/13 12:01:01 AM,%RH,55.31
4/30/13 4:01:01 AM,%RH,63.634
4/30/13 8:01:01 AM,%RH,61.294
4/30/13 12:01:01 PM,%RH,41.474
4/30/13 4:01:01 PM,%RH,34.88
4/30/13 8:01:01 PM,%RH,49.762
5/1/13 12:01:01 AM,%RH,58.326
5/1/13 4:01:01 AM,%RH,63.634
5/1/13 8:01:01 AM,%RH,62.467
5/1/13 12:01:01 PM,%RH,45.339
5/1/13 4:01:01 PM,%RH,40.824
5/1/13 8:01:01 PM,%RH,53.478
5/2/13 12:01:01 AM,%RH,63.634
5/2/13 4:01:01 AM,%RH,67.655
5/2/13 8:01:01 AM,%RH,62.467
5/2/13 12:01:01 PM,%RH,42.77
5/2/13 4:01:01 PM,%RH,34.88
5/2/13 8:01:01 PM,%RH,49.762
5/3/13 12:01:01 AM,%RH,58.923
5/3/13 4:01:01 AM,%RH,64.792
5/3/13 8:01:01 AM,%RH,61.294
5/3/13 12:01:01 PM,%RH,40.824
5/3/13 4:01:01 PM,%RH,33.538
5/3/13 8:01:01 PM,%RH,45.339
5/4/13 12:01:01 AM,%RH,54.701
5/4/13 4:01:01 AM,%RH,59.519
5/4/13 8:01:01 AM,%RH,58.326
5/4/13 12:01:01 PM,%RH,40.171
5/4/13 4:01:01 PM,%RH,33.538
5/4/13 8:01:01 PM,%RH,44.7
5/5/13 12:01:01 AM,%RH,53.478
5/5/13 4:01:01 AM,%RH,62.467
5/5/13 8:01:01 AM,%RH,62.467
5/5/13 12:01:01 PM,%RH,43.415
5/5/13 4:01:01 PM,%RH,32.189
5/5/13 8:01:01 PM,%RH,46.612
5/6/13 12:01:01 AM,%RH,52.863
5/6/13 4:01:01 AM,%RH,58.923
5/6/13 8:01:01 AM,%RH,57.125
5/6/13 12:01:01 PM,%RH,45.339
5/6/13 4:01:01 PM,%RH,40.824
5/6/13 8:01:01 PM,%RH,49.762
5/7/13 12:01:01 AM,%RH,61.881
5/7/13 4:01:01 AM,%RH,77.032
5/7/13 8:01:01 AM,%RH,81.254
5/7/13 12:01:01 PM,%RH,85.858
5/7/13 4:01:01 PM,%RH,75.958
5/7/13 8:01:01 PM,%RH,77.567
5/8/13 12:01:01 AM,%RH,81.774
5/8/13 4:01:01 AM,%RH,86.86
5/8/13 8:01:01 AM,%RH,77.567
5/8/13 12:01:01 PM,%RH,54.701
5/8/13 4:01:01 PM,%RH,52.247
5/8/13 8:01:01 PM,%RH,60.112
5/9/13 12:01:01 AM,%RH,69.911
5/9/13 4:01:01 AM,%RH,74.876
5/9/13 8:01:01 AM,%RH,68.787
5/9/13 12:01:01 PM,%RH,45.339
5/9/13 4:01:01 PM,%RH,32.865
5/9/13 8:01:01 PM,%RH,45.977
5/10/13 12:01:01 AM,%RH,55.917
5/10/13 4:01:01 AM,%RH,64.214
5/10/13 8:01:01 AM,%RH,60.704
5/10/13 12:01:01 PM,%RH,38.201
