J2M1,Port 1,Port 2,Port 3,Port 4,Port 5
1403 records,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture
Measurement Time,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC
11/14/2013 8:00 PM,#N/A,#N/A,#N/A,#N/A,#N/A
11/14/2013 10:00 PM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 12:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 2:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 4:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 6:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 8:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
11/15/2013 10:00 AM,-0.149,-0.063,-0.067,-0.106,#N/A
11/15/2013 12:00 PM,-0.032,0.044,0.038,0.018,#N/A
11/15/2013 2:00 PM,-0.025,0.050,0.042,0.021,#N/A
11/15/2013 4:00 PM,-0.030,0.045,0.038,0.018,#N/A
11/15/2013 6:00 PM,-0.035,0.039,0.034,0.015,#N/A
11/15/2013 8:00 PM,-0.039,0.038,0.032,0.014,#N/A
11/15/2013 10:00 PM,-0.039,0.039,0.032,0.015,#N/A
11/16/2013 12:00 AM,-0.040,0.038,0.031,0.014,#N/A
11/16/2013 2:00 AM,-0.040,0.037,0.031,0.014,#N/A
11/16/2013 4:00 AM,-0.039,0.038,0.031,0.014,#N/A
11/16/2013 6:00 AM,-0.004,0.081,0.030,0.004,#N/A
11/16/2013 8:00 AM,0.000,0.083,0.027,0.007,#N/A
11/16/2013 10:00 AM,-0.013,0.085,0.033,0.026,#N/A
11/16/2013 12:00 PM,-0.012,0.086,0.040,0.028,#N/A
11/16/2013 2:00 PM,-0.009,0.086,0.042,0.030,#N/A
11/16/2013 4:00 PM,-0.008,0.082,0.040,0.031,#N/A
11/16/2013 6:00 PM,-0.018,0.073,0.032,0.026,#N/A
11/16/2013 8:00 PM,-0.025,0.068,0.030,0.022,#N/A
11/16/2013 10:00 PM,-0.026,0.066,0.029,0.022,#N/A
11/17/2013 12:00 AM,-0.029,0.064,0.027,0.020,#N/A
11/17/2013 2:00 AM,-0.031,0.061,0.025,0.018,#N/A
11/17/2013 4:00 AM,-0.032,0.059,0.025,0.017,#N/A
11/17/2013 6:00 AM,-0.034,0.058,0.024,0.016,#N/A
11/17/2013 8:00 AM,-0.033,0.058,0.024,0.016,#N/A
11/17/2013 10:00 AM,-0.024,0.068,0.030,0.022,#N/A
11/17/2013 12:00 PM,-0.013,0.074,0.039,0.025,#N/A
11/17/2013 2:00 PM,-0.008,0.078,0.042,0.029,#N/A
11/17/2013 4:00 PM,-0.009,0.074,0.039,0.032,#N/A
11/17/2013 6:00 PM,-0.020,0.064,0.030,0.026,#N/A
11/17/2013 8:00 PM,-0.029,0.058,0.026,0.021,#N/A
11/17/2013 10:00 PM,-0.034,0.054,0.023,0.017,#N/A
11/18/2013 12:00 AM,-0.035,0.053,0.022,0.017,#N/A
11/18/2013 2:00 AM,-0.035,0.054,0.023,0.017,#N/A
11/18/2013 4:00 AM,-0.035,0.053,0.023,0.017,#N/A
11/18/2013 6:00 AM,-0.035,0.052,0.022,0.016,#N/A
11/18/2013 8:00 AM,-0.036,0.052,0.022,0.016,#N/A
11/18/2013 10:00 AM,-0.027,0.060,0.029,0.021,#N/A
11/18/2013 12:00 PM,-0.018,0.066,0.034,0.025,#N/A
11/18/2013 2:00 PM,-0.007,0.072,0.041,0.029,#N/A
11/18/2013 4:00 PM,-0.006,0.069,0.040,0.032,#N/A
11/18/2013 6:00 PM,-0.019,0.059,0.030,0.025,#N/A
11/18/2013 8:00 PM,-0.029,0.053,0.025,0.020,#N/A
11/18/2013 10:00 PM,-0.033,0.050,0.022,0.017,#N/A
11/19/2013 12:00 AM,-0.035,0.049,0.021,0.016,#N/A
11/19/2013 2:00 AM,-0.037,0.047,0.020,0.014,#N/A
11/19/2013 4:00 AM,-0.039,0.046,0.019,0.014,#N/A
11/19/2013 6:00 AM,-0.040,0.044,0.018,0.013,#N/A
11/19/2013 8:00 AM,-0.041,0.044,0.017,0.012,#N/A
11/19/2013 10:00 AM,-0.027,0.058,0.027,0.019,#N/A
11/19/2013 12:00 PM,-0.013,0.066,0.036,0.025,#N/A
11/19/2013 2:00 PM,-0.009,0.069,0.038,0.029,#N/A
