J2M2,Port 1,Port 2,Port 3,Port 4,Port 5
2380 records,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture,10HS Soil Moisture
Measurement Time,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC,m³/m³ VWC
3/11/2014 8:00 PM,#N/A,#N/A,#N/A,#N/A,#N/A
3/11/2014 10:00 PM,#N/A,#N/A,#N/A,#N/A,#N/A
3/12/2014 12:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
3/12/2014 2:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
3/12/2014 4:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
3/12/2014 6:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
3/12/2014 8:00 AM,#N/A,#N/A,#N/A,#N/A,#N/A
3/12/2014 10:00 AM,-0.148,-0.238,-0.195,-0.214,#N/A
3/12/2014 12:00 PM,0.074,0.010,0.046,0.023,#N/A
3/12/2014 2:00 PM,0.077,0.017,0.051,0.028,#N/A
3/12/2014 4:00 PM,0.079,0.016,0.052,0.030,#N/A
3/12/2014 6:00 PM,0.078,0.013,0.047,0.029,#N/A
3/12/2014 8:00 PM,0.072,-0.002,0.030,0.025,#N/A
3/12/2014 10:00 PM,0.069,-0.011,0.018,0.021,#N/A
3/13/2014 12:00 AM,0.068,-0.015,0.014,0.019,#N/A
3/13/2014 2:00 AM,0.067,-0.018,0.010,0.016,#N/A
3/13/2014 4:00 AM,0.066,-0.020,0.007,0.015,#N/A
3/13/2014 6:00 AM,0.066,-0.021,0.007,0.014,#N/A
3/13/2014 8:00 AM,0.066,-0.021,0.006,0.013,#N/A
3/13/2014 10:00 AM,0.070,-0.005,0.027,0.017,#N/A
3/13/2014 12:00 PM,0.072,0.011,0.046,0.022,#N/A
3/13/2014 2:00 PM,0.076,0.018,0.052,0.027,#N/A
3/13/2014 4:00 PM,0.078,0.015,0.053,0.029,#N/A
3/13/2014 6:00 PM,0.075,0.013,0.049,0.028,#N/A
3/13/2014 8:00 PM,0.069,-0.002,0.031,0.024,#N/A
3/13/2014 10:00 PM,0.067,-0.012,0.020,0.020,#N/A
3/14/2014 12:00 AM,0.066,-0.015,0.017,0.018,#N/A
3/14/2014 2:00 AM,0.066,-0.015,0.017,0.018,#N/A
3/14/2014 4:00 AM,0.066,-0.013,0.018,0.018,#N/A
3/14/2014 6:00 AM,0.065,-0.016,0.015,0.017,#N/A
3/14/2014 8:00 AM,0.064,-0.019,0.011,0.015,#N/A
3/14/2014 10:00 AM,0.069,-0.001,0.036,0.019,#N/A
3/14/2014 12:00 PM,0.070,0.014,0.051,0.023,#N/A
3/14/2014 2:00 PM,0.074,0.020,0.057,0.028,#N/A
3/14/2014 4:00 PM,0.074,0.016,0.054,0.028,#N/A
3/14/2014 6:00 PM,0.074,0.010,0.047,0.029,#N/A
3/14/2014 8:00 PM,0.069,-0.001,0.033,0.027,#N/A
3/14/2014 10:00 PM,0.068,-0.006,0.029,0.025,#N/A
3/15/2014 12:00 AM,0.067,-0.011,0.023,0.023,#N/A
3/15/2014 2:00 AM,0.066,-0.012,0.020,0.022,#N/A
3/15/2014 4:00 AM,0.064,-0.020,0.011,0.020,#N/A
3/15/2014 6:00 AM,0.064,-0.019,0.013,0.019,#N/A
3/15/2014 8:00 AM,0.064,-0.021,0.011,0.017,#N/A
3/15/2014 10:00 AM,0.069,-0.004,0.033,0.021,#N/A
3/15/2014 12:00 PM,0.069,0.010,0.049,0.025,#N/A
3/15/2014 2:00 PM,0.073,0.013,0.050,0.029,#N/A
3/15/2014 4:00 PM,0.067,-0.006,0.030,0.024,#N/A
3/15/2014 6:00 PM,0.068,-0.004,0.026,0.024,#N/A
3/15/2014 8:00 PM,0.065,-0.009,0.013,0.023,#N/A
3/15/2014 10:00 PM,0.064,-0.013,0.008,0.022,#N/A
3/16/2014 12:00 AM,0.063,-0.010,0.000,0.021,#N/A
3/16/2014 2:00 AM,0.062,-0.009,-0.001,0.020,#N/A
3/16/2014 4:00 AM,0.061,-0.011,-0.004,0.018,#N/A
3/16/2014 6:00 AM,0.060,-0.015,-0.008,0.016,#N/A
3/16/2014 8:00 AM,0.060,-0.017,-0.010,0.015,#N/A
3/16/2014 10:00 AM,0.064,-0.003,0.010,0.018,#N/A
3/16/2014 12:00 PM,0.064,0.012,0.029,0.021,#N/A
3/16/2014 2:00 PM,0.069,0.020,0.036,0.026,#N/A
3/16/2014 4:00 PM,0.072,0.019,0.041,0.028,#N/A
3/16/2014 6:00 PM,0.070,0.016,0.035,0.027,#N/A
3/16/2014 8:00 PM,0.063,-0.001,0.009,0.023,#N/A
3/16/2014 10:00 PM,0.058,-0.015,-0.008,0.018,#N/A
3/17/2014 12:00 AM,0.058,-0.018,-0.013,0.016,#N/A
3/17/2014 2:00 AM,0.057,-0.021,-0.019,0.014,#N/A
3/17/2014 4:00 AM,0.056,-0.024,-0.022,0.012,#N/A
3/17/2014 6:00 AM,0.056,-0.025,-0.025,0.011,#N/A
3/17/2014 8:00 AM,0.056,-0.026,-0.026,0.010,#N/A
3/17/2014 10:00 AM,0.062,-0.004,0.011,0.015,#N/A
3/17/2014 12:00 PM,0.063,0.013,0.034,0.020,#N/A
3/17/2014 2:00 PM,0.068,0.021,0.044,0.025,#N/A
3/17/2014 4:00 PM,0.069,0.010,0.051,0.024,#N/A
3/17/2014 6:00 PM,0.068,0.003,0.045,0.023,#N/A
3/17/2014 8:00 PM,0.062,-0.008,0.030,0.019,#N/A
3/17/2014 10:00 PM,0.059,-0.015,0.021,0.015,#N/A
3/18/2014 12:00 AM,0.058,-0.018,0.016,0.013,#N/A
3/18/2014 2:00 AM,0.057,-0.019,0.014,0.012,#N/A
3/18/2014 4:00 AM,0.057,-0.021,0.012,0.010,#N/A
3/18/2014 6:00 AM,0.056,-0.021,0.011,0.010,#N/A
3/18/2014 8:00 AM,0.056,-0.023,0.009,0.009,#N/A
3/18/2014 10:00 AM,0.061,-0.010,0.027,0.012,#N/A
3/18/2014 12:00 PM,0.062,0.003,0.040,0.017,#N/A
3/18/2014 2:00 PM,0.067,0.009,0.047,0.022,#N/A
3/18/2014 4:00 PM,0.069,0.005,0.048,0.024,#N/A
3/18/2014 6:00 PM,0.066,0.001,0.040,0.021,#N/A
3/18/2014 8:00 PM,0.060,-0.010,0.025,0.017,#N/A
