1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5400000029A85241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Fri Nov 15 01:15:01 MST 2013
Mission Sample Count:  701
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Nov 15 01:15:01 MST 2013
Total Mission Samples:  701
Total Device Samples:  7451
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/15/13 1:15:01 AM,%RH,38.001
11/15/13 5:15:01 AM,%RH,38.001
11/15/13 9:15:01 AM,%RH,67.006
11/15/13 1:15:01 PM,%RH,87.172
11/15/13 5:15:01 PM,%RH,96.628
11/15/13 9:15:01 PM,%RH,98.927
11/16/13 1:15:01 AM,%RH,98.355
11/16/13 5:15:01 AM,%RH,99.498
11/16/13 9:15:01 AM,%RH,96.049
11/16/13 1:15:01 PM,%RH,80.428
11/16/13 5:15:01 PM,%RH,76.034
11/16/13 9:15:01 PM,%RH,78.555
11/17/13 1:15:01 AM,%RH,81.669
11/17/13 5:15:01 AM,%RH,87.172
11/17/13 9:15:01 AM,%RH,84.131
11/17/13 1:15:01 PM,%RH,65.03
11/17/13 5:15:01 PM,%RH,66.349
11/17/13 9:15:01 PM,%RH,74.126
11/18/13 1:15:01 AM,%RH,76.034
11/18/13 5:15:01 AM,%RH,78.555
11/18/13 9:15:01 AM,%RH,76.034
11/18/13 1:15:01 PM,%RH,59.688
11/18/13 5:15:01 PM,%RH,61.703
11/18/13 9:15:01 PM,%RH,68.967
11/19/13 1:15:01 AM,%RH,73.487
11/19/13 5:15:01 AM,%RH,77.927
11/19/13 9:15:01 AM,%RH,75.4
11/19/13 1:15:01 PM,%RH,58.336
11/19/13 5:15:01 PM,%RH,59.013
11/19/13 9:15:01 PM,%RH,67.006
11/20/13 1:15:01 AM,%RH,69.618
11/20/13 5:15:01 AM,%RH,75.4
11/20/13 9:15:01 AM,%RH,71.56
11/20/13 1:15:01 PM,%RH,61.703
11/20/13 5:15:01 PM,%RH,59.688
11/20/13 9:15:01 PM,%RH,65.69
11/21/13 1:15:01 AM,%RH,69.618
11/21/13 5:15:01 AM,%RH,74.126
11/21/13 9:15:01 AM,%RH,72.204
11/21/13 1:15:01 PM,%RH,56.978
11/21/13 5:15:01 PM,%RH,57.658
11/21/13 9:15:01 PM,%RH,68.967
11/22/13 1:15:01 AM,%RH,72.204
11/22/13 5:15:01 AM,%RH,74.126
11/22/13 9:15:01 AM,%RH,74.126
11/22/13 1:15:01 PM,%RH,70.914
11/22/13 5:15:01 PM,%RH,74.126
11/22/13 9:15:01 PM,%RH,77.298
11/23/13 1:15:01 AM,%RH,77.927
11/23/13 5:15:01 AM,%RH,79.805
11/23/13 9:15:01 AM,%RH,80.428
11/23/13 1:15:01 PM,%RH,79.805
11/23/13 5:15:01 PM,%RH,81.05
11/23/13 9:15:01 PM,%RH,84.131
11/24/13 1:15:01 AM,%RH,88.977
11/24/13 5:15:01 AM,%RH,94.887
11/24/13 9:15:01 AM,%RH,100.066
11/24/13 1:15:01 PM,%RH,104.004
11/24/13 5:15:01 PM,%RH,109.489
11/24/13 9:15:01 PM,%RH,110.567
11/25/13 1:15:01 AM,%RH,111.103
11/25/13 5:15:01 AM,%RH,111.638
11/25/13 9:15:01 AM,%RH,110.029
11/25/13 1:15:01 PM,%RH,106.218
11/25/13 5:15:01 PM,%RH,111.103
11/25/13 9:15:01 PM,%RH,113.76
11/26/13 1:15:01 AM,%RH,112.702
11/26/13 5:15:01 AM,%RH,112.171
11/26/13 9:15:01 AM,%RH,111.638
11/26/13 1:15:01 PM,%RH,103.446
11/26/13 5:15:01 PM,%RH,111.103
11/26/13 9:15:01 PM,%RH,114.287
11/27/13 1:15:01 AM,%RH,112.702
11/27/13 5:15:01 AM,%RH,112.702
11/27/13 9:15:01 AM,%RH,112.171
11/27/13 1:15:01 PM,%RH,107.861
11/27/13 5:15:01 PM,%RH,111.638
11/27/13 9:15:01 PM,%RH,113.76
11/28/13 1:15:01 AM,%RH,113.76
11/28/13 5:15:01 AM,%RH,112.171
11/28/13 9:15:01 AM,%RH,111.103
11/28/13 1:15:01 PM,%RH,102.887
11/28/13 5:15:01 PM,%RH,109.489
11/28/13 9:15:01 PM,%RH,113.232
11/29/13 1:15:01 AM,%RH,114.812
11/29/13 5:15:01 AM,%RH,113.76
11/29/13 9:15:01 AM,%RH,111.103
11/29/13 1:15:01 PM,%RH,100.066
11/29/13 5:15:01 PM,%RH,107.315
11/29/13 9:15:01 PM,%RH,112.171
11/30/13 1:15:01 AM,%RH,114.287
11/30/13 5:15:01 AM,%RH,113.76
11/30/13 9:15:01 AM,%RH,109.489
11/30/13 1:15:01 PM,%RH,100.066
11/30/13 5:15:01 PM,%RH,105.114
11/30/13 9:15:01 PM,%RH,108.405
12/1/13 1:15:01 AM,%RH,108.405
12/1/13 5:15:01 AM,%RH,108.405
12/1/13 9:15:01 AM,%RH,106.767
12/1/13 1:15:01 PM,%RH,96.628
12/1/13 5:15:01 PM,%RH,102.326
12/1/13 9:15:01 PM,%RH,107.315
12/2/13 1:15:01 AM,%RH,110.567
12/2/13 5:15:01 AM,%RH,113.232
12/2/13 9:15:01 AM,%RH,110.029
12/2/13 1:15:01 PM,%RH,96.049
12/2/13 5:15:01 PM,%RH,99.498
12/2/13 9:15:01 PM,%RH,104.004
12/3/13 1:15:01 AM,%RH,104.004
12/3/13 5:15:01 AM,%RH,104.56
12/3/13 9:15:01 AM,%RH,101.2
12/3/13 1:15:01 PM,%RH,87.172
12/3/13 5:15:01 PM,%RH,87.775
12/3/13 9:15:01 PM,%RH,92.542
12/4/13 1:15:01 AM,%RH,94.303
12/4/13 5:15:01 AM,%RH,96.628
12/4/13 9:15:01 AM,%RH,92.542
12/4/13 1:15:01 PM,%RH,83.518
12/4/13 5:15:01 PM,%RH,82.903
12/4/13 9:15:01 PM,%RH,86.567
12/5/13 1:15:01 AM,%RH,90.172
12/5/13 5:15:01 AM,%RH,90.767
12/5/13 9:15:01 AM,%RH,90.767
12/5/13 1:15:01 PM,%RH,82.287
12/5/13 5:15:01 PM,%RH,85.352
12/5/13 9:15:01 PM,%RH,91.36
12/6/13 1:15:01 AM,%RH,96.049
12/6/13 5:15:01 AM,%RH,98.355
12/6/13 9:15:01 AM,%RH,97.205
12/6/13 1:15:01 PM,%RH,84.743
12/6/13 5:15:01 PM,%RH,88.377
12/6/13 9:15:01 PM,%RH,91.36
12/7/13 1:15:01 AM,%RH,94.887
12/7/13 5:15:01 AM,%RH,96.049
12/7/13 9:15:01 AM,%RH,91.952
12/7/13 1:15:01 PM,%RH,90.172
12/7/13 5:15:01 PM,%RH,91.952
12/7/13 9:15:01 PM,%RH,96.049
12/8/13 1:15:01 AM,%RH,98.355
12/8/13 5:15:01 AM,%RH,99.498
12/8/13 9:15:01 AM,%RH,97.205
12/8/13 1:15:01 PM,%RH,87.775
12/8/13 5:15:01 PM,%RH,88.977
12/8/13 9:15:01 PM,%RH,93.718
12/9/13 1:15:01 AM,%RH,94.303
12/9/13 5:15:01 AM,%RH,96.628
12/9/13 9:15:01 AM,%RH,94.303
12/9/13 1:15:01 PM,%RH,85.352
12/9/13 5:15:01 PM,%RH,86.567
12/9/13 9:15:01 PM,%RH,91.952
12/10/13 1:15:01 AM,%RH,96.049
12/10/13 5:15:01 AM,%RH,97.205
12/10/13 9:15:01 AM,%RH,94.303
12/10/13 1:15:01 PM,%RH,82.287
12/10/13 5:15:01 PM,%RH,84.131
12/10/13 9:15:01 PM,%RH,87.172
12/11/13 1:15:01 AM,%RH,90.767
12/11/13 5:15:01 AM,%RH,90.767
12/11/13 9:15:01 AM,%RH,88.377
12/11/13 1:15:01 PM,%RH,76.667
12/11/13 5:15:01 PM,%RH,77.298
12/11/13 9:15:01 PM,%RH,81.05
12/12/13 1:15:01 AM,%RH,82.903
12/12/13 5:15:01 AM,%RH,82.903
12/12/13 9:15:01 AM,%RH,87.775
12/12/13 1:15:01 PM,%RH,104.004
12/12/13 5:15:01 PM,%RH,108.948
12/12/13 9:15:01 PM,%RH,110.029
12/13/13 1:15:01 AM,%RH,111.103
12/13/13 5:15:01 AM,%RH,112.702
12/13/13 9:15:01 AM,%RH,109.489
12/13/13 1:15:01 PM,%RH,105.667
12/13/13 5:15:01 PM,%RH,110.029
12/13/13 9:15:01 PM,%RH,113.76
12/14/13 1:15:01 AM,%RH,113.76
12/14/13 5:15:01 AM,%RH,114.287
12/14/13 9:15:01 AM,%RH,112.171
12/14/13 1:15:01 PM,%RH,106.767
12/14/13 5:15:01 PM,%RH,111.638
12/14/13 9:15:01 PM,%RH,115.335
12/15/13 1:15:01 AM,%RH,113.76
12/15/13 5:15:01 AM,%RH,113.232
12/15/13 9:15:01 AM,%RH,112.171
12/15/13 1:15:01 PM,%RH,106.218
12/15/13 5:15:01 PM,%RH,111.638
12/15/13 9:15:01 PM,%RH,114.812
12/16/13 1:15:01 AM,%RH,114.287
12/16/13 5:15:01 AM,%RH,113.232
12/16/13 9:15:01 AM,%RH,112.702
12/16/13 1:15:01 PM,%RH,106.767
12/16/13 5:15:01 PM,%RH,111.103
12/16/13 9:15:01 PM,%RH,115.335
12/17/13 1:15:01 AM,%RH,114.812
12/17/13 5:15:01 AM,%RH,114.287
12/17/13 9:15:01 AM,%RH,112.702
12/17/13 1:15:01 PM,%RH,105.667
12/17/13 5:15:01 PM,%RH,111.103
12/17/13 9:15:01 PM,%RH,114.812
12/18/13 1:15:01 AM,%RH,114.287
12/18/13 5:15:01 AM,%RH,114.287
12/18/13 9:15:01 AM,%RH,112.702
12/18/13 1:15:01 PM,%RH,104.004
12/18/13 5:15:01 PM,%RH,109.489
12/18/13 9:15:01 PM,%RH,112.171
12/19/13 1:15:01 AM,%RH,114.287
12/19/13 5:15:01 AM,%RH,114.812
12/19/13 9:15:01 AM,%RH,112.702
12/19/13 1:15:01 PM,%RH,101.764
12/19/13 5:15:01 PM,%RH,104.56
