1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 200000002990DD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Fri Nov 15 01:20:01 MST 2013
Mission Sample Count:  701
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Nov 15 01:20:01 MST 2013
Total Mission Samples:  701
Total Device Samples:  7435
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/15/13 1:20:01 AM,%RH,38.208
11/15/13 5:20:01 AM,%RH,37.554
11/15/13 9:20:01 AM,%RH,81.593
11/15/13 1:20:01 PM,%RH,77.914
11/15/13 5:20:01 PM,%RH,80.551
11/15/13 9:20:01 PM,%RH,81.593
11/16/13 1:20:01 AM,%RH,83.655
11/16/13 5:20:01 AM,%RH,86.693
11/16/13 9:20:01 AM,%RH,82.627
11/16/13 1:20:01 PM,%RH,79.502
11/16/13 5:20:01 PM,%RH,75.232
11/16/13 9:20:01 PM,%RH,76.847
11/17/13 1:20:01 AM,%RH,80.551
11/17/13 5:20:01 AM,%RH,83.655
11/17/13 9:20:01 AM,%RH,78.445
11/17/13 1:20:01 PM,%RH,75.232
11/17/13 5:20:01 PM,%RH,73.602
11/17/13 9:20:01 PM,%RH,77.914
11/18/13 1:20:01 AM,%RH,80.027
11/18/13 5:20:01 AM,%RH,82.111
11/18/13 9:20:01 AM,%RH,78.445
11/18/13 1:20:01 PM,%RH,74.147
11/18/13 5:20:01 PM,%RH,71.954
11/18/13 9:20:01 PM,%RH,76.847
11/19/13 1:20:01 AM,%RH,80.551
11/19/13 5:20:01 AM,%RH,83.655
11/19/13 9:20:01 AM,%RH,76.847
11/19/13 1:20:01 PM,%RH,72.505
11/19/13 5:20:01 PM,%RH,70.291
11/19/13 9:20:01 PM,%RH,76.311
11/20/13 1:20:01 AM,%RH,77.914
11/20/13 5:20:01 AM,%RH,80.551
11/20/13 9:20:01 AM,%RH,77.382
11/20/13 1:20:01 PM,%RH,74.691
11/20/13 5:20:01 PM,%RH,70.291
11/20/13 9:20:01 PM,%RH,74.147
11/21/13 1:20:01 AM,%RH,76.847
11/21/13 5:20:01 AM,%RH,78.974
11/21/13 9:20:01 AM,%RH,74.691
11/21/13 1:20:01 PM,%RH,69.733
11/21/13 5:20:01 PM,%RH,69.173
11/21/13 9:20:01 PM,%RH,74.147
11/22/13 1:20:01 AM,%RH,76.847
11/22/13 5:20:01 AM,%RH,77.914
11/22/13 9:20:01 AM,%RH,77.914
11/22/13 1:20:01 PM,%RH,77.382
11/22/13 5:20:01 PM,%RH,79.502
11/22/13 9:20:01 PM,%RH,81.073
11/23/13 1:20:01 AM,%RH,82.111
11/23/13 5:20:01 AM,%RH,82.627
11/23/13 9:20:01 AM,%RH,83.142
11/23/13 1:20:01 PM,%RH,82.111
11/23/13 5:20:01 PM,%RH,83.655
11/23/13 9:20:01 PM,%RH,85.687
11/24/13 1:20:01 AM,%RH,87.691
11/24/13 5:20:01 AM,%RH,93.052
11/24/13 9:20:01 AM,%RH,98.194
11/24/13 1:20:01 PM,%RH,101.795
11/24/13 5:20:01 PM,%RH,103.115
11/24/13 9:20:01 PM,%RH,104.419
11/25/13 1:20:01 AM,%RH,105.28
11/25/13 5:20:01 AM,%RH,105.707
11/25/13 9:20:01 AM,%RH,105.707
11/25/13 1:20:01 PM,%RH,103.115
11/25/13 5:20:01 PM,%RH,104.419
11/25/13 9:20:01 PM,%RH,104.419
11/26/13 1:20:01 AM,%RH,105.707
11/26/13 5:20:01 AM,%RH,106.979
11/26/13 9:20:01 AM,%RH,101.795
11/26/13 1:20:01 PM,%RH,100.905
11/26/13 5:20:01 PM,%RH,102.677
11/26/13 9:20:01 PM,%RH,104.85
11/27/13 1:20:01 AM,%RH,105.707
11/27/13 5:20:01 AM,%RH,105.707
11/27/13 9:20:01 AM,%RH,104.419
11/27/13 1:20:01 PM,%RH,101.351
11/27/13 5:20:01 PM,%RH,103.115
11/27/13 9:20:01 PM,%RH,105.28
11/28/13 1:20:01 AM,%RH,105.707
11/28/13 5:20:01 AM,%RH,104.85
11/28/13 9:20:01 AM,%RH,102.677
11/28/13 1:20:01 PM,%RH,100.905
11/28/13 5:20:01 PM,%RH,102.237
11/28/13 9:20:01 PM,%RH,104.419
11/29/13 1:20:01 AM,%RH,106.133
11/29/13 5:20:01 AM,%RH,106.133
11/29/13 9:20:01 AM,%RH,102.677
11/29/13 1:20:01 PM,%RH,98.194
11/29/13 5:20:01 PM,%RH,100.009
11/29/13 9:20:01 PM,%RH,103.986
11/30/13 1:20:01 AM,%RH,103.552
11/30/13 5:20:01 AM,%RH,105.28
11/30/13 9:20:01 AM,%RH,101.351
11/30/13 1:20:01 PM,%RH,97.275
11/30/13 5:20:01 PM,%RH,98.194
11/30/13 9:20:01 PM,%RH,100.009
12/1/13 1:20:01 AM,%RH,101.351
12/1/13 5:20:01 AM,%RH,100.905
12/1/13 9:20:01 AM,%RH,101.351
12/1/13 1:20:01 PM,%RH,93.529
12/1/13 5:20:01 PM,%RH,97.275
12/1/13 9:20:01 PM,%RH,101.795
12/2/13 1:20:01 AM,%RH,103.115
12/2/13 5:20:01 AM,%RH,105.28
12/2/13 9:20:01 AM,%RH,100.458
12/2/13 1:20:01 PM,%RH,95.416
12/2/13 5:20:01 PM,%RH,95.416
12/2/13 9:20:01 PM,%RH,99.558
12/3/13 1:20:01 AM,%RH,100.009
12/3/13 5:20:01 AM,%RH,98.194
12/3/13 9:20:01 AM,%RH,94.947
