1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FC00000029A98A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Fri Nov 15 01:22:01 MST 2013
Mission Sample Count:  701
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Nov 15 01:22:01 MST 2013
Total Mission Samples:  701
Total Device Samples:  7518
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/15/13 1:22:01 AM,C,18.136
11/15/13 5:22:01 AM,C,18.136
11/15/13 9:22:01 AM,C,13.627
11/15/13 1:22:01 PM,C,22.64
11/15/13 5:22:01 PM,C,15.631
11/15/13 9:22:01 PM,C,14.128
11/16/13 1:22:01 AM,C,12.123
11/16/13 5:22:01 AM,C,9.113
11/16/13 9:22:01 AM,C,16.633
11/16/13 1:22:01 PM,C,25.141
11/16/13 5:22:01 PM,C,17.635
11/16/13 9:22:01 PM,C,14.128
11/17/13 1:22:01 AM,C,10.618
11/17/13 5:22:01 AM,C,6.604
11/17/13 9:22:01 AM,C,15.13
11/17/13 1:22:01 PM,C,27.64
11/17/13 5:22:01 PM,C,16.132
11/17/13 9:22:01 PM,C,8.611
11/18/13 1:22:01 AM,C,8.611
11/18/13 5:22:01 AM,C,8.11
11/18/13 9:22:01 AM,C,15.631
11/18/13 1:22:01 PM,C,28.639
11/18/13 5:22:01 PM,C,17.134
11/18/13 9:22:01 PM,C,9.113
11/19/13 1:22:01 AM,C,6.102
11/19/13 5:22:01 AM,C,3.59
11/19/13 9:22:01 AM,C,13.125
11/19/13 1:22:01 PM,C,28.139
11/19/13 5:22:01 PM,C,16.633
11/19/13 9:22:01 PM,C,8.611
11/20/13 1:22:01 AM,C,8.611
11/20/13 5:22:01 AM,C,6.604
11/20/13 9:22:01 AM,C,15.13
11/20/13 1:22:01 PM,C,22.64
11/20/13 5:22:01 PM,C,17.635
11/20/13 9:22:01 PM,C,11.12
11/21/13 1:22:01 AM,C,8.611
11/21/13 5:22:01 AM,C,7.608
11/21/13 9:22:01 AM,C,15.631
11/21/13 1:22:01 PM,C,26.64
11/21/13 5:22:01 PM,C,18.136
11/21/13 9:22:01 PM,C,13.627
11/22/13 1:22:01 AM,C,13.125
11/22/13 5:22:01 AM,C,11.12
11/22/13 9:22:01 AM,C,13.125
11/22/13 1:22:01 PM,C,14.629
11/22/13 5:22:01 PM,C,9.113
11/22/13 9:22:01 PM,C,7.106
11/23/13 1:22:01 AM,C,6.604
11/23/13 5:22:01 AM,C,6.102
11/23/13 9:22:01 AM,C,6.604
11/23/13 1:22:01 PM,C,10.117
11/23/13 5:22:01 PM,C,6.604
11/23/13 9:22:01 PM,C,4.093
11/24/13 1:22:01 AM,C,2.083
11/24/13 5:22:01 AM,C,1.581
11/24/13 9:22:01 AM,C,1.078
11/24/13 1:22:01 PM,C,7.106
11/24/13 5:22:01 PM,C,3.088
11/24/13 9:22:01 PM,C,2.083
11/25/13 1:22:01 AM,C,1.581
11/25/13 5:22:01 AM,C,1.078
11/25/13 9:22:01 AM,C,4.093
11/25/13 1:22:01 PM,C,12.123
11/25/13 5:22:01 PM,C,4.595
11/25/13 9:22:01 PM,C,-0.43
11/26/13 1:22:01 AM,C,-1.939
11/26/13 5:22:01 AM,C,-4.455
11/26/13 9:22:01 AM,C,0.575
11/26/13 1:22:01 PM,C,19.137
11/26/13 5:22:01 PM,C,8.611
11/26/13 9:22:01 PM,C,0.072
11/27/13 1:22:01 AM,C,-1.939
11/27/13 5:22:01 AM,C,-4.455
11/27/13 9:22:01 AM,C,0.072
11/27/13 1:22:01 PM,C,13.125
11/27/13 5:22:01 PM,C,5.6
11/27/13 9:22:01 PM,C,-0.43
11/28/13 1:22:01 AM,C,-3.448
11/28/13 5:22:01 AM,C,-5.965
11/28/13 9:22:01 AM,C,0.575
11/28/13 1:22:01 PM,C,20.639
11/28/13 5:22:01 PM,C,10.117
11/28/13 9:22:01 PM,C,2.083
11/29/13 1:22:01 AM,C,-1.436
11/29/13 5:22:01 AM,C,-2.945
11/29/13 9:22:01 AM,C,4.093
11/29/13 1:22:01 PM,C,22.64
11/29/13 5:22:01 PM,C,11.621
11/29/13 9:22:01 PM,C,4.093
11/30/13 1:22:01 AM,C,0.072
11/30/13 5:22:01 AM,C,-0.43
11/30/13 9:22:01 AM,C,8.611
11/30/13 1:22:01 PM,C,19.638
11/30/13 5:22:01 PM,C,10.618
11/30/13 9:22:01 PM,C,7.106
12/1/13 1:22:01 AM,C,6.604
12/1/13 5:22:01 AM,C,6.102
12/1/13 9:22:01 AM,C,9.113
12/1/13 1:22:01 PM,C,21.64
12/1/13 5:22:01 PM,C,11.621
12/1/13 9:22:01 PM,C,4.595
12/2/13 1:22:01 AM,C,1.078
12/2/13 5:22:01 AM,C,-2.945
12/2/13 9:22:01 AM,C,5.097
12/2/13 1:22:01 PM,C,23.14
12/2/13 5:22:01 PM,C,11.621
12/2/13 9:22:01 PM,C,4.595
12/3/13 1:22:01 AM,C,4.093
12/3/13 5:22:01 AM,C,5.097
12/3/13 9:22:01 AM,C,10.618
12/3/13 1:22:01 PM,C,23.641
12/3/13 5:22:01 PM,C,13.125
12/3/13 9:22:01 PM,C,6.102
12/4/13 1:22:01 AM,C,5.6
12/4/13 5:22:01 AM,C,5.097
12/4/13 9:22:01 AM,C,15.13
12/4/13 1:22:01 PM,C,23.14
12/4/13 5:22:01 PM,C,14.629
12/4/13 9:22:01 PM,C,9.615
12/5/13 1:22:01 AM,C,6.102
12/5/13 5:22:01 AM,C,7.608
12/5/13 9:22:01 AM,C,11.621
12/5/13 1:22:01 PM,C,18.636
12/5/13 5:22:01 PM,C,10.618
12/5/13 9:22:01 PM,C,4.595
12/6/13 1:22:01 AM,C,1.581
12/6/13 5:22:01 AM,C,-1.436
12/6/13 9:22:01 AM,C,5.6
12/6/13 1:22:01 PM,C,21.139
12/6/13 5:22:01 PM,C,7.106
12/6/13 9:22:01 PM,C,-0.933
12/7/13 1:22:01 AM,C,-2.945
12/7/13 5:22:01 AM,C,-3.448
12/7/13 9:22:01 AM,C,4.093
12/7/13 1:22:01 PM,C,10.618
12/7/13 5:22:01 PM,C,4.093
12/7/13 9:22:01 PM,C,-1.436
12/8/13 1:22:01 AM,C,-3.951
12/8/13 5:22:01 AM,C,-4.455
12/8/13 9:22:01 AM,C,5.097
12/8/13 1:22:01 PM,C,17.635
12/8/13 5:22:01 PM,C,7.608
12/8/13 9:22:01 PM,C,0.072
12/9/13 1:22:01 AM,C,-0.933
12/9/13 5:22:01 AM,C,-3.448
12/9/13 9:22:01 AM,C,5.6
12/9/13 1:22:01 PM,C,19.137
12/9/13 5:22:01 PM,C,7.106
12/9/13 9:22:01 PM,C,-2.945
12/10/13 1:22:01 AM,C,-6.972
12/10/13 5:22:01 AM,C,-10.498
12/10/13 9:22:01 AM,C,-0.933
12/10/13 1:22:01 PM,C,18.136
12/10/13 5:22:01 PM,C,5.097
12/10/13 9:22:01 PM,C,-3.448
12/11/13 1:22:01 AM,C,-6.468
12/11/13 5:22:01 AM,C,-7.979
12/11/13 9:22:01 AM,C,1.078
12/11/13 1:22:01 PM,C,20.639
12/11/13 5:22:01 PM,C,8.11
12/11/13 9:22:01 PM,C,1.581
12/12/13 1:22:01 AM,C,-0.43
12/12/13 5:22:01 AM,C,1.078
12/12/13 9:22:01 AM,C,2.586
12/12/13 1:22:01 PM,C,7.608
12/12/13 5:22:01 PM,C,5.097
12/12/13 9:22:01 PM,C,3.088
12/13/13 1:22:01 AM,C,3.088
12/13/13 5:22:01 AM,C,1.078
12/13/13 9:22:01 AM,C,6.102
12/13/13 1:22:01 PM,C,18.136
12/13/13 5:22:01 PM,C,8.611
12/13/13 9:22:01 PM,C,2.083
12/14/13 1:22:01 AM,C,-0.43
12/14/13 5:22:01 AM,C,-2.442
12/14/13 9:22:01 AM,C,-0.43
12/14/13 1:22:01 PM,C,18.636
12/14/13 5:22:01 PM,C,8.11
12/14/13 9:22:01 PM,C,-0.43
12/15/13 1:22:01 AM,C,-2.945
12/15/13 5:22:01 AM,C,-5.461
12/15/13 9:22:01 AM,C,-0.933
12/15/13 1:22:01 PM,C,17.635
12/15/13 5:22:01 PM,C,8.611
12/15/13 9:22:01 PM,C,-0.43
12/16/13 1:22:01 AM,C,-2.945
12/16/13 5:22:01 AM,C,-4.958
12/16/13 9:22:01 AM,C,0.072
12/16/13 1:22:01 PM,C,18.636
12/16/13 5:22:01 PM,C,9.615
12/16/13 9:22:01 PM,C,1.581
12/17/13 1:22:01 AM,C,-1.939
12/17/13 5:22:01 AM,C,-3.951
12/17/13 9:22:01 AM,C,1.078
12/17/13 1:22:01 PM,C,20.639
12/17/13 5:22:01 PM,C,10.618
12/17/13 9:22:01 PM,C,1.581
12/18/13 1:22:01 AM,C,-1.939
12/18/13 5:22:01 AM,C,-3.951
12/18/13 9:22:01 AM,C,1.078
12/18/13 1:22:01 PM,C,20.138
12/18/13 5:22:01 PM,C,10.117
