1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7600000029B30241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Fri Nov 15 01:21:01 MST 2013
Mission Sample Count:  701
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Nov 15 01:21:01 MST 2013
Total Mission Samples:  701
Total Device Samples:  7497
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/15/13 1:21:01 AM,C,18.167
11/15/13 5:21:01 AM,C,17.666
11/15/13 9:21:01 AM,C,12.655
11/15/13 1:21:01 PM,C,23.672
11/15/13 5:21:01 PM,C,14.66
11/15/13 9:21:01 PM,C,13.157
11/16/13 1:21:01 AM,C,11.653
11/16/13 5:21:01 AM,C,8.141
11/16/13 9:21:01 AM,C,19.168
11/16/13 1:21:01 PM,C,26.672
11/16/13 5:21:01 PM,C,17.165
11/16/13 9:21:01 PM,C,14.159
11/17/13 1:21:01 AM,C,10.148
11/17/13 5:21:01 AM,C,6.133
11/17/13 9:21:01 AM,C,17.666
11/17/13 1:21:01 PM,C,29.67
11/17/13 5:21:01 PM,C,15.663
11/17/13 9:21:01 PM,C,8.141
11/18/13 1:21:01 AM,C,8.141
11/18/13 5:21:01 AM,C,7.639
11/18/13 9:21:01 AM,C,17.666
11/18/13 1:21:01 PM,C,32.166
11/18/13 5:21:01 PM,C,16.164
11/18/13 9:21:01 PM,C,8.643
11/19/13 1:21:01 AM,C,5.631
11/19/13 5:21:01 AM,C,3.12
11/19/13 9:21:01 AM,C,16.664
11/19/13 1:21:01 PM,C,30.668
11/19/13 5:21:01 PM,C,16.164
11/19/13 9:21:01 PM,C,8.141
11/20/13 1:21:01 AM,C,8.141
11/20/13 5:21:01 AM,C,6.133
11/20/13 9:21:01 AM,C,16.164
11/20/13 1:21:01 PM,C,23.672
11/20/13 5:21:01 PM,C,16.664
11/20/13 9:21:01 PM,C,10.65
11/21/13 1:21:01 AM,C,8.141
11/21/13 5:21:01 AM,C,7.137
11/21/13 9:21:01 AM,C,18.668
11/21/13 1:21:01 PM,C,28.67
11/21/13 5:21:01 PM,C,18.167
11/21/13 9:21:01 PM,C,13.157
11/22/13 1:21:01 AM,C,13.157
11/22/13 5:21:01 AM,C,10.65
11/22/13 9:21:01 AM,C,13.157
11/22/13 1:21:01 PM,C,14.159
11/22/13 5:21:01 PM,C,8.141
11/22/13 9:21:01 PM,C,6.636
11/23/13 1:21:01 AM,C,6.133
11/23/13 5:21:01 AM,C,5.631
11/23/13 9:21:01 AM,C,6.133
11/23/13 1:21:01 PM,C,10.148
11/23/13 5:21:01 PM,C,6.133
11/23/13 9:21:01 PM,C,3.12
11/24/13 1:21:01 AM,C,1.11
11/24/13 5:21:01 AM,C,1.11
11/24/13 9:21:01 AM,C,1.11
11/24/13 1:21:01 PM,C,4.627
11/24/13 5:21:01 PM,C,3.12
11/24/13 9:21:01 PM,C,2.115
11/25/13 1:21:01 AM,C,1.613
11/25/13 5:21:01 AM,C,1.11
11/25/13 9:21:01 AM,C,3.623
11/25/13 1:21:01 PM,C,12.655
11/25/13 5:21:01 PM,C,4.627
11/25/13 9:21:01 PM,C,-0.398
11/26/13 1:21:01 AM,C,-1.906
11/26/13 5:21:01 AM,C,-3.918
11/26/13 9:21:01 AM,C,1.613
11/26/13 1:21:01 PM,C,20.169
11/26/13 5:21:01 PM,C,8.141
11/26/13 9:21:01 PM,C,0.608
11/27/13 1:21:01 AM,C,-1.906
11/27/13 5:21:01 AM,C,-4.421
11/27/13 9:21:01 AM,C,0.105
11/27/13 1:21:01 PM,C,13.658
11/27/13 5:21:01 PM,C,5.631
11/27/13 9:21:01 PM,C,-0.398
11/28/13 1:21:01 AM,C,-2.912
11/28/13 5:21:01 AM,C,-5.428
11/28/13 9:21:01 AM,C,2.115
11/28/13 1:21:01 PM,C,21.17
11/28/13 5:21:01 PM,C,9.145
11/28/13 9:21:01 PM,C,2.115
11/29/13 1:21:01 AM,C,-1.403
11/29/13 5:21:01 AM,C,-2.912
11/29/13 9:21:01 AM,C,5.129
11/29/13 1:21:01 PM,C,23.672
11/29/13 5:21:01 PM,C,11.151
11/29/13 9:21:01 PM,C,4.125
11/30/13 1:21:01 AM,C,0.105
11/30/13 5:21:01 AM,C,-0.398
11/30/13 9:21:01 AM,C,9.646
11/30/13 1:21:01 PM,C,20.169
11/30/13 5:21:01 PM,C,10.65
11/30/13 9:21:01 PM,C,7.137
12/1/13 1:21:01 AM,C,6.133
12/1/13 5:21:01 AM,C,6.133
12/1/13 9:21:01 AM,C,9.145
12/1/13 1:21:01 PM,C,21.671
12/1/13 5:21:01 PM,C,11.653
12/1/13 9:21:01 PM,C,4.627
12/2/13 1:21:01 AM,C,0.608
12/2/13 5:21:01 AM,C,-2.912
12/2/13 9:21:01 AM,C,7.137
12/2/13 1:21:01 PM,C,23.672
12/2/13 5:21:01 PM,C,11.151
12/2/13 9:21:01 PM,C,4.627
12/3/13 1:21:01 AM,C,4.125
