1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6400000029B7ED41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Fri Nov 15 01:24:01 MST 2013
Mission Sample Count:  701
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Nov 15 01:24:01 MST 2013
Total Mission Samples:  701
Total Device Samples:  7438
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/15/13 1:24:01 AM,C,18.081
11/15/13 5:24:01 AM,C,18.081
11/15/13 9:24:01 AM,C,13.573
11/15/13 1:24:01 PM,C,23.586
11/15/13 5:24:01 PM,C,15.577
11/15/13 9:24:01 PM,C,14.575
11/16/13 1:24:01 AM,C,12.571
11/16/13 5:24:01 AM,C,9.062
11/16/13 9:24:01 AM,C,13.072
11/16/13 1:24:01 PM,C,21.584
11/16/13 5:24:01 PM,C,16.078
11/16/13 9:24:01 PM,C,13.573
11/17/13 1:24:01 AM,C,10.566
11/17/13 5:24:01 AM,C,8.561
11/17/13 9:24:01 AM,C,13.072
11/17/13 1:24:01 PM,C,23.586
11/17/13 5:24:01 PM,C,16.078
11/17/13 9:24:01 PM,C,9.564
11/18/13 1:24:01 AM,C,9.564
11/18/13 5:24:01 AM,C,9.062
11/18/13 9:24:01 AM,C,13.072
11/18/13 1:24:01 PM,C,24.086
11/18/13 5:24:01 PM,C,16.579
11/18/13 9:24:01 PM,C,10.566
11/19/13 1:24:01 AM,C,8.059
11/19/13 5:24:01 AM,C,6.053
11/19/13 9:24:01 AM,C,10.065
11/19/13 1:24:01 PM,C,23.085
11/19/13 5:24:01 PM,C,16.579
11/19/13 9:24:01 PM,C,9.564
11/20/13 1:24:01 AM,C,9.062
11/20/13 5:24:01 AM,C,7.558
11/20/13 9:24:01 AM,C,13.072
11/20/13 1:24:01 PM,C,21.084
11/20/13 5:24:01 PM,C,16.078
11/20/13 9:24:01 PM,C,11.068
11/21/13 1:24:01 AM,C,8.561
11/21/13 5:24:01 AM,C,7.558
11/21/13 9:24:01 AM,C,13.072
11/21/13 1:24:01 PM,C,24.086
11/21/13 5:24:01 PM,C,18.081
11/21/13 9:24:01 PM,C,13.072
11/22/13 1:24:01 AM,C,13.573
11/22/13 5:24:01 AM,C,11.068
11/22/13 9:24:01 AM,C,13.072
11/22/13 1:24:01 PM,C,14.074
11/22/13 5:24:01 PM,C,10.065
11/22/13 9:24:01 PM,C,8.059
11/23/13 1:24:01 AM,C,7.558
11/23/13 5:24:01 AM,C,7.056
11/23/13 9:24:01 AM,C,6.555
11/23/13 1:24:01 PM,C,7.056
11/23/13 5:24:01 PM,C,6.555
11/23/13 9:24:01 PM,C,2.54
11/24/13 1:24:01 AM,C,2.038
11/24/13 5:24:01 AM,C,1.536
11/24/13 9:24:01 AM,C,2.038
11/24/13 1:24:01 PM,C,3.544
11/24/13 5:24:01 PM,C,3.544
11/24/13 9:24:01 PM,C,3.544
11/25/13 1:24:01 AM,C,3.042
11/25/13 5:24:01 AM,C,2.54
