1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A800000029B45A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Fri Nov 15 01:18:01 MST 2013
Mission Sample Count:  701
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Nov 15 01:18:01 MST 2013
Total Mission Samples:  701
Total Device Samples:  7326
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/15/13 1:18:01 AM,C,17.584
11/15/13 5:18:01 AM,C,18.084
11/15/13 9:18:01 AM,C,12.58
11/15/13 1:18:01 PM,C,23.086
11/15/13 5:18:01 PM,C,16.083
11/15/13 9:18:01 PM,C,14.582
11/16/13 1:18:01 AM,C,12.58
11/16/13 5:18:01 AM,C,9.077
11/16/13 9:18:01 AM,C,16.583
11/16/13 1:18:01 PM,C,25.586
11/16/13 5:18:01 PM,C,17.083
11/16/13 9:18:01 PM,C,13.581
11/17/13 1:18:01 AM,C,10.578
11/17/13 5:18:01 AM,C,8.576
11/17/13 9:18:01 AM,C,17.584
11/17/13 1:18:01 PM,C,29.585
11/17/13 5:18:01 PM,C,17.584
11/17/13 9:18:01 PM,C,11.079
11/18/13 1:18:01 AM,C,10.078
11/18/13 5:18:01 AM,C,9.577
11/18/13 9:18:01 AM,C,14.081
11/18/13 1:18:01 PM,C,28.086
11/18/13 5:18:01 PM,C,18.084
11/18/13 9:18:01 PM,C,11.079
11/19/13 1:18:01 AM,C,8.576
11/19/13 5:18:01 AM,C,6.574
11/19/13 9:18:01 AM,C,16.083
11/19/13 1:18:01 PM,C,28.086
11/19/13 5:18:01 PM,C,18.084
11/19/13 9:18:01 PM,C,10.578
11/20/13 1:18:01 AM,C,9.577
11/20/13 5:18:01 AM,C,8.076
11/20/13 9:18:01 AM,C,13.081
11/20/13 1:18:01 PM,C,22.086
11/20/13 5:18:01 PM,C,17.083
11/20/13 9:18:01 PM,C,11.579
11/21/13 1:18:01 AM,C,9.077
11/21/13 5:18:01 AM,C,8.076
11/21/13 9:18:01 AM,C,15.583
11/21/13 1:18:01 PM,C,28.586
11/21/13 5:18:01 PM,C,19.585
11/21/13 9:18:01 PM,C,14.081
11/22/13 1:18:01 AM,C,14.081
11/22/13 5:18:01 AM,C,11.579
11/22/13 9:18:01 AM,C,12.58
11/22/13 1:18:01 PM,C,13.081
11/22/13 5:18:01 PM,C,9.577
11/22/13 9:18:01 PM,C,8.076
11/23/13 1:18:01 AM,C,7.575
11/23/13 5:18:01 AM,C,7.074
11/23/13 9:18:01 AM,C,6.574
11/23/13 1:18:01 PM,C,7.074
11/23/13 5:18:01 PM,C,6.574
11/23/13 9:18:01 PM,C,3.069
11/24/13 1:18:01 AM,C,2.568
11/24/13 5:18:01 AM,C,1.567
11/24/13 9:18:01 AM,C,2.068
11/24/13 1:18:01 PM,C,4.571
11/24/13 5:18:01 PM,C,4.07
11/24/13 9:18:01 PM,C,4.07
11/25/13 1:18:01 AM,C,3.57
11/25/13 5:18:01 AM,C,2.568
11/25/13 9:18:01 AM,C,3.57
11/25/13 1:18:01 PM,C,9.577
11/25/13 5:18:01 PM,C,5.573
11/25/13 9:18:01 PM,C,2.068
11/26/13 1:18:01 AM,C,1.066
11/26/13 5:18:01 AM,C,0.064
11/26/13 9:18:01 AM,C,7.074
11/26/13 1:18:01 PM,C,17.083
11/26/13 5:18:01 PM,C,9.077
11/26/13 9:18:01 PM,C,4.07
11/27/13 1:18:01 AM,C,1.567
11/27/13 5:18:01 AM,C,0.064
11/27/13 9:18:01 AM,C,2.568
11/27/13 1:18:01 PM,C,9.077
11/27/13 5:18:01 PM,C,6.073
11/27/13 9:18:01 PM,C,2.568
11/28/13 1:18:01 AM,C,0.064
11/28/13 5:18:01 AM,C,-0.937
11/28/13 9:18:01 AM,C,6.073
11/28/13 1:18:01 PM,C,17.083
11/28/13 5:18:01 PM,C,10.078
11/28/13 9:18:01 PM,C,4.571
11/29/13 1:18:01 AM,C,2.568
11/29/13 5:18:01 AM,C,0.565
11/29/13 9:18:01 AM,C,7.074
11/29/13 1:18:01 PM,C,19.084
11/29/13 5:18:01 PM,C,11.579
11/29/13 9:18:01 PM,C,6.574
11/30/13 1:18:01 AM,C,3.57
11/30/13 5:18:01 AM,C,3.069
11/30/13 9:18:01 AM,C,7.575
11/30/13 1:18:01 PM,C,13.581
11/30/13 5:18:01 PM,C,10.578
11/30/13 9:18:01 PM,C,8.576
12/1/13 1:18:01 AM,C,7.575
12/1/13 5:18:01 AM,C,7.575
12/1/13 9:18:01 AM,C,8.576
12/1/13 1:18:01 PM,C,15.082
12/1/13 5:18:01 PM,C,12.08
12/1/13 9:18:01 PM,C,7.575
12/2/13 1:18:01 AM,C,4.571
12/2/13 5:18:01 AM,C,2.068
12/2/13 9:18:01 AM,C,7.575
12/2/13 1:18:01 PM,C,20.585
12/2/13 5:18:01 PM,C,12.58
12/2/13 9:18:01 PM,C,7.074
12/3/13 1:18:01 AM,C,5.573
12/3/13 5:18:01 AM,C,5.072
12/3/13 9:18:01 AM,C,8.576
12/3/13 1:18:01 PM,C,20.585
12/3/13 5:18:01 PM,C,14.081
12/3/13 9:18:01 PM,C,8.076
12/4/13 1:18:01 AM,C,7.575
12/4/13 5:18:01 AM,C,8.576
12/4/13 9:18:01 AM,C,13.081
12/4/13 1:18:01 PM,C,21.085
12/4/13 5:18:01 PM,C,14.582
12/4/13 9:18:01 PM,C,11.079
12/5/13 1:18:01 AM,C,8.076
12/5/13 5:18:01 AM,C,8.576
12/5/13 9:18:01 AM,C,10.578
12/5/13 1:18:01 PM,C,16.583
12/5/13 5:18:01 PM,C,10.578
12/5/13 9:18:01 PM,C,6.073
12/6/13 1:18:01 AM,C,4.07
12/6/13 5:18:01 AM,C,2.068
12/6/13 9:18:01 AM,C,7.575
12/6/13 1:18:01 PM,C,18.584
12/6/13 5:18:01 PM,C,9.077
12/6/13 9:18:01 PM,C,2.568
12/7/13 1:18:01 AM,C,0.565
12/7/13 5:18:01 AM,C,-0.437
12/7/13 9:18:01 AM,C,4.07
12/7/13 1:18:01 PM,C,6.574
12/7/13 5:18:01 PM,C,5.072
12/7/13 9:18:01 PM,C,2.568
12/8/13 1:18:01 AM,C,0.064
12/8/13 5:18:01 AM,C,-0.437
12/8/13 9:18:01 AM,C,6.073
12/8/13 1:18:01 PM,C,16.583
12/8/13 5:18:01 PM,C,8.576
12/8/13 9:18:01 PM,C,3.57
12/9/13 1:18:01 AM,C,2.068
12/9/13 5:18:01 AM,C,1.066
12/9/13 9:18:01 AM,C,6.574
12/9/13 1:18:01 PM,C,18.084
12/9/13 5:18:01 PM,C,8.576
12/9/13 9:18:01 PM,C,2.068
12/10/13 1:18:01 AM,C,-0.937
12/10/13 5:18:01 AM,C,-3.442
12/10/13 9:18:01 AM,C,2.068
12/10/13 1:18:01 PM,C,14.582
12/10/13 5:18:01 PM,C,6.073
12/10/13 9:18:01 PM,C,1.066
12/11/13 1:18:01 AM,C,-2.44
12/11/13 5:18:01 AM,C,-3.442
12/11/13 9:18:01 AM,C,3.069
12/11/13 1:18:01 PM,C,17.083
