1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5D0000002990D141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Mar 12 01:29:01 MDT 2014
Mission Sample Count:  1193
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Mar 12 01:29:01 MDT 2014
Total Mission Samples:  1193
Total Device Samples:  8676
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/14 1:29:01 AM,C,17.639
3/12/14 5:29:01 AM,C,16.637
3/12/14 9:29:01 AM,C,13.131
3/12/14 1:29:01 PM,C,34.137
3/12/14 5:29:01 PM,C,25.145
3/12/14 9:29:01 PM,C,7.615
3/13/14 1:29:01 AM,C,2.094
3/13/14 5:29:01 AM,C,0.085
3/13/14 9:29:01 AM,C,12.629
3/13/14 1:29:01 PM,C,41.121
3/13/14 5:29:01 PM,C,28.144
3/13/14 9:29:01 PM,C,8.618
3/14/14 1:29:01 AM,C,7.615
3/14/14 5:29:01 AM,C,6.612
3/14/14 9:29:01 AM,C,18.14
3/14/14 1:29:01 PM,C,42.617
3/14/14 5:29:01 PM,C,25.645
3/14/14 9:29:01 PM,C,15.135
3/15/14 1:29:01 AM,C,9.12
3/15/14 5:29:01 AM,C,6.11
3/15/14 9:29:01 AM,C,17.639
3/15/14 1:29:01 PM,C,27.644
3/15/14 5:29:01 PM,C,16.137
3/15/14 9:29:01 PM,C,9.621
3/16/14 1:29:01 AM,C,7.113
3/16/14 5:29:01 AM,C,0.085
3/16/14 9:29:01 AM,C,13.632
3/16/14 1:29:01 PM,C,41.62
3/16/14 5:29:01 PM,C,31.141
3/16/14 9:29:01 PM,C,4.604
3/17/14 1:29:01 AM,C,1.089
3/17/14 5:29:01 AM,C,-2.428
3/17/14 9:29:01 AM,C,15.135
3/17/14 1:29:01 PM,C,41.121
3/17/14 5:29:01 PM,C,30.142
3/17/14 9:29:01 PM,C,9.12
3/18/14 1:29:01 AM,C,7.113
3/18/14 5:29:01 AM,C,2.596
3/18/14 9:29:01 AM,C,20.642
3/18/14 1:29:01 PM,C,49.589
3/18/14 5:29:01 PM,C,30.142
3/18/14 9:29:01 PM,C,8.618
3/19/14 1:29:01 AM,C,2.094
3/19/14 5:29:01 AM,C,-0.92
3/19/14 9:29:01 AM,C,14.634
3/19/14 1:29:01 PM,C,46.104
3/19/14 5:29:01 PM,C,31.141
3/19/14 9:29:01 PM,C,7.615
3/20/14 1:29:01 AM,C,1.592
3/20/14 5:29:01 AM,C,-1.422
3/20/14 9:29:01 AM,C,16.137
3/20/14 1:29:01 PM,C,45.108
3/20/14 5:29:01 PM,C,28.644
3/20/14 9:29:01 PM,C,12.629
3/21/14 1:29:01 AM,C,9.12
3/21/14 5:29:01 AM,C,7.615
3/21/14 9:29:01 AM,C,18.14
3/21/14 1:29:01 PM,C,47.598
3/21/14 5:29:01 PM,C,30.142
3/21/14 9:29:01 PM,C,10.624
3/22/14 1:29:01 AM,C,7.113
3/22/14 5:29:01 AM,C,5.608
3/22/14 9:29:01 AM,C,17.138
3/22/14 1:29:01 PM,C,46.104
3/22/14 5:29:01 PM,C,33.139
3/22/14 9:29:01 PM,C,9.12
3/23/14 1:29:01 AM,C,3.098
3/23/14 5:29:01 AM,C,-0.418
3/23/14 9:29:01 AM,C,18.14
3/23/14 1:29:01 PM,C,46.602
3/23/14 5:29:01 PM,C,29.143
3/23/14 9:29:01 PM,C,10.123
3/24/14 1:29:01 AM,C,4.102
3/24/14 5:29:01 AM,C,0.085
3/24/14 9:29:01 AM,C,19.141
3/24/14 1:29:01 PM,C,53.072
3/24/14 5:29:01 PM,C,28.644
3/24/14 9:29:01 PM,C,9.621
3/25/14 1:29:01 AM,C,4.102
3/25/14 5:29:01 AM,C,3.098
3/25/14 9:29:01 AM,C,19.641
3/25/14 1:29:01 PM,C,39.127
3/25/14 5:29:01 PM,C,27.644
3/25/14 9:29:01 PM,C,15.636
3/26/14 1:29:01 AM,C,9.621
3/26/14 5:29:01 AM,C,4.102
3/26/14 9:29:01 AM,C,15.636
3/26/14 1:29:01 PM,C,36.134
3/26/14 5:29:01 PM,C,29.643
3/26/14 9:29:01 PM,C,15.135
3/27/14 1:29:01 AM,C,12.629
3/27/14 5:29:01 AM,C,7.113
3/27/14 9:29:01 AM,C,20.142
3/27/14 1:29:01 PM,C,40.623
3/27/14 5:29:01 PM,C,30.142
3/27/14 9:29:01 PM,C,12.629
3/28/14 1:29:01 AM,C,10.123
3/28/14 5:29:01 AM,C,6.11
3/28/14 9:29:01 AM,C,19.641
3/28/14 1:29:01 PM,C,47.1
3/28/14 5:29:01 PM,C,36.633
3/28/14 9:29:01 PM,C,11.126
3/29/14 1:29:01 AM,C,6.11
3/29/14 5:29:01 AM,C,1.089
3/29/14 9:29:01 AM,C,19.141
3/29/14 1:29:01 PM,C,47.598
3/29/14 5:29:01 PM,C,34.137
3/29/14 9:29:01 PM,C,11.126
3/30/14 1:29:01 AM,C,6.612
3/30/14 5:29:01 AM,C,2.596
3/30/14 9:29:01 AM,C,19.641
3/30/14 1:29:01 PM,C,41.121
3/30/14 5:29:01 PM,C,33.638
3/30/14 9:29:01 PM,C,14.133
3/31/14 1:29:01 AM,C,10.123
3/31/14 5:29:01 AM,C,3.6
3/31/14 9:29:01 AM,C,21.643
3/31/14 1:29:01 PM,C,45.606
3/31/14 5:29:01 PM,C,33.638
3/31/14 9:29:01 PM,C,10.123
4/1/14 1:29:01 AM,C,5.608
4/1/14 5:29:01 AM,C,2.094
4/1/14 9:29:01 AM,C,23.144
4/1/14 1:29:01 PM,C,37.63
4/1/14 5:29:01 PM,C,28.144
4/1/14 9:29:01 PM,C,14.634
4/2/14 1:29:01 AM,C,10.123
4/2/14 5:29:01 AM,C,2.596
4/2/14 9:29:01 AM,C,22.644
4/2/14 1:29:01 PM,C,45.606
4/2/14 5:29:01 PM,C,32.14
4/2/14 9:29:01 PM,C,14.133
4/3/14 1:29:01 AM,C,8.117
4/3/14 5:29:01 AM,C,2.596
4/3/14 9:29:01 AM,C,17.639
4/3/14 1:29:01 PM,C,44.112
