1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7600000029B30241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Mar 12 01:35:01 MDT 2014
Mission Sample Count:  1193
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Mar 12 01:35:01 MDT 2014
Total Mission Samples:  1193
Total Device Samples:  8692
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/14 1:35:01 AM,C,18.167
3/12/14 5:35:01 AM,C,17.165
3/12/14 9:35:01 AM,C,13.157
3/12/14 1:35:01 PM,C,31.667
3/12/14 5:35:01 PM,C,24.172
3/12/14 9:35:01 PM,C,8.643
3/13/14 1:35:01 AM,C,3.12
3/13/14 5:35:01 AM,C,0.105
3/13/14 9:35:01 AM,C,10.65
3/13/14 1:35:01 PM,C,37.156
3/13/14 5:35:01 PM,C,27.171
3/13/14 9:35:01 PM,C,9.646
3/14/14 1:35:01 AM,C,8.141
3/14/14 5:35:01 AM,C,7.137
3/14/14 9:35:01 AM,C,17.165
3/14/14 1:35:01 PM,C,38.652
3/14/14 5:35:01 PM,C,25.172
3/14/14 9:35:01 PM,C,16.164
3/15/14 1:35:01 AM,C,10.148
3/15/14 5:35:01 AM,C,6.636
3/15/14 9:35:01 AM,C,16.664
3/15/14 1:35:01 PM,C,27.671
3/15/14 5:35:01 PM,C,16.664
3/15/14 9:35:01 PM,C,10.65
3/16/14 1:35:01 AM,C,8.141
3/16/14 5:35:01 AM,C,1.613
3/16/14 9:35:01 AM,C,12.655
3/16/14 1:35:01 PM,C,34.662
3/16/14 5:35:01 PM,C,27.671
3/16/14 9:35:01 PM,C,5.631
3/17/14 1:35:01 AM,C,2.115
3/17/14 5:35:01 AM,C,-1.403
3/17/14 9:35:01 AM,C,13.658
3/17/14 1:35:01 PM,C,37.156
3/17/14 5:35:01 PM,C,28.171
3/17/14 9:35:01 PM,C,10.65
3/18/14 1:35:01 AM,C,8.643
3/18/14 5:35:01 AM,C,4.125
3/18/14 9:35:01 AM,C,19.168
3/18/14 1:35:01 PM,C,42.638
3/18/14 5:35:01 PM,C,28.171
3/18/14 9:35:01 PM,C,10.148
3/19/14 1:35:01 AM,C,3.12
3/19/14 5:35:01 AM,C,0.105
3/19/14 9:35:01 AM,C,13.658
3/19/14 1:35:01 PM,C,40.645
3/19/14 5:35:01 PM,C,30.169
3/19/14 9:35:01 PM,C,9.145
3/20/14 1:35:01 AM,C,2.618
3/20/14 5:35:01 AM,C,-0.9
3/20/14 9:35:01 AM,C,14.66
3/20/14 1:35:01 PM,C,40.147
3/20/14 5:35:01 PM,C,28.171
3/20/14 9:35:01 PM,C,13.658
3/21/14 1:35:01 AM,C,10.148
3/21/14 5:35:01 AM,C,8.643
3/21/14 9:35:01 AM,C,17.666
3/21/14 1:35:01 PM,C,41.143
3/21/14 5:35:01 PM,C,29.67
3/21/14 9:35:01 PM,C,11.653
3/22/14 1:35:01 AM,C,8.141
3/22/14 5:35:01 AM,C,6.133
3/22/14 9:35:01 AM,C,16.664
3/22/14 1:35:01 PM,C,39.648
3/22/14 5:35:01 PM,C,30.668
3/22/14 9:35:01 PM,C,10.65
3/23/14 1:35:01 AM,C,4.125
3/23/14 5:35:01 AM,C,0.608
3/23/14 9:35:01 AM,C,16.164
3/23/14 1:35:01 PM,C,41.642
3/23/14 5:35:01 PM,C,27.671
3/23/14 9:35:01 PM,C,11.151
3/24/14 1:35:01 AM,C,4.627
3/24/14 5:35:01 AM,C,1.11
3/24/14 9:35:01 AM,C,17.165
3/24/14 1:35:01 PM,C,46.621
3/24/14 5:35:01 PM,C,28.67
3/24/14 9:35:01 PM,C,11.151
3/25/14 1:35:01 AM,C,5.129
3/25/14 5:35:01 AM,C,4.125
3/25/14 9:35:01 AM,C,17.666
3/25/14 1:35:01 PM,C,37.156
3/25/14 5:35:01 PM,C,27.671
3/25/14 9:35:01 PM,C,16.164
3/26/14 1:35:01 AM,C,9.646
3/26/14 5:35:01 AM,C,4.125
3/26/14 9:35:01 AM,C,15.663
3/26/14 1:35:01 PM,C,33.165
3/26/14 5:35:01 PM,C,27.171
3/26/14 9:35:01 PM,C,16.164
3/27/14 1:35:01 AM,C,13.658
3/27/14 5:35:01 AM,C,8.141
3/27/14 9:35:01 AM,C,19.168
3/27/14 1:35:01 PM,C,35.161
3/27/14 5:35:01 PM,C,27.671
3/27/14 9:35:01 PM,C,13.157
3/28/14 1:35:01 AM,C,10.65
3/28/14 5:35:01 AM,C,7.137
3/28/14 9:35:01 AM,C,18.668
3/28/14 1:35:01 PM,C,41.642
3/28/14 5:35:01 PM,C,34.662
3/28/14 9:35:01 PM,C,12.154
3/29/14 1:35:01 AM,C,6.636
3/29/14 5:35:01 AM,C,1.613
3/29/14 9:35:01 AM,C,18.668
3/29/14 1:35:01 PM,C,42.638
3/29/14 5:35:01 PM,C,32.665
3/29/14 9:35:01 PM,C,11.653
3/30/14 1:35:01 AM,C,7.137
3/30/14 5:35:01 AM,C,3.12
3/30/14 9:35:01 AM,C,19.168
3/30/14 1:35:01 PM,C,37.156
3/30/14 5:35:01 PM,C,31.667
3/30/14 9:35:01 PM,C,15.663
3/31/14 1:35:01 AM,C,11.151
3/31/14 5:35:01 AM,C,4.125
3/31/14 9:35:01 AM,C,21.17
3/31/14 1:35:01 PM,C,40.147
3/31/14 5:35:01 PM,C,31.667
3/31/14 9:35:01 PM,C,10.65
4/1/14 1:35:01 AM,C,6.133
4/1/14 5:35:01 AM,C,2.618
4/1/14 9:35:01 AM,C,21.671
4/1/14 1:35:01 PM,C,36.158
4/1/14 5:35:01 PM,C,28.171
4/1/14 9:35:01 PM,C,15.663
4/2/14 1:35:01 AM,C,11.653
4/2/14 5:35:01 AM,C,3.12
4/2/14 9:35:01 AM,C,21.671
4/2/14 1:35:01 PM,C,40.147
4/2/14 5:35:01 PM,C,30.169
