1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 200000002990DD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Mar 12 01:38:01 MDT 2014
Mission Sample Count:  1193
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Mar 12 01:38:01 MDT 2014
Total Mission Samples:  1193
Total Device Samples:  8630
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/14 1:38:01 AM,%RH,20.606
3/12/14 5:38:01 AM,%RH,22.003
3/12/14 9:38:01 AM,%RH,64.051
3/12/14 1:38:01 PM,%RH,59.967
3/12/14 5:38:01 PM,%RH,58.783
3/12/14 9:38:01 PM,%RH,68.047
3/13/14 1:38:01 AM,%RH,72.505
3/13/14 5:38:01 AM,%RH,77.914
3/13/14 9:38:01 AM,%RH,73.054
3/13/14 1:38:01 PM,%RH,56.994
3/13/14 5:38:01 PM,%RH,54.584
3/13/14 9:38:01 PM,%RH,65.202
3/14/14 1:38:01 AM,%RH,68.047
3/14/14 5:38:01 AM,%RH,70.847
3/14/14 9:38:01 AM,%RH,65.775
3/14/14 1:38:01 PM,%RH,53.977
3/14/14 5:38:01 PM,%RH,53.368
3/14/14 9:38:01 PM,%RH,58.783
3/15/14 1:38:01 AM,%RH,64.628
3/15/14 5:38:01 AM,%RH,71.402
3/15/14 9:38:01 AM,%RH,68.047
3/15/14 1:38:01 PM,%RH,60.556
3/15/14 5:38:01 PM,%RH,68.047
3/15/14 9:38:01 PM,%RH,69.733
3/16/14 1:38:01 AM,%RH,70.847
3/16/14 5:38:01 AM,%RH,76.847
3/16/14 9:38:01 AM,%RH,72.505
3/16/14 1:38:01 PM,%RH,56.994
3/16/14 5:38:01 PM,%RH,52.145
3/16/14 9:38:01 PM,%RH,61.728
3/17/14 1:38:01 AM,%RH,65.202
3/17/14 5:38:01 AM,%RH,68.047
3/17/14 9:38:01 AM,%RH,62.312
3/17/14 1:38:01 PM,%RH,49.054
3/17/14 5:38:01 PM,%RH,44.016
3/17/14 9:38:01 PM,%RH,51.53
3/18/14 1:38:01 AM,%RH,53.977
3/18/14 5:38:01 AM,%RH,58.189
3/18/14 9:38:01 AM,%RH,53.977
3/18/14 1:38:01 PM,%RH,41.453
3/18/14 5:38:01 PM,%RH,39.512
3/18/14 9:38:01 PM,%RH,46.55
3/19/14 1:38:01 AM,%RH,52.145
3/19/14 5:38:01 AM,%RH,55.189
3/19/14 9:38:01 AM,%RH,50.914
3/19/14 1:38:01 PM,%RH,40.16
3/19/14 5:38:01 PM,%RH,38.208
3/19/14 9:38:01 PM,%RH,46.55
3/20/14 1:38:01 AM,%RH,51.53
3/20/14 5:38:01 AM,%RH,54.584
3/20/14 9:38:01 AM,%RH,51.53
3/20/14 1:38:01 PM,%RH,39.512
3/20/14 5:38:01 PM,%RH,37.554
3/20/14 9:38:01 PM,%RH,42.738
3/21/14 1:38:01 AM,%RH,45.919
3/21/14 5:38:01 AM,%RH,47.178
3/21/14 9:38:01 AM,%RH,45.919
3/21/14 1:38:01 PM,%RH,35.58
3/21/14 5:38:01 PM,%RH,34.255
3/21/14 9:38:01 PM,%RH,40.16
3/22/14 1:38:01 AM,%RH,43.378
3/22/14 5:38:01 AM,%RH,46.55
3/22/14 9:38:01 AM,%RH,45.919
3/22/14 1:38:01 PM,%RH,36.24
3/22/14 5:38:01 PM,%RH,33.59
3/22/14 9:38:01 PM,%RH,40.16
3/23/14 1:38:01 AM,%RH,44.016
3/23/14 5:38:01 AM,%RH,47.178
3/23/14 9:38:01 AM,%RH,44.016
3/23/14 1:38:01 PM,%RH,36.24
3/23/14 5:38:01 PM,%RH,36.24
3/23/14 9:38:01 PM,%RH,41.453
3/24/14 1:38:01 AM,%RH,45.286
3/24/14 5:38:01 AM,%RH,49.676
3/24/14 9:38:01 AM,%RH,46.55
3/24/14 1:38:01 PM,%RH,34.918
3/24/14 5:38:01 PM,%RH,34.255
3/24/14 9:38:01 PM,%RH,38.861
3/25/14 1:38:01 AM,%RH,42.738
3/25/14 5:38:01 AM,%RH,44.652
3/25/14 9:38:01 AM,%RH,42.738
3/25/14 1:38:01 PM,%RH,34.918
3/25/14 5:38:01 PM,%RH,34.918
3/25/14 9:38:01 PM,%RH,39.512
3/26/14 1:38:01 AM,%RH,86.191
3/26/14 5:38:01 AM,%RH,103.552
3/26/14 9:38:01 AM,%RH,101.795
3/26/14 1:38:01 PM,%RH,95.884
3/26/14 5:38:01 PM,%RH,96.813
3/26/14 9:38:01 PM,%RH,100.009
3/27/14 1:38:01 AM,%RH,100.905
3/27/14 5:38:01 AM,%RH,103.552
3/27/14 9:38:01 AM,%RH,99.105
3/27/14 1:38:01 PM,%RH,87.193
3/27/14 5:38:01 PM,%RH,81.073
3/27/14 9:38:01 PM,%RH,85.687
3/28/14 1:38:01 AM,%RH,86.693
3/28/14 5:38:01 AM,%RH,88.682
3/28/14 9:38:01 AM,%RH,83.142
3/28/14 1:38:01 PM,%RH,63.473
3/28/14 5:38:01 PM,%RH,57.593
3/28/14 9:38:01 PM,%RH,66.346
3/29/14 1:38:01 AM,%RH,69.733
3/29/14 5:38:01 AM,%RH,73.602
3/29/14 9:38:01 AM,%RH,66.346
3/29/14 1:38:01 PM,%RH,47.806
3/29/14 5:38:01 PM,%RH,45.919
3/29/14 9:38:01 PM,%RH,53.368
3/30/14 1:38:01 AM,%RH,56.994
3/30/14 5:38:01 AM,%RH,61.728
3/30/14 9:38:01 AM,%RH,55.189
3/30/14 1:38:01 PM,%RH,43.378
3/30/14 5:38:01 PM,%RH,38.861
3/30/14 9:38:01 PM,%RH,43.378
3/31/14 1:38:01 AM,%RH,47.178
3/31/14 5:38:01 AM,%RH,51.53
3/31/14 9:38:01 AM,%RH,47.178
3/31/14 1:38:01 PM,%RH,35.58
3/31/14 5:38:01 PM,%RH,34.918
3/31/14 9:38:01 PM,%RH,41.453
4/1/14 1:38:01 AM,%RH,43.378
4/1/14 5:38:01 AM,%RH,47.178
4/1/14 9:38:01 AM,%RH,41.453
4/1/14 1:38:01 PM,%RH,34.918
4/1/14 5:38:01 PM,%RH,33.59
4/1/14 9:38:01 PM,%RH,36.24
4/2/14 1:38:01 AM,%RH,37.554
4/2/14 5:38:01 AM,%RH,41.453
4/2/14 9:38:01 AM,%RH,37.554
4/2/14 1:38:01 PM,%RH,30.236
4/2/14 5:38:01 PM,%RH,30.911
4/2/14 9:38:01 PM,%RH,32.923
4/3/14 1:38:01 AM,%RH,36.24
4/3/14 5:38:01 AM,%RH,40.807
4/3/14 9:38:01 AM,%RH,40.807
4/3/14 1:38:01 PM,%RH,32.254
4/3/14 5:38:01 PM,%RH,31.583
4/3/14 9:38:01 PM,%RH,35.58
4/4/14 1:38:01 AM,%RH,38.861
4/4/14 5:38:01 AM,%RH,40.807
4/4/14 9:38:01 AM,%RH,37.554
4/4/14 1:38:01 PM,%RH,31.583
4/4/14 5:38:01 PM,%RH,31.583
4/4/14 9:38:01 PM,%RH,33.59
4/5/14 1:38:01 AM,%RH,36.898
4/5/14 5:38:01 AM,%RH,40.807
4/5/14 9:38:01 AM,%RH,38.861
4/5/14 1:38:01 PM,%RH,32.254
4/5/14 5:38:01 PM,%RH,31.583
4/5/14 9:38:01 PM,%RH,34.918
4/6/14 1:38:01 AM,%RH,36.898
4/6/14 5:38:01 AM,%RH,40.16
4/6/14 9:38:01 AM,%RH,38.861
4/6/14 1:38:01 PM,%RH,32.254
4/6/14 5:38:01 PM,%RH,30.911
4/6/14 9:38:01 PM,%RH,33.59
4/7/14 1:38:01 AM,%RH,38.208
4/7/14 5:38:01 AM,%RH,41.453
4/7/14 9:38:01 AM,%RH,38.861
4/7/14 1:38:01 PM,%RH,31.583
4/7/14 5:38:01 PM,%RH,30.236
4/7/14 9:38:01 PM,%RH,33.59
4/8/14 1:38:01 AM,%RH,36.24
4/8/14 5:38:01 AM,%RH,37.554
4/8/14 9:38:01 AM,%RH,34.918
4/8/14 1:38:01 PM,%RH,26.838
4/8/14 5:38:01 PM,%RH,26.153
4/8/14 9:38:01 PM,%RH,30.236
4/9/14 1:38:01 AM,%RH,32.923
4/9/14 5:38:01 AM,%RH,36.24
4/9/14 9:38:01 AM,%RH,32.254
4/9/14 1:38:01 PM,%RH,24.777
4/9/14 5:38:01 PM,%RH,24.086
4/9/14 9:38:01 PM,%RH,28.203
4/10/14 1:38:01 AM,%RH,30.236
4/10/14 5:38:01 AM,%RH,32.923
4/10/14 9:38:01 AM,%RH,30.911
4/10/14 1:38:01 PM,%RH,24.777
4/10/14 5:38:01 PM,%RH,23.394
4/10/14 9:38:01 PM,%RH,24.777
4/11/14 1:38:01 AM,%RH,28.203
4/11/14 5:38:01 AM,%RH,30.911
4/11/14 9:38:01 AM,%RH,27.521
4/11/14 1:38:01 PM,%RH,21.305
