1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 200000002990DD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Mar 12 01:38:01 MDT 2014
Mission Sample Count:  1193
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Mar 12 01:38:01 MDT 2014
Total Mission Samples:  1193
Total Device Samples:  8630
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/14 1:38:01 AM,C,17.11
3/12/14 5:38:01 AM,C,16.609
3/12/14 9:38:01 AM,C,11.6
3/12/14 1:38:01 PM,C,22.615
3/12/14 5:38:01 PM,C,20.113
3/12/14 9:38:01 PM,C,9.594
3/13/14 1:38:01 AM,C,5.582
3/13/14 5:38:01 AM,C,2.068
3/13/14 9:38:01 AM,C,9.594
3/13/14 1:38:01 PM,C,25.115
3/13/14 5:38:01 PM,C,22.615
3/13/14 9:38:01 PM,C,10.096
3/14/14 1:38:01 AM,C,8.591
3/14/14 5:38:01 AM,C,8.09
3/14/14 9:38:01 AM,C,15.608
3/14/14 1:38:01 PM,C,27.614
3/14/14 5:38:01 PM,C,21.614
3/14/14 9:38:01 PM,C,15.608
3/15/14 1:38:01 AM,C,11.098
3/15/14 5:38:01 AM,C,7.588
3/15/14 9:38:01 AM,C,14.606
3/15/14 1:38:01 PM,C,22.115
3/15/14 5:38:01 PM,C,15.107
3/15/14 9:38:01 PM,C,11.098
3/16/14 1:38:01 AM,C,8.591
3/16/14 5:38:01 AM,C,3.574
3/16/14 9:38:01 AM,C,11.098
3/16/14 1:38:01 PM,C,24.115
3/16/14 5:38:01 PM,C,22.615
3/16/14 9:38:01 PM,C,7.087
3/17/14 1:38:01 AM,C,4.076
3/17/14 5:38:01 AM,C,1.064
3/17/14 9:38:01 AM,C,10.597
3/17/14 1:38:01 PM,C,26.615
3/17/14 5:38:01 PM,C,24.615
3/17/14 9:38:01 PM,C,12.602
3/18/14 1:38:01 AM,C,10.096
3/18/14 5:38:01 AM,C,6.083
3/18/14 9:38:01 AM,C,15.608
3/18/14 1:38:01 PM,C,30.112
3/18/14 5:38:01 PM,C,24.615
3/18/14 9:38:01 PM,C,11.6
3/19/14 1:38:01 AM,C,5.08
3/19/14 5:38:01 AM,C,2.57
3/19/14 9:38:01 AM,C,10.597
3/19/14 1:38:01 PM,C,27.614
3/19/14 5:38:01 PM,C,24.115
3/19/14 9:38:01 PM,C,10.096
3/20/14 1:38:01 AM,C,4.076
3/20/14 5:38:01 AM,C,1.064
3/20/14 9:38:01 AM,C,10.096
3/20/14 1:38:01 PM,C,28.614
3/20/14 5:38:01 PM,C,23.615
3/20/14 9:38:01 PM,C,14.105
3/21/14 1:38:01 AM,C,10.597
3/21/14 5:38:01 AM,C,9.093
3/21/14 9:38:01 AM,C,15.107
3/21/14 1:38:01 PM,C,30.612
3/21/14 5:38:01 PM,C,25.615
3/21/14 9:38:01 PM,C,13.103
3/22/14 1:38:01 AM,C,9.594
3/22/14 5:38:01 AM,C,7.588
3/22/14 9:38:01 AM,C,13.103
3/22/14 1:38:01 PM,C,29.113
3/22/14 5:38:01 PM,C,26.615
3/22/14 9:38:01 PM,C,12.101
3/23/14 1:38:01 AM,C,6.083
3/23/14 5:38:01 AM,C,2.57
3/23/14 9:38:01 AM,C,12.101
3/23/14 1:38:01 PM,C,29.113
3/23/14 5:38:01 PM,C,22.615
