1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 90000000299D7D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Mar 12 01:19:01 MDT 2014
Mission Sample Count:  1193
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Mar 12 01:19:01 MDT 2014
Total Mission Samples:  1193
Total Device Samples:  8672
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/14 1:19:01 AM,%RH,20.986
3/12/14 5:19:01 AM,%RH,23.036
3/12/14 9:19:01 AM,%RH,50.283
3/12/14 1:19:01 PM,%RH,31.097
3/12/14 5:19:01 PM,%RH,34.391
3/12/14 9:19:01 PM,%RH,49.047
3/13/14 1:19:01 AM,%RH,55.769
3/13/14 5:19:01 AM,%RH,59.95
3/13/14 9:19:01 AM,%RH,54.561
3/13/14 1:19:01 PM,%RH,29.103
3/13/14 5:19:01 PM,%RH,32.42
3/13/14 9:19:01 PM,%RH,45.93
3/14/14 1:19:01 AM,%RH,50.899
3/14/14 5:19:01 AM,%RH,55.166
3/14/14 9:19:01 AM,%RH,52.126
3/14/14 1:19:01 PM,%RH,29.103
3/14/14 5:19:01 PM,%RH,31.097
3/14/14 9:19:01 PM,%RH,39.581
3/15/14 1:19:01 AM,%RH,49.666
3/15/14 5:19:01 AM,%RH,58.168
3/15/14 9:19:01 AM,%RH,59.358
3/15/14 1:19:01 PM,%RH,33.078
3/15/14 5:19:01 PM,%RH,56.972
3/15/14 9:19:01 PM,%RH,52.126
3/16/14 1:19:01 AM,%RH,58.168
3/16/14 5:19:01 AM,%RH,68.087
3/16/14 9:19:01 AM,%RH,66.943
3/16/14 1:19:01 PM,%RH,27.765
3/16/14 5:19:01 PM,%RH,24.395
3/16/14 9:19:01 PM,%RH,36.998
3/17/14 1:19:01 AM,%RH,42.139
3/17/14 5:19:01 AM,%RH,45.93
3/17/14 9:19:01 AM,%RH,42.775
3/17/14 1:19:01 PM,%RH,20.3
3/17/14 5:19:01 PM,%RH,20.986
3/17/14 9:19:01 PM,%RH,29.103
3/18/14 1:19:01 AM,%RH,33.735
3/18/14 5:19:01 AM,%RH,36.349
3/18/14 9:19:01 AM,%RH,35.698
3/18/14 1:19:01 PM,%RH,17.539
3/18/14 5:19:01 PM,%RH,18.923
3/18/14 9:19:01 PM,%RH,25.748
