1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0500000029905741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Mar 12 01:25:01 MDT 2014
Mission Sample Count:  1193
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Mar 12 01:25:01 MDT 2014
Total Mission Samples:  1193
Total Device Samples:  8694
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/14 1:25:01 AM,C,17.604
3/12/14 5:25:01 AM,C,17.604
3/12/14 9:25:01 AM,C,11.089
3/12/14 1:25:01 PM,C,32.104
3/12/14 5:25:01 PM,C,28.108
3/12/14 9:25:01 PM,C,9.584
3/13/14 1:25:01 AM,C,4.565
3/13/14 5:25:01 AM,C,2.555
3/13/14 9:25:01 AM,C,10.086
3/13/14 1:25:01 PM,C,35.098
3/13/14 5:25:01 PM,C,29.607
3/13/14 9:25:01 PM,C,12.092
3/14/14 1:25:01 AM,C,10.086
3/14/14 5:25:01 AM,C,8.079
3/14/14 9:25:01 AM,C,14.097
3/14/14 1:25:01 PM,C,36.595
3/14/14 5:25:01 PM,C,28.108
3/14/14 9:25:01 PM,C,16.602
3/15/14 1:25:01 AM,C,12.092
3/15/14 5:25:01 AM,C,8.079
3/15/14 9:25:01 AM,C,13.596
3/15/14 1:25:01 PM,C,34.1
3/15/14 5:25:01 PM,C,18.104
3/15/14 9:25:01 PM,C,12.092
3/16/14 1:25:01 AM,C,8.581
3/16/14 5:25:01 AM,C,4.062
3/16/14 9:25:01 AM,C,10.086
3/16/14 1:25:01 PM,C,34.599
3/16/14 5:25:01 PM,C,31.105
3/16/14 9:25:01 PM,C,9.082
3/17/14 1:25:01 AM,C,4.062
3/17/14 5:25:01 AM,C,1.048
3/17/14 9:25:01 AM,C,10.086
3/17/14 1:25:01 PM,C,36.096
3/17/14 5:25:01 PM,C,30.606
3/17/14 9:25:01 PM,C,14.598
3/18/14 1:25:01 AM,C,10.587
3/18/14 5:25:01 AM,C,8.581
3/18/14 9:25:01 AM,C,17.103
3/18/14 1:25:01 PM,C,40.084
3/18/14 5:25:01 PM,C,31.105
3/18/14 9:25:01 PM,C,13.094
3/19/14 1:25:01 AM,C,6.573
3/19/14 5:25:01 AM,C,2.555
3/19/14 9:25:01 AM,C,12.092
3/19/14 1:25:01 PM,C,37.592
3/19/14 5:25:01 PM,C,32.104
3/19/14 9:25:01 PM,C,12.092
3/20/14 1:25:01 AM,C,5.569
3/20/14 5:25:01 AM,C,2.555
3/20/14 9:25:01 AM,C,12.092
3/20/14 1:25:01 PM,C,38.589
3/20/14 5:25:01 PM,C,29.607
3/20/14 9:25:01 PM,C,15.099
3/21/14 1:25:01 AM,C,11.59
3/21/14 5:25:01 AM,C,9.584
3/21/14 9:25:01 AM,C,14.097
3/21/14 1:25:01 PM,C,42.077
3/21/14 5:25:01 PM,C,31.605
3/21/14 9:25:01 PM,C,13.596
3/22/14 1:25:01 AM,C,10.086
3/22/14 5:25:01 AM,C,8.079
3/22/14 9:25:01 AM,C,14.598
3/22/14 1:25:01 PM,C,39.088
3/22/14 5:25:01 PM,C,33.601
3/22/14 9:25:01 PM,C,13.094
3/23/14 1:25:01 AM,C,7.075
3/23/14 5:25:01 AM,C,3.56
3/23/14 9:25:01 AM,C,13.596
3/23/14 1:25:01 PM,C,40.583
3/23/14 5:25:01 PM,C,32.104
3/23/14 9:25:01 PM,C,13.596
3/24/14 1:25:01 AM,C,9.584
3/24/14 5:25:01 AM,C,4.565
3/24/14 9:25:01 AM,C,14.598
3/24/14 1:25:01 PM,C,43.571
3/24/14 5:25:01 PM,C,34.1
3/24/14 9:25:01 PM,C,14.598
3/25/14 1:25:01 AM,C,8.581
3/25/14 5:25:01 AM,C,5.569
3/25/14 9:25:01 AM,C,15.099
3/25/14 1:25:01 PM,C,38.09
3/25/14 5:25:01 PM,C,33.601
3/25/14 9:25:01 PM,C,15.099
3/26/14 1:25:01 AM,C,10.587
3/26/14 5:25:01 AM,C,6.573
3/26/14 9:25:01 AM,C,13.596
3/26/14 1:25:01 PM,C,32.104
3/26/14 5:25:01 PM,C,30.107
3/26/14 9:25:01 PM,C,16.602
3/27/14 1:25:01 AM,C,13.094
3/27/14 5:25:01 AM,C,9.584
3/27/14 9:25:01 AM,C,16.101
3/27/14 1:25:01 PM,C,35.597
3/27/14 5:25:01 PM,C,31.105
3/27/14 9:25:01 PM,C,14.097
3/28/14 1:25:01 AM,C,10.086
3/28/14 5:25:01 AM,C,8.079
3/28/14 9:25:01 AM,C,15.6
3/28/14 1:25:01 PM,C,40.084
3/28/14 5:25:01 PM,C,36.595
3/28/14 9:25:01 PM,C,15.6
3/29/14 1:25:01 AM,C,9.082
3/29/14 5:25:01 AM,C,5.067
3/29/14 9:25:01 AM,C,15.099
3/29/14 1:25:01 PM,C,41.081
3/29/14 5:25:01 PM,C,35.597
3/29/14 9:25:01 PM,C,15.099
3/30/14 1:25:01 AM,C,9.082
3/30/14 5:25:01 AM,C,6.071
3/30/14 9:25:01 AM,C,16.602
3/30/14 1:25:01 PM,C,37.093
3/30/14 5:25:01 PM,C,34.1
3/30/14 9:25:01 PM,C,17.604
3/31/14 1:25:01 AM,C,14.097
3/31/14 5:25:01 AM,C,8.079
3/31/14 9:25:01 AM,C,18.605
3/31/14 1:25:01 PM,C,43.073
3/31/14 5:25:01 PM,C,33.601
3/31/14 9:25:01 PM,C,14.097
4/1/14 1:25:01 AM,C,8.581
4/1/14 5:25:01 AM,C,6.071
4/1/14 9:25:01 AM,C,18.605
4/1/14 1:25:01 PM,C,33.102
4/1/14 5:25:01 PM,C,28.108
4/1/14 9:25:01 PM,C,14.097
4/2/14 1:25:01 AM,C,8.581
4/2/14 5:25:01 AM,C,8.581
4/2/14 9:25:01 AM,C,19.106
4/2/14 1:25:01 PM,C,41.081
4/2/14 5:25:01 PM,C,31.605
4/2/14 9:25:01 PM,C,16.101
4/3/14 1:25:01 AM,C,10.086
4/3/14 5:25:01 AM,C,6.573
4/3/14 9:25:01 AM,C,16.101
4/3/14 1:25:01 PM,C,41.579
4/3/14 5:25:01 PM,C,34.1
4/3/14 9:25:01 PM,C,11.59
4/4/14 1:25:01 AM,C,5.569
4/4/14 5:25:01 AM,C,2.555
4/4/14 9:25:01 AM,C,20.107
4/4/14 1:25:01 PM,C,42.077
4/4/14 5:25:01 PM,C,30.606
4/4/14 9:25:01 PM,C,15.099
4/5/14 1:25:01 AM,C,10.587
4/5/14 5:25:01 AM,C,5.569
4/5/14 9:25:01 AM,C,23.609
4/5/14 1:25:01 PM,C,42.575
4/5/14 5:25:01 PM,C,30.606
4/5/14 9:25:01 PM,C,12.593
4/6/14 1:25:01 AM,C,9.584
4/6/14 5:25:01 AM,C,5.067
4/6/14 9:25:01 AM,C,22.109
4/6/14 1:25:01 PM,C,48.548
4/6/14 5:25:01 PM,C,33.102
4/6/14 9:25:01 PM,C,14.097
4/7/14 1:25:01 AM,C,7.577
4/7/14 5:25:01 AM,C,2.555
4/7/14 9:25:01 AM,C,21.608
4/7/14 1:25:01 PM,C,40.583
4/7/14 5:25:01 PM,C,37.093
4/7/14 9:25:01 PM,C,12.092
4/8/14 1:25:01 AM,C,6.573
4/8/14 5:25:01 AM,C,4.062
4/8/14 9:25:01 AM,C,24.609
4/8/14 1:25:01 PM,C,50.04
4/8/14 5:25:01 PM,C,41.081
4/8/14 9:25:01 PM,C,15.099
4/9/14 1:25:01 AM,C,10.086
4/9/14 5:25:01 AM,C,5.569
4/9/14 9:25:01 AM,C,26.109
4/9/14 1:25:01 PM,C,53.52
4/9/14 5:25:01 PM,C,39.586
4/9/14 9:25:01 PM,C,16.602
4/10/14 1:25:01 AM,C,9.584
4/10/14 5:25:01 AM,C,6.573
4/10/14 9:25:01 AM,C,18.605
4/10/14 1:25:01 PM,C,52.526
4/10/14 5:25:01 PM,C,38.589
4/10/14 9:25:01 PM,C,18.104
4/11/14 1:25:01 AM,C,10.587
4/11/14 5:25:01 AM,C,6.071
4/11/14 9:25:01 AM,C,26.109
4/11/14 1:25:01 PM,C,54.017
4/11/14 5:25:01 PM,C,37.093
4/11/14 9:25:01 PM,C,19.106
