1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7D00000029B7BC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Mar 12 01:27:01 MDT 2014
Mission Sample Count:  1193
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Mar 12 01:27:01 MDT 2014
Total Mission Samples:  1193
Total Device Samples:  8669
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/12/14 1:27:01 AM,C,17.575
3/12/14 5:27:01 AM,C,17.575
3/12/14 9:27:01 AM,C,12.569
3/12/14 1:27:01 PM,C,32.075
3/12/14 5:27:01 PM,C,24.578
3/12/14 9:27:01 PM,C,9.564
3/13/14 1:27:01 AM,C,4.553
3/13/14 5:27:01 AM,C,2.548
3/13/14 9:27:01 AM,C,11.567
3/13/14 1:27:01 PM,C,35.571
3/13/14 5:27:01 PM,C,26.078
3/13/14 9:27:01 PM,C,12.068
3/14/14 1:27:01 AM,C,10.065
3/14/14 5:27:01 AM,C,8.061
3/14/14 9:27:01 AM,C,16.073
3/14/14 1:27:01 PM,C,37.568
3/14/14 5:27:01 PM,C,26.578
3/14/14 9:27:01 PM,C,16.574
3/15/14 1:27:01 AM,C,12.068
3/15/14 5:27:01 AM,C,8.061
3/15/14 9:27:01 AM,C,16.073
3/15/14 1:27:01 PM,C,33.074
3/15/14 5:27:01 PM,C,18.075
3/15/14 9:27:01 PM,C,12.068
3/16/14 1:27:01 AM,C,9.063
3/16/14 5:27:01 AM,C,4.553
3/16/14 9:27:01 AM,C,12.569
3/16/14 1:27:01 PM,C,35.071
3/16/14 5:27:01 PM,C,27.078
3/16/14 9:27:01 PM,C,9.063
3/17/14 1:27:01 AM,C,4.553
3/17/14 5:27:01 AM,C,1.545
3/17/14 9:27:01 AM,C,13.07
3/17/14 1:27:01 PM,C,35.071
3/17/14 5:27:01 PM,C,27.578
3/17/14 9:27:01 PM,C,14.572
3/18/14 1:27:01 AM,C,11.067
3/18/14 5:27:01 AM,C,9.063
3/18/14 9:27:01 AM,C,18.576
3/18/14 1:27:01 PM,C,40.063
3/18/14 5:27:01 PM,C,28.577
3/18/14 9:27:01 PM,C,13.57
3/19/14 1:27:01 AM,C,7.059
3/19/14 5:27:01 AM,C,3.049
3/19/14 9:27:01 AM,C,13.57
3/19/14 1:27:01 PM,C,38.067
3/19/14 5:27:01 PM,C,28.077
3/19/14 9:27:01 PM,C,12.068
3/20/14 1:27:01 AM,C,6.056
3/20/14 5:27:01 AM,C,3.049
3/20/14 9:27:01 AM,C,14.071
3/20/14 1:27:01 PM,C,37.568
3/20/14 5:27:01 PM,C,27.578
3/20/14 9:27:01 PM,C,15.072
3/21/14 1:27:01 AM,C,11.567
3/21/14 5:27:01 AM,C,9.564
3/21/14 9:27:01 AM,C,15.072
3/21/14 1:27:01 PM,C,42.059
3/21/14 5:27:01 PM,C,29.077
3/21/14 9:27:01 PM,C,13.57
3/22/14 1:27:01 AM,C,10.566
