1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4D00000029B36941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Apr 24 00:00:01 MDT 2013
Mission Sample Count:  1097
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Apr 24 00:00:01 MDT 2013
Total Mission Samples:  1097
Total Device Samples:  7656
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/24/13 12:00:01 AM,%RH,16.765
4/24/13 4:00:01 AM,%RH,17.472
4/24/13 8:00:01 AM,%RH,17.472
4/24/13 12:00:01 PM,%RH,16.765
4/24/13 4:00:01 PM,%RH,37.274
4/24/13 8:00:01 PM,%RH,55.679
4/25/13 12:00:01 AM,%RH,65.235
4/25/13 4:00:01 AM,%RH,69.283
4/25/13 8:00:01 AM,%RH,64.651
4/25/13 12:00:01 PM,%RH,44.419
4/25/13 4:00:01 PM,%RH,40.546
4/25/13 8:00:01 PM,%RH,51.985
4/26/13 12:00:01 AM,%RH,62.295
4/26/13 4:00:01 AM,%RH,67.558
4/26/13 8:00:01 AM,%RH,62.886
4/26/13 12:00:01 PM,%RH,41.196
4/26/13 4:00:01 PM,%RH,32.622
4/26/13 8:00:01 PM,%RH,48.862
4/27/13 12:00:01 AM,%RH,58.711
4/27/13 4:00:01 AM,%RH,64.651
4/27/13 8:00:01 AM,%RH,59.912
4/27/13 12:00:01 PM,%RH,38.588
4/27/13 4:00:01 PM,%RH,29.249
4/27/13 8:00:01 PM,%RH,45.697
4/28/13 12:00:01 AM,%RH,55.067
4/28/13 4:00:01 AM,%RH,61.701
4/28/13 8:00:01 AM,%RH,59.312
4/28/13 12:00:01 PM,%RH,38.588
4/28/13 4:00:01 PM,%RH,30.603
4/28/13 8:00:01 PM,%RH,46.333
4/29/13 12:00:01 AM,%RH,55.679
4/29/13 4:00:01 AM,%RH,62.886
4/29/13 8:00:01 AM,%RH,59.312
4/29/13 12:00:01 PM,%RH,37.931
4/29/13 4:00:01 PM,%RH,31.278
4/29/13 8:00:01 PM,%RH,41.844
4/30/13 12:00:01 AM,%RH,49.49
4/30/13 4:00:01 AM,%RH,55.679
4/30/13 8:00:01 AM,%RH,55.067
4/30/13 12:00:01 PM,%RH,37.931
4/30/13 4:00:01 PM,%RH,31.278
