1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 900000002990C841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Apr 24 07:15:01 MDT 2013
Mission Sample Count:  1095
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Apr 24 07:15:01 MDT 2013
Total Mission Samples:  1095
Total Device Samples:  7678
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/24/13 7:15:01 AM,C,23.171
4/24/13 11:15:01 AM,C,11.142
4/24/13 3:15:01 PM,C,36.152
4/24/13 7:15:01 PM,C,7.122
4/24/13 11:15:01 PM,C,-0.43
4/25/13 3:15:01 AM,C,-2.447
4/25/13 7:15:01 AM,C,5.613
4/25/13 11:15:01 AM,C,35.155
4/25/13 3:15:01 PM,C,29.169
4/25/13 7:15:01 PM,C,11.644
4/25/13 11:15:01 PM,C,4.103
4/26/13 3:15:01 AM,C,1.586
4/26/13 7:15:01 AM,C,9.132
4/26/13 11:15:01 AM,C,37.148
4/26/13 3:15:01 PM,C,41.13
4/26/13 7:15:01 PM,C,14.153
4/26/13 11:15:01 PM,C,6.116
4/27/13 3:15:01 AM,C,2.593
4/27/13 7:15:01 AM,C,12.146
4/27/13 11:15:01 AM,C,40.633
4/27/13 3:15:01 PM,C,44.113
4/27/13 7:15:01 PM,C,18.165
4/27/13 11:15:01 PM,C,9.635
4/28/13 3:15:01 AM,C,6.619
4/28/13 7:15:01 AM,C,13.652
4/28/13 11:15:01 AM,C,35.155
4/28/13 3:15:01 PM,C,41.13
4/28/13 7:15:01 PM,C,16.16
4/28/13 11:15:01 PM,C,8.127
4/29/13 3:15:01 AM,C,5.11
4/29/13 7:15:01 AM,C,13.15
4/29/13 11:15:01 AM,C,39.14
4/29/13 3:15:01 PM,C,37.148
4/29/13 7:15:01 PM,C,19.167
4/29/13 11:15:01 PM,C,13.15
4/30/13 3:15:01 AM,C,9.635
4/30/13 7:15:01 AM,C,13.15
4/30/13 11:15:01 AM,C,37.148
4/30/13 3:15:01 PM,C,36.65
4/30/13 7:15:01 PM,C,10.639
4/30/13 11:15:01 PM,C,4.103
5/1/13 3:15:01 AM,C,1.586
5/1/13 7:15:01 AM,C,8.63
5/1/13 11:15:01 AM,C,30.667
5/1/13 3:15:01 PM,C,29.169
5/1/13 7:15:01 PM,C,8.127
5/1/13 11:15:01 PM,C,1.082
5/2/13 3:15:01 AM,C,-1.438
5/2/13 7:15:01 AM,C,8.63
5/2/13 11:15:01 AM,C,37.148
5/2/13 3:15:01 PM,C,35.654
5/2/13 7:15:01 PM,C,9.635
5/2/13 11:15:01 PM,C,1.586
5/3/13 3:15:01 AM,C,-1.438
5/3/13 7:15:01 AM,C,9.132
5/3/13 11:15:01 AM,C,39.14
5/3/13 3:15:01 PM,C,38.144
5/3/13 7:15:01 PM,C,15.157
5/3/13 11:15:01 PM,C,5.11
5/4/13 3:15:01 AM,C,2.593
5/4/13 7:15:01 AM,C,13.15
5/4/13 11:15:01 AM,C,40.135
5/4/13 3:15:01 PM,C,37.148
5/4/13 7:15:01 PM,C,16.16
5/4/13 11:15:01 PM,C,12.146
5/5/13 3:15:01 AM,C,11.142
5/5/13 7:15:01 AM,C,13.15
5/5/13 11:15:01 AM,C,38.144
5/5/13 3:15:01 PM,C,39.638
5/5/13 7:15:01 PM,C,16.661
5/5/13 11:15:01 PM,C,11.644
5/6/13 3:15:01 AM,C,11.644
5/6/13 7:15:01 AM,C,16.661
5/6/13 11:15:01 AM,C,31.665
5/6/13 3:15:01 PM,C,32.663
5/6/13 7:15:01 PM,C,18.165
5/6/13 11:15:01 PM,C,12.648
5/7/13 3:15:01 AM,C,10.137
5/7/13 7:15:01 AM,C,11.644
5/7/13 11:15:01 AM,C,23.171
5/7/13 3:15:01 PM,C,34.158
5/7/13 7:15:01 PM,C,15.658
