1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3C0000002998E741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Apr 24 00:00:01 MDT 2013
Mission Sample Count:  1097
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Apr 24 00:00:01 MDT 2013
Total Mission Samples:  1097
Total Device Samples:  7715
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/24/13 12:00:01 AM,%RH,17.68
4/24/13 4:00:01 AM,%RH,16.984
4/24/13 8:00:01 AM,%RH,17.68
4/24/13 12:00:01 PM,%RH,51.775
4/24/13 4:00:01 PM,%RH,67.857
4/24/13 8:00:01 PM,%RH,88.614
4/25/13 12:00:01 AM,%RH,94.713
4/25/13 4:00:01 AM,%RH,97.189
4/25/13 8:00:01 AM,%RH,80.683
4/25/13 12:00:01 PM,%RH,62.62
4/25/13 4:00:01 PM,%RH,64.963
4/25/13 8:00:01 PM,%RH,79.599
4/26/13 12:00:01 AM,%RH,89.131
4/26/13 4:00:01 AM,%RH,93.208
4/26/13 8:00:01 AM,%RH,75.205
4/26/13 12:00:01 PM,%RH,55.445
4/26/13 4:00:01 PM,%RH,59.06
4/26/13 8:00:01 PM,%RH,74.649
4/27/13 12:00:01 AM,%RH,84.955
4/27/13 4:00:01 AM,%RH,89.131
4/27/13 8:00:01 AM,%RH,71.281
4/27/13 12:00:01 PM,%RH,52.391
4/27/13 4:00:01 PM,%RH,56.051
4/27/13 8:00:01 PM,%RH,72.972
4/28/13 12:00:01 AM,%RH,79.056
4/28/13 4:00:01 AM,%RH,87.055
4/28/13 8:00:01 AM,%RH,70.146
4/28/13 12:00:01 PM,%RH,54.228
4/28/13 4:00:01 PM,%RH,56.656
4/28/13 8:00:01 PM,%RH,74.092
