1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E90000002990E241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Apr 24 00:01:01 MDT 2013
Mission Sample Count:  1097
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Apr 24 00:01:01 MDT 2013
Total Mission Samples:  1097
Total Device Samples:  7665
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/24/13 12:01:01 AM,C,23.142
4/24/13 4:01:01 AM,C,23.142
4/24/13 8:01:01 AM,C,14.132
4/24/13 12:01:01 PM,C,28.641
4/24/13 4:01:01 PM,C,29.141
4/24/13 8:01:01 PM,C,6.613
4/25/13 12:01:01 AM,C,1.092
4/25/13 4:01:01 AM,C,-0.415
4/25/13 8:01:01 AM,C,9.622
4/25/13 12:01:01 PM,C,28.641
4/25/13 4:01:01 PM,C,25.643
4/25/13 8:01:01 PM,C,10.123
4/26/13 12:01:01 AM,C,4.104
4/26/13 4:01:01 AM,C,2.096
4/26/13 8:01:01 AM,C,11.126
4/26/13 12:01:01 PM,C,34.634
4/26/13 4:01:01 PM,C,33.136
4/26/13 8:01:01 PM,C,13.631
4/27/13 12:01:01 AM,C,6.613
4/27/13 4:01:01 AM,C,4.104
4/27/13 8:01:01 AM,C,13.631
4/27/13 12:01:01 PM,C,37.128
4/27/13 4:01:01 PM,C,35.632
4/27/13 8:01:01 PM,C,16.136
4/28/13 12:01:01 AM,C,10.624
4/28/13 4:01:01 AM,C,7.114
4/28/13 8:01:01 AM,C,15.134
4/28/13 12:01:01 PM,C,36.63
4/28/13 4:01:01 PM,C,35.133
4/28/13 8:01:01 PM,C,14.132
4/29/13 12:01:01 AM,C,9.622
4/29/13 4:01:01 AM,C,6.111
4/29/13 8:01:01 AM,C,14.132
4/29/13 12:01:01 PM,C,35.133
4/29/13 4:01:01 PM,C,32.637
4/29/13 8:01:01 PM,C,19.14
4/30/13 12:01:01 AM,C,13.13
4/30/13 4:01:01 AM,C,10.123
