1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1100000029A9BA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Apr 24 07:00:01 MDT 2013
Mission Sample Count:  1095
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Apr 24 07:00:01 MDT 2013
Total Mission Samples:  1095
Total Device Samples:  15862
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/24/13 7:00:01 AM,%RH,23.036
4/24/13 11:00:01 AM,%RH,27.765
4/24/13 3:00:01 PM,%RH,70.356
4/24/13 7:00:01 PM,%RH,97.138
4/24/13 11:00:01 PM,%RH,106.094
4/25/13 3:00:01 AM,%RH,107.457
4/25/13 7:00:01 AM,%RH,108.359
4/25/13 11:00:01 AM,%RH,69.225
4/25/13 3:00:01 PM,%RH,76.47
4/25/13 7:00:01 PM,%RH,89.675
4/25/13 11:00:01 PM,%RH,99.069
4/26/13 3:00:01 AM,%RH,103.326
4/26/13 7:00:01 AM,%RH,102.859
4/26/13 11:00:01 AM,%RH,65.216
4/26/13 3:00:01 PM,%RH,59.358
4/26/13 7:00:01 PM,%RH,80.8
4/26/13 11:00:01 PM,%RH,92.201
4/27/13 3:00:01 AM,%RH,96.651
4/27/13 7:00:01 AM,%RH,96.163
4/27/13 11:00:01 AM,%RH,58.764
4/27/13 3:00:01 PM,%RH,51.513
4/27/13 7:00:01 PM,%RH,73.714
4/27/13 11:00:01 PM,%RH,84.509
4/28/13 3:00:01 AM,%RH,90.184
4/28/13 7:00:01 AM,%RH,92.702
4/28/13 11:00:01 AM,%RH,61.131
4/28/13 3:00:01 PM,%RH,53.954
4/28/13 7:00:01 PM,%RH,72.042
4/28/13 11:00:01 PM,%RH,84.509
4/29/13 3:00:01 AM,%RH,90.184
4/29/13 7:00:01 AM,%RH,88.654
4/29/13 11:00:01 AM,%RH,56.972
4/29/13 3:00:01 PM,%RH,52.126
4/29/13 7:00:01 PM,%RH,68.087
4/29/13 11:00:01 PM,%RH,74.821
4/30/13 3:00:01 AM,%RH,81.868
4/30/13 7:00:01 AM,%RH,85.032
4/30/13 11:00:01 AM,%RH,53.346
4/30/13 3:00:01 PM,%RH,41.502
4/30/13 7:00:01 PM,%RH,52.126
4/30/13 11:00:01 PM,%RH,69.791
5/1/13 3:00:01 AM,%RH,76.47
5/1/13 7:00:01 AM,%RH,80.8
5/1/13 11:00:01 AM,%RH,47.805
5/1/13 3:00:01 PM,%RH,42.775
5/1/13 7:00:01 PM,%RH,56.371
5/1/13 11:00:01 PM,%RH,75.922
5/2/13 3:00:01 AM,%RH,82.929
5/2/13 7:00:01 AM,%RH,85.554
5/2/13 11:00:01 AM,%RH,48.427
5/2/13 3:00:01 PM,%RH,39.581
5/2/13 7:00:01 PM,%RH,61.719
5/2/13 11:00:01 PM,%RH,75.922
5/3/13 3:00:01 AM,%RH,81.335
5/3/13 7:00:01 AM,%RH,81.868
5/3/13 11:00:01 AM,%RH,45.302
5/3/13 3:00:01 PM,%RH,40.863
5/3/13 7:00:01 PM,%RH,53.954
5/3/13 11:00:01 PM,%RH,69.791
5/4/13 3:00:01 AM,%RH,75.373
5/4/13 7:00:01 AM,%RH,76.47
5/4/13 11:00:01 AM,%RH,43.409
5/4/13 3:00:01 PM,%RH,35.045
5/4/13 7:00:01 PM,%RH,53.346
5/4/13 11:00:01 PM,%RH,62.891
5/5/13 3:00:01 AM,%RH,68.087
5/5/13 7:00:01 AM,%RH,70.92
5/5/13 11:00:01 AM,%RH,42.775
5/5/13 3:00:01 PM,%RH,35.698
5/5/13 7:00:01 PM,%RH,50.283
5/5/13 11:00:01 PM,%RH,61.719
5/6/13 3:00:01 AM,%RH,65.793
5/6/13 7:00:01 AM,%RH,65.793
5/6/13 11:00:01 AM,%RH,51.513
5/6/13 3:00:01 PM,%RH,47.181
5/6/13 7:00:01 PM,%RH,56.972
5/6/13 11:00:01 PM,%RH,67.516
5/7/13 3:00:01 AM,%RH,83.983
5/7/13 7:00:01 AM,%RH,88.654
5/7/13 11:00:01 AM,%RH,75.373
5/7/13 3:00:01 PM,%RH,68.087
5/7/13 7:00:01 PM,%RH,65.216
5/7/13 11:00:01 PM,%RH,74.269
5/8/13 3:00:01 AM,%RH,82.399
5/8/13 7:00:01 AM,%RH,84.509
5/8/13 11:00:01 AM,%RH,49.047
5/8/13 3:00:01 PM,%RH,52.126
5/8/13 7:00:01 PM,%RH,60.542
5/8/13 11:00:01 PM,%RH,73.158
5/9/13 3:00:01 AM,%RH,79.727
5/9/13 7:00:01 AM,%RH,80.8
5/9/13 11:00:01 AM,%RH,45.93
5/9/13 3:00:01 PM,%RH,31.759
5/9/13 7:00:01 PM,%RH,44.041
5/9/13 11:00:01 PM,%RH,57.57
5/10/13 3:00:01 AM,%RH,66.943
5/10/13 7:00:01 AM,%RH,71.482
5/10/13 11:00:01 AM,%RH,38.293
5/10/13 3:00:01 PM,%RH,29.103
5/10/13 7:00:01 PM,%RH,40.863
5/10/13 11:00:01 PM,%RH,53.346
5/11/13 3:00:01 AM,%RH,61.719
5/11/13 7:00:01 AM,%RH,65.216
5/11/13 11:00:01 AM,%RH,35.698
5/11/13 3:00:01 PM,%RH,32.42
5/11/13 7:00:01 PM,%RH,40.223
5/11/13 11:00:01 PM,%RH,49.666
5/12/13 3:00:01 AM,%RH,57.57
5/12/13 7:00:01 AM,%RH,56.371
5/12/13 11:00:01 AM,%RH,32.42
5/12/13 3:00:01 PM,%RH,25.072
5/12/13 7:00:01 PM,%RH,36.349
5/12/13 11:00:01 PM,%RH,45.302
5/13/13 3:00:01 AM,%RH,52.126
5/13/13 7:00:01 AM,%RH,53.954
5/13/13 11:00:01 AM,%RH,28.435
5/13/13 3:00:01 PM,%RH,21.671
5/13/13 7:00:01 PM,%RH,32.42
5/13/13 11:00:01 PM,%RH,42.775
5/14/13 3:00:01 AM,%RH,50.899
5/14/13 7:00:01 AM,%RH,50.283
5/14/13 11:00:01 AM,%RH,28.435
5/14/13 3:00:01 PM,%RH,20.3
5/14/13 7:00:01 PM,%RH,31.759
5/14/13 11:00:01 PM,%RH,40.223
5/15/13 3:00:01 AM,%RH,49.047
5/15/13 7:00:01 AM,%RH,51.513
5/15/13 11:00:01 AM,%RH,26.422
5/15/13 3:00:01 PM,%RH,20.986
5/15/13 7:00:01 PM,%RH,29.769
5/15/13 11:00:01 PM,%RH,41.502
5/16/13 3:00:01 AM,%RH,51.513
5/16/13 7:00:01 AM,%RH,53.954
5/16/13 11:00:01 AM,%RH,30.434
5/16/13 3:00:01 PM,%RH,52.126
5/16/13 7:00:01 PM,%RH,31.759
5/16/13 11:00:01 PM,%RH,41.502
5/17/13 3:00:01 AM,%RH,49.047
5/17/13 7:00:01 AM,%RH,55.166
5/17/13 11:00:01 AM,%RH,66.369
5/17/13 3:00:01 PM,%RH,81.335
5/17/13 7:00:01 PM,%RH,102.39
5/17/13 11:00:01 PM,%RH,105.636
5/18/13 3:00:01 AM,%RH,108.359
5/18/13 7:00:01 AM,%RH,107.909
5/18/13 11:00:01 AM,%RH,95.182
5/18/13 3:00:01 PM,%RH,98.589
5/18/13 7:00:01 PM,%RH,104.255
5/18/13 11:00:01 PM,%RH,106.55
5/19/13 3:00:01 AM,%RH,107.005
5/19/13 7:00:01 AM,%RH,100.502
5/19/13 11:00:01 AM,%RH,95.182
5/19/13 3:00:01 PM,%RH,94.689
5/19/13 7:00:01 PM,%RH,102.859
5/19/13 11:00:01 PM,%RH,105.636
5/20/13 3:00:01 AM,%RH,107.005
5/20/13 7:00:01 AM,%RH,107.909
5/20/13 11:00:01 AM,%RH,92.201
5/20/13 3:00:01 PM,%RH,87.627
5/20/13 7:00:01 PM,%RH,102.39
5/20/13 11:00:01 PM,%RH,105.636
5/21/13 3:00:01 AM,%RH,107.909
5/21/13 7:00:01 AM,%RH,102.859
5/21/13 11:00:01 AM,%RH,80.8
5/21/13 3:00:01 PM,%RH,83.457
5/21/13 7:00:01 PM,%RH,87.627
5/21/13 11:00:01 PM,%RH,91.195
5/22/13 3:00:01 AM,%RH,92.201
5/22/13 7:00:01 AM,%RH,91.699
5/22/13 11:00:01 AM,%RH,75.922
5/22/13 3:00:01 PM,%RH,65.793
5/22/13 7:00:01 PM,%RH,66.369
5/22/13 11:00:01 PM,%RH,75.373
5/23/13 3:00:01 AM,%RH,85.554
5/23/13 7:00:01 AM,%RH,82.929
5/23/13 11:00:01 AM,%RH,60.542
5/23/13 3:00:01 PM,%RH,49.666
5/23/13 7:00:01 PM,%RH,58.764
5/23/13 11:00:01 PM,%RH,70.356
5/24/13 3:00:01 AM,%RH,79.188
5/24/13 7:00:01 AM,%RH,75.922
5/24/13 11:00:01 AM,%RH,51.513
5/24/13 3:00:01 PM,%RH,40.863
5/24/13 7:00:01 PM,%RH,51.513
5/24/13 11:00:01 PM,%RH,62.891
5/25/13 3:00:01 AM,%RH,70.356
5/25/13 7:00:01 AM,%RH,69.225
5/25/13 11:00:01 AM,%RH,48.427
5/25/13 3:00:01 PM,%RH,36.998
5/25/13 7:00:01 PM,%RH,45.302
5/25/13 11:00:01 PM,%RH,50.283
5/26/13 3:00:01 AM,%RH,56.972
5/26/13 7:00:01 AM,%RH,58.764
5/26/13 11:00:01 AM,%RH,45.302
5/26/13 3:00:01 PM,%RH,33.735
5/26/13 7:00:01 PM,%RH,40.863
5/26/13 11:00:01 PM,%RH,41.502
5/27/13 3:00:01 AM,%RH,53.954
5/27/13 7:00:01 AM,%RH,56.371
5/27/13 11:00:01 AM,%RH,39.581
5/27/13 3:00:01 PM,%RH,29.769
5/27/13 7:00:01 PM,%RH,43.409
5/27/13 11:00:01 PM,%RH,46.557
5/28/13 3:00:01 AM,%RH,53.954
5/28/13 7:00:01 AM,%RH,61.719
5/28/13 11:00:01 AM,%RH,85.554
5/28/13 3:00:01 PM,%RH,80.265
5/28/13 7:00:01 PM,%RH,100.026
5/28/13 11:00:01 PM,%RH,104.255
5/29/13 3:00:01 AM,%RH,105.636
5/29/13 7:00:01 AM,%RH,107.005
5/29/13 11:00:01 AM,%RH,86.594
5/29/13 3:00:01 PM,%RH,94.689
5/29/13 7:00:01 PM,%RH,102.859
5/29/13 11:00:01 PM,%RH,107.005
5/30/13 3:00:01 AM,%RH,107.005
5/30/13 7:00:01 AM,%RH,107.909
5/30/13 11:00:01 AM,%RH,88.141
5/30/13 3:00:01 PM,%RH,69.791
5/30/13 7:00:01 PM,%RH,75.922
5/30/13 11:00:01 PM,%RH,81.868
5/31/13 3:00:01 AM,%RH,86.075
5/31/13 7:00:01 AM,%RH,80.8
5/31/13 11:00:01 AM,%RH,56.371
5/31/13 3:00:01 PM,%RH,44.673
5/31/13 7:00:01 PM,%RH,54.561
5/31/13 11:00:01 PM,%RH,61.131
6/1/13 3:00:01 AM,%RH,66.943
6/1/13 7:00:01 AM,%RH,64.056
6/1/13 11:00:01 AM,%RH,44.041
6/1/13 3:00:01 PM,%RH,33.735
6/1/13 7:00:01 PM,%RH,40.863
6/1/13 11:00:01 PM,%RH,47.805
6/2/13 3:00:01 AM,%RH,52.737
6/2/13 7:00:01 AM,%RH,53.346
6/2/13 11:00:01 AM,%RH,38.293
6/2/13 3:00:01 PM,%RH,27.765
6/2/13 7:00:01 PM,%RH,31.759
6/2/13 11:00:01 PM,%RH,36.998
6/3/13 3:00:01 AM,%RH,40.223
6/3/13 7:00:01 AM,%RH,42.775
6/3/13 11:00:01 AM,%RH,31.759
6/3/13 3:00:01 PM,%RH,24.395
6/3/13 7:00:01 PM,%RH,31.759
6/3/13 11:00:01 PM,%RH,38.938
6/4/13 3:00:01 AM,%RH,43.409
6/4/13 7:00:01 AM,%RH,45.93
6/4/13 11:00:01 AM,%RH,33.078
6/4/13 3:00:01 PM,%RH,25.072
6/4/13 7:00:01 PM,%RH,29.103
6/4/13 11:00:01 PM,%RH,34.391
6/5/13 3:00:01 AM,%RH,40.863
6/5/13 7:00:01 AM,%RH,43.409
6/5/13 11:00:01 AM,%RH,31.759
6/5/13 3:00:01 PM,%RH,23.036
6/5/13 7:00:01 PM,%RH,27.094
6/5/13 11:00:01 PM,%RH,34.391
6/6/13 3:00:01 AM,%RH,38.938
6/6/13 7:00:01 AM,%RH,39.581
6/6/13 11:00:01 AM,%RH,29.103
6/6/13 3:00:01 PM,%RH,20.986
6/6/13 7:00:01 PM,%RH,26.422
6/6/13 11:00:01 PM,%RH,34.391
6/7/13 3:00:01 AM,%RH,38.938
6/7/13 7:00:01 AM,%RH,41.502
6/7/13 11:00:01 AM,%RH,29.769
6/7/13 3:00:01 PM,%RH,21.671
6/7/13 7:00:01 PM,%RH,26.422
6/7/13 11:00:01 PM,%RH,32.42
6/8/13 3:00:01 AM,%RH,37.646
6/8/13 7:00:01 AM,%RH,39.581
6/8/13 11:00:01 AM,%RH,28.435
6/8/13 3:00:01 PM,%RH,20.3
6/8/13 7:00:01 PM,%RH,23.716
6/8/13 11:00:01 PM,%RH,30.434
6/9/13 3:00:01 AM,%RH,35.045
6/9/13 7:00:01 AM,%RH,37.646
6/9/13 11:00:01 AM,%RH,27.765
6/9/13 3:00:01 PM,%RH,18.232
6/9/13 7:00:01 PM,%RH,22.354
6/9/13 11:00:01 PM,%RH,26.422
6/10/13 3:00:01 AM,%RH,31.097
6/10/13 7:00:01 AM,%RH,32.42
6/10/13 11:00:01 AM,%RH,23.716
6/10/13 3:00:01 PM,%RH,15.453
6/10/13 7:00:01 PM,%RH,16.845
6/10/13 11:00:01 PM,%RH,18.923
6/11/13 3:00:01 AM,%RH,20.986
6/11/13 7:00:01 AM,%RH,23.036
6/11/13 11:00:01 AM,%RH,18.923
6/11/13 3:00:01 PM,%RH,15.453
6/11/13 7:00:01 PM,%RH,18.232
6/11/13 11:00:01 PM,%RH,22.354
