1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3C0000002998E741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Apr 24 00:00:01 MDT 2013
Mission Sample Count:  1097
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Apr 24 00:00:01 MDT 2013
Total Mission Samples:  1097
Total Device Samples:  7715
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/24/13 12:00:01 AM,C,22.552
4/24/13 4:00:01 AM,C,22.552
4/24/13 8:00:01 AM,C,14.543
4/24/13 12:00:01 PM,C,20.551
4/24/13 4:00:01 PM,C,17.048
4/24/13 8:00:01 PM,C,8.027
4/25/13 12:00:01 AM,C,4.014
4/25/13 4:00:01 AM,C,2.508
4/25/13 8:00:01 AM,C,13.541
4/25/13 12:00:01 PM,C,22.052
4/25/13 4:00:01 PM,C,19.05
4/25/13 8:00:01 PM,C,11.036
4/26/13 12:00:01 AM,C,6.523
4/26/13 4:00:01 AM,C,5.519
4/26/13 8:00:01 AM,C,16.046
4/26/13 12:00:01 PM,C,27.052
4/26/13 4:00:01 PM,C,23.053
4/26/13 8:00:01 PM,C,14.042
4/27/13 12:00:01 AM,C,9.532
4/27/13 4:00:01 AM,C,7.526
4/27/13 8:00:01 AM,C,19.05
4/27/13 12:00:01 PM,C,29.55
4/27/13 4:00:01 PM,C,26.053
4/27/13 8:00:01 PM,C,16.547
4/28/13 12:00:01 AM,C,13.541
4/28/13 4:00:01 AM,C,9.532
4/28/13 8:00:01 AM,C,21.052
4/28/13 12:00:01 PM,C,29.55
4/28/13 4:00:01 PM,C,26.053
4/28/13 8:00:01 PM,C,15.545
4/29/13 12:00:01 AM,C,12.539
4/29/13 4:00:01 AM,C,9.03
4/29/13 8:00:01 AM,C,20.051
4/29/13 12:00:01 PM,C,27.552
4/29/13 4:00:01 PM,C,25.553
4/29/13 8:00:01 PM,C,18.049
4/30/13 12:00:01 AM,C,13.541
4/30/13 4:00:01 AM,C,10.535
4/30/13 8:00:01 AM,C,18.549
4/30/13 12:00:01 PM,C,26.053
4/30/13 4:00:01 PM,C,19.05
4/30/13 8:00:01 PM,C,10.033
5/1/13 12:00:01 AM,C,6.021
5/1/13 4:00:01 AM,C,3.512
5/1/13 8:00:01 AM,C,14.042
5/1/13 12:00:01 PM,C,21.052
5/1/13 4:00:01 PM,C,14.543
5/1/13 8:00:01 PM,C,8.027
5/2/13 12:00:01 AM,C,4.516
5/2/13 4:00:01 AM,C,3.512
5/2/13 8:00:01 AM,C,16.046
5/2/13 12:00:01 PM,C,24.053
5/2/13 4:00:01 PM,C,18.049
5/2/13 8:00:01 PM,C,9.532
5/3/13 12:00:01 AM,C,5.519
5/3/13 4:00:01 AM,C,4.014
5/3/13 8:00:01 AM,C,16.046
5/3/13 12:00:01 PM,C,27.052
5/3/13 4:00:01 PM,C,22.052
5/3/13 8:00:01 PM,C,13.541
5/4/13 12:00:01 AM,C,8.529
5/4/13 4:00:01 AM,C,7.526
5/4/13 8:00:01 AM,C,17.548
5/4/13 12:00:01 PM,C,28.551
5/4/13 4:00:01 PM,C,22.552
5/4/13 8:00:01 PM,C,15.044
5/5/13 12:00:01 AM,C,12.539
5/5/13 4:00:01 AM,C,11.537
5/5/13 8:00:01 AM,C,14.543
5/5/13 12:00:01 PM,C,27.552
5/5/13 4:00:01 PM,C,24.553
5/5/13 8:00:01 PM,C,16.046
5/6/13 12:00:01 AM,C,14.543
5/6/13 4:00:01 AM,C,13.541
5/6/13 8:00:01 AM,C,16.046
5/6/13 12:00:01 PM,C,25.053
5/6/13 4:00:01 PM,C,22.052
5/6/13 8:00:01 PM,C,17.048
5/7/13 12:00:01 AM,C,12.539
5/7/13 4:00:01 AM,C,10.535
5/7/13 8:00:01 AM,C,15.545
5/7/13 12:00:01 PM,C,18.549
5/7/13 4:00:01 PM,C,22.552
5/7/13 8:00:01 PM,C,16.046
5/8/13 12:00:01 AM,C,12.539
5/8/13 4:00:01 AM,C,10.033
5/8/13 8:00:01 AM,C,22.052
5/8/13 12:00:01 PM,C,28.551
5/8/13 4:00:01 PM,C,19.55
5/8/13 8:00:01 PM,C,16.046
5/9/13 12:00:01 AM,C,12.038
5/9/13 4:00:01 AM,C,10.535
5/9/13 8:00:01 AM,C,21.052
5/9/13 12:00:01 PM,C,30.549
5/9/13 4:00:01 PM,C,27.052
5/9/13 8:00:01 PM,C,18.549
5/10/13 12:00:01 AM,C,15.545
5/10/13 4:00:01 AM,C,13.541
5/10/13 8:00:01 AM,C,23.553
5/10/13 12:00:01 PM,C,32.048
5/10/13 4:00:01 PM,C,28.551
5/10/13 8:00:01 PM,C,20.051
5/11/13 12:00:01 AM,C,16.046
5/11/13 4:00:01 AM,C,12.539
5/11/13 8:00:01 AM,C,23.553
5/11/13 12:00:01 PM,C,35.042
5/11/13 4:00:01 PM,C,31.049
5/11/13 8:00:01 PM,C,20.051
5/12/13 12:00:01 AM,C,18.049
5/12/13 4:00:01 AM,C,12.539
5/12/13 8:00:01 AM,C,24.553
5/12/13 12:00:01 PM,C,35.541
