1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1100000029982141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 14400 second(s)
Mission Start Time:  Wed Apr 24 00:00:01 MDT 2013
Mission Sample Count:  1097
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Wed Apr 24 00:00:01 MDT 2013
Total Mission Samples:  1097
Total Device Samples:  7664
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/24/13 12:00:01 AM,C,23.086
4/24/13 4:00:01 AM,C,23.086
4/24/13 8:00:01 AM,C,14.582
4/24/13 12:00:01 PM,C,21.085
4/24/13 4:00:01 PM,C,18.584
4/24/13 8:00:01 PM,C,7.575
4/25/13 12:00:01 AM,C,3.57
4/25/13 4:00:01 AM,C,2.568
4/25/13 8:00:01 AM,C,11.079
4/25/13 12:00:01 PM,C,18.584
4/25/13 4:00:01 PM,C,18.584
4/25/13 8:00:01 PM,C,11.079
4/26/13 12:00:01 AM,C,6.574
4/26/13 4:00:01 AM,C,5.573
4/26/13 8:00:01 AM,C,11.079
4/26/13 12:00:01 PM,C,22.586
4/26/13 4:00:01 PM,C,24.086
4/26/13 8:00:01 PM,C,13.581
4/27/13 12:00:01 AM,C,9.077
4/27/13 4:00:01 AM,C,7.074
4/27/13 8:00:01 AM,C,14.081
4/27/13 12:00:01 PM,C,25.586
4/27/13 4:00:01 PM,C,26.586
4/27/13 8:00:01 PM,C,16.083
4/28/13 12:00:01 AM,C,13.081
4/28/13 4:00:01 AM,C,9.577
4/28/13 8:00:01 AM,C,15.583
4/28/13 12:00:01 PM,C,26.086
4/28/13 4:00:01 PM,C,26.586
4/28/13 8:00:01 PM,C,15.082
4/29/13 12:00:01 AM,C,12.58
4/29/13 4:00:01 AM,C,9.077
4/29/13 8:00:01 AM,C,15.583
4/29/13 12:00:01 PM,C,25.086
4/29/13 4:00:01 PM,C,25.586
4/29/13 8:00:01 PM,C,18.584
4/30/13 12:00:01 AM,C,13.581
4/30/13 4:00:01 AM,C,10.578
4/30/13 8:00:01 AM,C,13.081
4/30/13 12:00:01 PM,C,22.086
4/30/13 4:00:01 PM,C,21.085
4/30/13 8:00:01 PM,C,10.078
5/1/13 12:00:01 AM,C,6.073
5/1/13 4:00:01 AM,C,3.57
5/1/13 8:00:01 AM,C,8.576
5/1/13 12:00:01 PM,C,18.084
5/1/13 4:00:01 PM,C,16.083
5/1/13 8:00:01 PM,C,8.076
5/2/13 12:00:01 AM,C,4.571
5/2/13 4:00:01 AM,C,3.57
5/2/13 8:00:01 AM,C,9.077
5/2/13 12:00:01 PM,C,21.085
5/2/13 4:00:01 PM,C,20.085
5/2/13 8:00:01 PM,C,9.077
5/3/13 12:00:01 AM,C,5.072
5/3/13 4:00:01 AM,C,3.57
5/3/13 8:00:01 AM,C,10.078
5/3/13 12:00:01 PM,C,23.086
5/3/13 4:00:01 PM,C,22.086
5/3/13 8:00:01 PM,C,13.581
5/4/13 12:00:01 AM,C,7.575
5/4/13 4:00:01 AM,C,7.575
5/4/13 8:00:01 AM,C,12.58
5/4/13 12:00:01 PM,C,25.086
5/4/13 4:00:01 PM,C,21.585
5/4/13 8:00:01 PM,C,14.582
5/5/13 12:00:01 AM,C,12.58
5/5/13 4:00:01 AM,C,11.579
5/5/13 8:00:01 AM,C,13.581
5/5/13 12:00:01 PM,C,24.586
5/5/13 4:00:01 PM,C,26.086
5/5/13 8:00:01 PM,C,15.583
5/6/13 12:00:01 AM,C,14.081
5/6/13 4:00:01 AM,C,13.581
5/6/13 8:00:01 AM,C,16.083
5/6/13 12:00:01 PM,C,23.086
5/6/13 4:00:01 PM,C,22.086
5/6/13 8:00:01 PM,C,17.083
5/7/13 12:00:01 AM,C,13.081
5/7/13 4:00:01 AM,C,11.079
5/7/13 8:00:01 AM,C,14.582
5/7/13 12:00:01 PM,C,18.584
5/7/13 4:00:01 PM,C,23.586
5/7/13 8:00:01 PM,C,16.083
5/8/13 12:00:01 AM,C,12.58
5/8/13 4:00:01 AM,C,10.578
5/8/13 8:00:01 AM,C,16.083
5/8/13 12:00:01 PM,C,25.086
5/8/13 4:00:01 PM,C,19.585
5/8/13 8:00:01 PM,C,16.083
5/9/13 12:00:01 AM,C,12.08
5/9/13 4:00:01 AM,C,10.578
5/9/13 8:00:01 AM,C,17.083
5/9/13 12:00:01 PM,C,27.586
5/9/13 4:00:01 PM,C,28.586
5/9/13 8:00:01 PM,C,18.584
5/10/13 12:00:01 AM,C,15.583
5/10/13 4:00:01 AM,C,13.581
5/10/13 8:00:01 AM,C,19.585
5/10/13 12:00:01 PM,C,28.586
5/10/13 4:00:01 PM,C,29.585
5/10/13 8:00:01 PM,C,20.085
5/11/13 12:00:01 AM,C,15.583
5/11/13 4:00:01 AM,C,12.58
5/11/13 8:00:01 AM,C,19.585
5/11/13 12:00:01 PM,C,31.085
5/11/13 4:00:01 PM,C,30.585
5/11/13 8:00:01 PM,C,20.085
5/12/13 12:00:01 AM,C,18.084
5/12/13 4:00:01 AM,C,12.58
5/12/13 8:00:01 AM,C,21.085
5/12/13 12:00:01 PM,C,32.584
5/12/13 4:00:01 PM,C,33.584
5/12/13 8:00:01 PM,C,22.586
5/13/13 12:00:01 AM,C,19.084
5/13/13 4:00:01 AM,C,15.082
5/13/13 8:00:01 AM,C,24.086
5/13/13 12:00:01 PM,C,34.583
5/13/13 4:00:01 PM,C,35.583
5/13/13 8:00:01 PM,C,22.086
5/14/13 12:00:01 AM,C,17.584
5/14/13 4:00:01 AM,C,15.082
5/14/13 8:00:01 AM,C,23.586
5/14/13 12:00:01 PM,C,33.084
5/14/13 4:00:01 PM,C,34.583
5/14/13 8:00:01 PM,C,22.586
5/15/13 12:00:01 AM,C,20.585
5/15/13 4:00:01 AM,C,17.083
5/15/13 8:00:01 AM,C,21.085
5/15/13 12:00:01 PM,C,33.584
5/15/13 4:00:01 PM,C,34.583
5/15/13 8:00:01 PM,C,22.086
5/16/13 12:00:01 AM,C,18.584
5/16/13 4:00:01 AM,C,16.083
5/16/13 8:00:01 AM,C,23.086
5/16/13 12:00:01 PM,C,30.085
5/16/13 4:00:01 PM,C,26.586
5/16/13 8:00:01 PM,C,19.585
5/17/13 12:00:01 AM,C,17.584
5/17/13 4:00:01 AM,C,16.083
5/17/13 8:00:01 AM,C,15.583
5/17/13 12:00:01 PM,C,15.583
5/17/13 4:00:01 PM,C,14.081
5/17/13 8:00:01 PM,C,12.58
5/18/13 12:00:01 AM,C,11.579
5/18/13 4:00:01 AM,C,10.578
5/18/13 8:00:01 AM,C,12.08
5/18/13 12:00:01 PM,C,19.585
5/18/13 4:00:01 PM,C,16.083
5/18/13 8:00:01 PM,C,12.58
5/19/13 12:00:01 AM,C,10.578
5/19/13 4:00:01 AM,C,8.576
5/19/13 8:00:01 AM,C,13.581
5/19/13 12:00:01 PM,C,19.585
5/19/13 4:00:01 PM,C,18.084
5/19/13 8:00:01 PM,C,14.582
5/20/13 12:00:01 AM,C,11.579
5/20/13 4:00:01 AM,C,11.079
5/20/13 8:00:01 AM,C,12.58
5/20/13 12:00:01 PM,C,23.086
5/20/13 4:00:01 PM,C,22.586
5/20/13 8:00:01 PM,C,16.583
5/21/13 12:00:01 AM,C,13.581
5/21/13 4:00:01 AM,C,11.079
5/21/13 8:00:01 AM,C,17.584
5/21/13 12:00:01 PM,C,23.586
5/21/13 4:00:01 PM,C,24.086
5/21/13 8:00:01 PM,C,19.585
5/22/13 12:00:01 AM,C,17.584
5/22/13 4:00:01 AM,C,15.082
5/22/13 8:00:01 AM,C,15.082
5/22/13 12:00:01 PM,C,19.585
5/22/13 4:00:01 PM,C,18.584
5/22/13 8:00:01 PM,C,12.58
5/23/13 12:00:01 AM,C,8.576
5/23/13 4:00:01 AM,C,7.575
5/23/13 8:00:01 AM,C,15.082
5/23/13 12:00:01 PM,C,23.086
5/23/13 4:00:01 PM,C,22.586
5/23/13 8:00:01 PM,C,14.081
5/24/13 12:00:01 AM,C,10.078
5/24/13 4:00:01 AM,C,7.575
5/24/13 8:00:01 AM,C,16.583
5/24/13 12:00:01 PM,C,25.086
5/24/13 4:00:01 PM,C,25.586
5/24/13 8:00:01 PM,C,16.083
5/25/13 12:00:01 AM,C,13.081
5/25/13 4:00:01 AM,C,10.578
5/25/13 8:00:01 AM,C,19.585
5/25/13 12:00:01 PM,C,27.586
5/25/13 4:00:01 PM,C,29.585
5/25/13 8:00:01 PM,C,18.584
5/26/13 12:00:01 AM,C,15.082
5/26/13 4:00:01 AM,C,13.081
5/26/13 8:00:01 AM,C,18.084
5/26/13 12:00:01 PM,C,27.586
5/26/13 4:00:01 PM,C,28.586
5/26/13 8:00:01 PM,C,20.085
5/27/13 12:00:01 AM,C,15.583
5/27/13 4:00:01 AM,C,11.579
5/27/13 8:00:01 AM,C,19.585
5/27/13 12:00:01 PM,C,26.086
5/27/13 4:00:01 PM,C,25.586
5/27/13 8:00:01 PM,C,17.083
5/28/13 12:00:01 AM,C,15.583
5/28/13 4:00:01 AM,C,14.081
5/28/13 8:00:01 AM,C,13.581
5/28/13 12:00:01 PM,C,13.581
5/28/13 4:00:01 PM,C,15.583
5/28/13 8:00:01 PM,C,12.08
5/29/13 12:00:01 AM,C,9.577
5/29/13 4:00:01 AM,C,8.076
5/29/13 8:00:01 AM,C,13.081
5/29/13 12:00:01 PM,C,19.084
5/29/13 4:00:01 PM,C,19.585
5/29/13 8:00:01 PM,C,13.581
5/30/13 12:00:01 AM,C,10.078
5/30/13 4:00:01 AM,C,8.576
5/30/13 8:00:01 AM,C,13.081
5/30/13 12:00:01 PM,C,21.585
5/30/13 4:00:01 PM,C,25.086
5/30/13 8:00:01 PM,C,15.583
5/31/13 12:00:01 AM,C,12.08
5/31/13 4:00:01 AM,C,9.077
5/31/13 8:00:01 AM,C,16.083
5/31/13 12:00:01 PM,C,24.086
5/31/13 4:00:01 PM,C,26.086
5/31/13 8:00:01 PM,C,16.083
6/1/13 12:00:01 AM,C,12.08
6/1/13 4:00:01 AM,C,9.577
6/1/13 8:00:01 AM,C,17.584
6/1/13 12:00:01 PM,C,27.586
6/1/13 4:00:01 PM,C,27.586
6/1/13 8:00:01 PM,C,18.584
6/2/13 12:00:01 AM,C,13.581
6/2/13 4:00:01 AM,C,11.579
6/2/13 8:00:01 AM,C,21.085
6/2/13 12:00:01 PM,C,31.085
6/2/13 4:00:01 PM,C,34.084
6/2/13 8:00:01 PM,C,24.086
6/3/13 12:00:01 AM,C,18.084
6/3/13 4:00:01 AM,C,14.081
6/3/13 8:00:01 AM,C,20.085
6/3/13 12:00:01 PM,C,29.585
6/3/13 4:00:01 PM,C,31.085
6/3/13 8:00:01 PM,C,19.585
6/4/13 12:00:01 AM,C,14.582
6/4/13 4:00:01 AM,C,11.579
6/4/13 8:00:01 AM,C,21.585
6/4/13 12:00:01 PM,C,30.585
6/4/13 4:00:01 PM,C,32.584
6/4/13 8:00:01 PM,C,21.585
6/5/13 12:00:01 AM,C,16.083
6/5/13 4:00:01 AM,C,13.581
6/5/13 8:00:01 AM,C,21.585
6/5/13 12:00:01 PM,C,32.085
6/5/13 4:00:01 PM,C,33.084
6/5/13 8:00:01 PM,C,22.086
6/6/13 12:00:01 AM,C,16.083
6/6/13 4:00:01 AM,C,13.081
6/6/13 8:00:01 AM,C,24.586
6/6/13 12:00:01 PM,C,34.583
6/6/13 4:00:01 PM,C,36.582
6/6/13 8:00:01 PM,C,25.086
6/7/13 12:00:01 AM,C,18.084
6/7/13 4:00:01 AM,C,16.083
6/7/13 8:00:01 AM,C,26.586
6/7/13 12:00:01 PM,C,36.582
6/7/13 4:00:01 PM,C,38.081
6/7/13 8:00:01 PM,C,26.086
6/8/13 12:00:01 AM,C,21.585
6/8/13 4:00:01 AM,C,19.084
6/8/13 8:00:01 AM,C,27.086
6/8/13 12:00:01 PM,C,35.083
6/8/13 4:00:01 PM,C,37.082
6/8/13 8:00:01 PM,C,25.586
6/9/13 12:00:01 AM,C,19.084
6/9/13 4:00:01 AM,C,16.583
6/9/13 8:00:01 AM,C,27.586
6/9/13 12:00:01 PM,C,37.581
6/9/13 4:00:01 PM,C,39.58
6/9/13 8:00:01 PM,C,27.586
6/10/13 12:00:01 AM,C,25.586
6/10/13 4:00:01 AM,C,21.585
6/10/13 8:00:01 AM,C,28.586
6/10/13 12:00:01 PM,C,34.084
6/10/13 4:00:01 PM,C,38.58
6/10/13 8:00:01 PM,C,28.086
6/11/13 12:00:01 AM,C,24.586
6/11/13 4:00:01 AM,C,20.085
6/11/13 8:00:01 AM,C,29.086
6/11/13 12:00:01 PM,C,37.082
6/11/13 4:00:01 PM,C,33.084
6/11/13 8:00:01 PM,C,27.086
6/12/13 12:00:01 AM,C,24.586
6/12/13 4:00:01 AM,C,19.585
6/12/13 8:00:01 AM,C,31.085
6/12/13 12:00:01 PM,C,38.58
6/12/13 4:00:01 PM,C,38.58
6/12/13 8:00:01 PM,C,28.086
6/13/13 12:00:01 AM,C,22.586
6/13/13 4:00:01 AM,C,20.585
6/13/13 8:00:01 AM,C,29.585
6/13/13 12:00:01 PM,C,36.582
6/13/13 4:00:01 PM,C,30.085
6/13/13 8:00:01 PM,C,22.086
6/14/13 12:00:01 AM,C,17.083
6/14/13 4:00:01 AM,C,13.581
6/14/13 8:00:01 AM,C,22.586
